"","title","contents"
"1","그리스 무명용사 묘소에 헌화하는 모디 총리","  그리스를 방문한 나렌드라 모디 인도 총리가 25일(현지시각) 아테네에 있는 무명용사 묘소에 헌화하고 있다. 모디 총리는 인도 총리로는 40년 만에 처음으로 그리스를 공식 방문했으며 이는 그리스 외교 정책에 중요한... "
"2","그리스 산불 잿더미서 시신 최소 26구 발견…불법 이주민 추정(종합)","  튀르키예 접경 에브로스 지역…그리스 내 대형산불 최소 8건 항구도시 알렉산드루폴리스에선 병원 환자들 긴급 대피 신창용 특파원 노재현 기자 = 산불이 나흘째 이어지고 있는 그리스 동북부에서 불에 탄 시신이 최소... "
"3","그리스 산불 참사…잿더미서 시신 18구 한꺼번에 발견","  있는 그리스 동북부에서 불에 탄 시신 18구가 한꺼번에 발견됐다고 로이터, AFP, AP 통신이 22일(현지시간)... 아반타스에서 멀지 않은 그리스 항구 도시 알렉산드루폴리스에서는 주민들에게 대피령이 내려졌다. 병원에... "
"4","그리스서 대형 산불…잿더미서 시신 18구 한꺼번에 발견","  그리스 동북부에서 산불이 나흘째 이어지고 있는 가운데, 잿더미로 변한 산불 현장에서 시신 18구가 한꺼번에 발견됐습니다. 로이터 등에 따르면 22일(현지시간) 그리스 동북부 에브로스의 아반타스 마을 산불 현장에서... "
"5","그리스 산불, 숲에 갇힌 난민들까지 덮쳤다","  23일(현지시간) 그리스 일간 카티메리니 등에 따르면 닷새째 산불이 이어지고 있는 그리스 동북부 에브로스에서 난민으로 추정되는 시신이 현재까지 20구 이상 발견됐다. 정부의 공식 확인은 아직 나오지 않았지만... "
"6","[오늘의 영상] 그리스 휴양지 덮친 ‘최악의 산불’","  올 여름 세계 곳곳에서 일어난 대형 산불, 이번엔 그리스 동북부 지역을 덮쳤습니다. 한 해안 지역에서는 거대한 '불 소용돌이'가 일 정도로 화마의 기세는 엄청났는데요. 나흘 전 시작된 불은 아름다운 휴양지와 도심을... "
"7","아데토쿤보 “조던·르브론, 그리스에선 내가 더 유명해”[NBA]","  밀워키 벅스(이하 밀워키)의 야니스 아데토쿤보(28·그리스)가 마이클 조던과 르브론 제임스를 넘을 수도 있다는 농담을 전했다. 아데토쿤보는 25일(한국시간) 매체 뉴욕 타임스가 공개한 인터뷰에서 고국 그리스에서의 받는... "
"8","그리스 산불로 재만 남은 나무들","  23일(현지시각) 그리스 에브로스주 알렉산드루폴리스 인근 아브라 마을 나무들이 산불에 타 재만 남아 있다. 그리스 산불로 지금까지 최소 26명이 숨졌으며 맹렬한 불길이 많은 가옥을 위협하고 있다. 2023.08.24.... "
"9","대형 산불 발생한 그리스서 솟아 오르는 연기","  21일(현지시간) 대형 산불이 발생한 그리스 알렉산드루폴리스에서 연기가 솟아 오르고 있다. 2023.8.23 ⓒ 로이터=뉴스1 "
"10","나흘째 이어지는 그리스 산불… 최소 20명 사망 [뉴시스Pic]","  그리스 전역에서 산불이 발생하면서 최소 20명이 숨졌다. 22일(현지시간) CNN과 AP통신 등에 따르면 그리스 북부 소방당국은 이날 에브로스 아반타스 마을 남쪽에 있는 산불 현장에서 18구의 시신이 발견됐다고 밝혔다.... "
"11","마을에 번진 화재 진압하는 그리스 소방관들","  22일(현지시각) 그리스 에브로스주 알렉산드루폴리스 인근 디켈라 마을에서 소방관들이 건물 내부의 불을... 튀르키예에서 그리스로 밀입국하는 경로인 점을 고려해 사망자들이 불법 이주민인 것으로 추정했다. 2023.08.... "
"12","[포토 in 월드] 최소 20명 사망한 그리스 산불 현장","  그리스 북부의 산불로 22일(현지시간) 현재 사망자가 최소 20명 발생하는 등 산불이 악화일로를 거듭하고... 그리스 북동부 지역 일대는 섭씨 41도에 이르는 폭염과 강풍 등으로 현재 불길을 잡기 힘든 상황이다. 이에 따라... "
"13","[신간] 300쪽에 신박하게 정리한 그리스 로마 신화","  초마인드·문장의 맛·뉴욕, 기억의 도시 ▲ 그리스 로마 신화 신박한 정리 = 박영규 지음. 제우스, 포세이돈, 에우로페, 아테나, 헤라클레스, 오디세우스…. 그리스 로마 신화는 이름도 어려운 등장인물이 많은 에피소드에... "
