"","title","contents"
"1","노르웨이, 우크라에 F-16 기증키로…덴마크·네덜란드 이어(종합)","  노르웨이 총리, 우크라 방문 계기 발표…젤렌스키 ""독립기념일 선물"" 정빛나 특파원 = 덴마크와 네덜란드에 이어 노르웨이가 우크라이나가 바라는 F-16 전투기 지원 대열에 동참하기로 했다. 우크라이나를 방문 중인... "
"2","EU 기후수장, 네덜란드 총선 출마위해 중도하차…'그린딜' 흔들?","  확정된 네덜란드의 연립정부 붕괴 사태가 유럽연합(EU)에도 영향을 주는 것으로 보인다. EU 집행위원회는 22일(현지시간) 네덜란드 총선에 출마하기로 한 프란스 티메르만스 유럽연합(EU) 수석 부집행위원장(집행위원... "
"3","네덜란드 킥복서 에렌스 ""최승우 원하는 방식으로 싸워 이긴다""","  UFC 싱가포르 대회에서 최승우와 대결을 펼치는 네덜란드 출신 킥복서 야르노 에렌스. 사진=UFC 야르노 에렌스... 나는 치고 받는 것을 좋아하고 펀치를 휘두르는 것을 좋아한다”며 “난 네덜란드인이고 네덜란드 킥복싱... "
"4","우크라 국방, 네덜란드 국방 방문에 ""F-16 제공은 강력한 결정""","  올렉시 레즈니코우 우크라이나 국방장관이 F-16 전투기를 지원하기로 한 네덜란드 정부 결정을 두고 카이사 올롱런 네덜란드 국방장관에게 사의를 표했다고 22일(현지시간) CNN이 보도했다. 레즈니코우 장관은 이날 올롱런... "
"5","덴마크·네덜란드 이어 노르웨이도? ""우크라에 F-16 기증 방침""","  노르웨이가 이를 공식화하면 덴마크, 네덜란드에 이어 F-16 지원을 결정한 세 번째 나라가 된다. 나토(NATO·북대서양조약기구) 창설 멤버인 노르웨이는 우크라이나와 전쟁 중인 러시아와 국경을 접하고 있다. 네덜란드와... "
"6","연말께 우크라 F-16 전달…네덜란드 등 지원 확답","  네덜란드와 덴마크가 우크라이나에 F-16기 전투기를 지원하기로 약속했다. 네덜란드와 덴마크 정부는 20일(현지시간) 공동성명을 내고 ""우리는 F-16 전투기 이전을 위한 조건이 충족했을 때 미국 및 다른 파트너국들과... "
"7","네덜란드·덴마크, 우크라에 F-16 이전 재확인","  덴마크가 20일(현지시간) 네덜란드와 함께 조건이 충족되면 우크라이나에 F-16 전투기를 지원할 것이라고... 한편 볼로디미르 젤렌스키 대통령은 이날 네덜란드를 방문해 마크 뤼테 총리로부터 F-16 이전을 약속받았다.... "
"8","'성매매 합법'인 네덜란드 암스테르담에서 추진 중이라는 '매춘 빌딩' 프로젝...","  = 암스테르담 중앙역 인근, 네덜란드의 유명 관광지 중 하나인 '홍등가'가 나온다. 17세기 해상 무역의 강국이었던 네덜란드의 수도 암스테르담에는 여러 나라의 뱃사람들이 모이면서 자연스레 홍등가가 발전하고... "
"9","네덜란드 단체 ""타타스틸이 오염의 주범""","  네덜란드 한 단체가 인도 철강 제조 업체 타타스틸이 암스테르담 인근에서 질병을 일으켰다는 이유로 소송을 제기했다고 25일(현지 시각) 외신 등이 보도했다. 네덜란드네덜란드 이유무이덴에 있는 타타 스틸 공장은 대기... "
"10","젤렌스키, 네덜란드·덴마크 찾아 F16機 확약받았다","  대통령이 네덜란드와 덴마크로부터 F16 전투기 지원 약속을 받아 냈다. 러시아에 당한 전략적 열세를 만회하는 데 긴요한 최첨단 전투기를 우크라이나에 제공하겠다고 약속한 것은 두 나라가 처음이다. 네덜란드와... "
"11","젤렌스키, 네덜란드 방문…""F-16 전투기가 주요 의제""","  미국이 네덜란드와 덴마크의 F-16 전투기를 우크라이나에 이전할 수 있도록 허가하겠다고 밝힌 지 며칠 만에 볼로디미르 젤렌스키 우크라이나 대통령이 네덜란드를 방문했다. 20일(현지시간) 젤렌스키 대통령은... "
"12","네덜란드 국방장관, ""미국, F-16 우크라 제공 허용해""","  미국이 네덜란드 보유 미국제 전투기 F-16기의 우크라이나 제공을 허용했다고 네덜란드 국방장관이 18일 말했다. 실제 제공에는 시간이 걸려 우크라 전쟁에는 즉각적인 영향을 줄 수는 없으나 우크라로서는 커다란... "
"13","'성매매 합법'인 네덜란드 암스테르담에서 추진 중이라는 '매춘 빌딩' 프로젝...","  = 암스테르담 중앙역 인근, 네덜란드의 유명 관광지 중 하나인 '홍등가'가 나온다. 17세기 해상 무역의 강국이었던 네덜란드의 수도 암스테르담에는 여러 나라의 뱃사람들이 모이면서 자연스레 홍등가가 발전하고... "
"14","F-16 전투기 위해서라면…젤렌스키, 네덜란드 ‘깜짝’ 방문","  볼로디미르 젤렌스키 우크라이나 대통령이 20일(현지시간) 네덜란드를 깜짝 방문해 미국산 F-16 전투기 확보를 위한 외교전에 나섰다. 마르크 뤼터 네덜란드 총리는 이날 오후 소셜미디어 엑스(X·옛 트위터)를 통해... "
"15","네덜란드 단체 ""타타스틸이 오염의 주범""","  네덜란드 한 단체가 인도 철강 제조 업체 타타스틸이 암스테르담 인근에서 질병을 일으켰다는 이유로 소송을 제기했다고 25일(현지 시각) 외신 등이 보도했다. 네덜란드네덜란드 이유무이덴에 있는 타타 스틸 공장은 대기... "
