"","title","contents"
"1","노르웨이, 우크라에 F-16 기증키로…덴마크·네덜란드 이어(종합)","  노르웨이 총리, 우크라 방문 계기 발표…젤렌스키 ""독립기념일 선물"" 정빛나 특파원 = 덴마크와 네덜란드에 이어 노르웨이가 우크라이나가 바라는 F-16 전투기 지원 대열에 동참하기로 했다. 우크라이나를 방문 중인... "
"2","덴마크·네덜란드 이어 노르웨이도? ""우크라에 F-16 기증 방침""","  노르웨이가 우크라이나에 미국산 전투기 F-16을 무상 지원할 방침이라는 현지매체 보도가 나왔다, 24일(현지시간) 로이터통신에 따르면 노르웨이 방송 TV2는 복수의 소식통을 인용해 노르웨이 당국이 F-16을 기증하기로... "
"3","러시아 전투기, 바렌츠해 상공서 노르웨이 군용기와 이틀 연속 대치","  상공에서 노르웨이 군용기와 이틀 연속 대치했다고 로이터 통신이 보도했습니다. 러시아 국방부는 성명에서 바렌츠해 상공에서 러시아 영공에 접근하는 노르웨이 군용기를 저지하기 위해 미그-31 전투기를... "
"4","노르웨이 오드펠, 상반기 영업익 2000억 달성…전년比 85%↑","  장기수송계약 운임개선 영향 노르웨이의 화학제품운반선사 오드펠이 올해 상반기에만 2000억원의 영업이익을 올렸다. 오드펠은 1~6월 여섯 달 동안 영업이익(EBIT) 1억4680만달러(약 2000억원), 당기순이익... "
"5","러시아, 루마니아 인근 우크라이나 항구 공격‥ 노르웨이 군용기에도 대응 출...","  한편 같은 날 노르웨이와 러시아 북쪽 바렌츠 해에서는 러시아 전투기가 역시 나토 회원국인 노르웨이 정찰기에 대응해 출격했습니다. 로이터, 타스 통신 등에 따르면 러시아 국방부는 성명을 내고 ""러시아 영공에... "
"6","러 전투기, 바렌츠 해상서 노르웨이 군용기와 또 대치","  지난 14일 이어 열흘도 안돼 긴장 재발 조성흠 특파원 = 러시아 전투기가 바렌츠해 상공에서 노르웨이... 이어 노르웨이 공군 소속 P-8 포세이돈 정찰기로 확인된 해당 군용기가 러시아 전투기의 접근 이후 러시아 영공... "
"7","강원자치도, 한국-노르웨이, ‘연어산업 교류’ 강화한다","  뉴데일리 김정원 기자 = 강원특별자치도(노르웨이 연어산업조사 대표단)는 “세계 최대 양식 박람회인 아쿠아노르(Aqua Nor) 2023·한-노 연어산업 교류 세미나에 참가해 세계 최대 연어생산국인 노르웨이 연어산업 발전... "
"8","포스코이앤씨, 노르웨이 에퀴노르와 해상풍력 사업 업무협약","  포스코이앤씨가 지난 23일 해상풍력발전 기업인 노르웨이 에퀴노르(Equinor)와 함께 세계 최대 부유식 해상풍력발전사업인 '울산 반딧불이' 프로젝트 추진을 위한 협약을 체결했다고 24일 밝혔다. 양사는 울산 반딧불이... "
"9","에퀴노르, 노르웨이 '하이윈드 탐펜' 가동 시작","  크제틸 호브 에퀴노르 노르웨이 대륙붕 담당 부사장, 호콘 노르웨이 왕세자, 요나스 가르 스퇴레 노르웨이 총리, 시리 에스페달 킨뎀 에퀴노르 노르웨이 재생에너지부문 부사장(좌부터)이 하이윈드 탐펜 오프닝... "
"10","포스코이앤씨, 해상풍력사업 진출…노르웨이社와 ‘울산 반딧불이’ 프로젝트...","  포스코이앤씨가 노르웨이 기업과 손잡고 세계 최대 부유식 해상풍력 발전사업인 ‘울산 반딧불이’... 포스코이앤씨는 지난 23일 해상풍력발전 분야 글로벌 선두 기업인 노르웨이 에퀴노르(Equinor)와 울산 반딧불이... "
"11","포스코이앤씨, 해상풍력사업 진출…신재생 미래성장산업 견인","  선두기업인 노르웨이 에퀴노르(Equinor)사(社)와 함께 세계 최대 부유식 해상풍력발전사업인 '울산 반딧불이' 프로젝트 추진을 위한 협약을 체결했다고 24일 밝혔다. 포스코이앤씨는 이번 협약을 통해 노르웨이의 국영... "
"12","강원도, 노르웨이서 케이스마트양식과 연어 산업화 맞손","  연어 전후방 산업 육성·양식 단지 개발 협력 등 약속 강원도는 22일 노르웨이 새먼에볼루션 양식 단지에서... 케이스마트양식은 동원산업과 노르웨이 새먼에볼루션이 설립한 합작회사로 2025년까지 양양군에 육상... "
