"","title","contents"
"1","노르웨이, 우크라에 F-16 기증키로…덴마크·네덜란드 이어(종합)","  노르웨이 총리, 우크라 방문 계기 발표…젤렌스키 ""독립기념일 선물"" 정빛나 특파원 = 덴마크와 네덜란드에 이어 노르웨이가 우크라이나가 바라는 F-16 전투기 지원 대열에 동참하기로 했다. 우크라이나를 방문 중인... "
"2","'덴마크 분수 배운다' 4352만원...""기초의원 외유, 해도 너무하다""","  중구의회도 다음 달 4일~9일 덴마크, 노르웨이를 방문한다. 참가자는 구의원 7명과 의회 공무원 4명이고... 광복로 분수광장 조성 사업에 참고하기 위해 덴마크 이동해 분수대를 견학하겠다는 식이다. 덴마크의 상징물인... "
"3","韓·日에 무너진 덴마크 조선 도시, 로봇으로 역습","  조선업에서 싹튼 협동로봇 기술 현대삼호重 용접 자동화에 도입 몰락한 조선(造船) 도시였던 덴마크... 유니버설로봇은 덴마크 오덴세에서 2005년 설립됐다. 오덴세에는 1만5000TEU급 초대형 컨테이너선이나... "
"4","우크라이나 파일럿 8명, 덴마크서 F-16 조종훈련 시작","  덴마크군은 22일(현지시간) 보유 F-16 전투기를 제공하는 우크라이나의 공군 파일럿 8명에 대해 조종훈련을 개시했다고 발표했다. AFP 통신과 CNN 등에 따르면 덴마크군 당국은 이날 우크라이나에 F-16 전투기를... "
"5","덴마크의 노키아? 100년 제약사의 놀라운 도약과 걱정[딥다이브]","  ‘덴마크’ 하면 무엇이 떠오르나요. 안데르센과 낙농업? 아니면 레고나 칼스버그 맥주? 이젠 이 기업부터... 100년 역사의 당뇨병 치료제 기업이 최근 몇 년 간 놀라운 속도로 커가면서 덴마크 증시뿐 아니라 경제까지... "
"6","덴마크·네덜란드 이어 노르웨이도? ""우크라에 F-16 기증 방침""","  공식화하면 덴마크, 네덜란드에 이어 F-16 지원을 결정한 세 번째 나라가 된다. 나토(NATO·북대서양조약기구) 창설 멤버인 노르웨이는 우크라이나와 전쟁 중인 러시아와 국경을 접하고 있다. 네덜란드와 덴마크는 최근... "
"7","덴마크·네덜란드 ""우크라에 F-16 전투기 지원"" 확약… 이르면 연말 전달","  덴마크와 네덜란드가 우크라이나에 대한 F-16 전투기 지원 방침을 확정했다. 덴마크는 올해 연말부터 순차적으로 총 19대를 전달하겠다고 밝혔고, 네덜란드는 구체적 시기와 물량을 못 박지 않았다. 20일(현지시간)... "
"8","박완수 경남지사 덴마크 CMSR 기업 시보그사 대표 면담","  개발사인 덴마크의 나비드 사만다리 시보그(Seaborg) 기업 대표를 접견했다. 이날 면담에는 강신영 시보그... 이어 “덴마크에는 원전 기반이 부족해 시보그가 성공하기 위해서는 한국, 특히 경남과 협력하지 않으면 안... "
"9","덴마크 몰트 '켈리' VS 믹스 몰트 '카스'...어느 쪽이 '맛' 더 잘 유지할까?","  '켈리'는 본연의 맛을 더 잘 구현해 내기 위해 100% 덴마크 몰트를 사용하지만, 카스는 훨씬 다양한... 실제로 '켈리'는 부드러운 맛이 특징인 맥주로, 하이트진로는 이 맛을 유지하기 위해 오직 100% 덴마크산 올몰트만을... "
"10","네덜란드·덴마크, 우크라에 F-16 이전 재확인","  덴마크가 20일(현지시간) 네덜란드와 함께 조건이 충족되면 우크라이나에 F-16 전투기를 지원할 것이라고 확인했다. 로이토통신에 따르면 덴마크 외무부는 이날 성명을 통해 ""우리는 이전 조건이 충족될 때 미국 및 기타... "
