"","title","contents"
"1","문체부, 해외 문화예술인 국내 협업 지원…독일 등 9개국","  첫 협업 국가로 독일과 이스라엘, 헝가리, 호주, 프랑스, 요르단, 콜롬비아, 아제르바이잔, 미국 등 총 9개국이 선정됐다. 전시와 공연 등 다양한 분야에서 한국 문화예술인과 협업할 계획이다. ▲한국-독일 공동 협업 전시... "
"2","개회사 하는 게오르크 슈미트 주한독일대사","  지난 24일 서울 영등포구 콘래드 호텔에서 열린 '제3회 한-독 기후환경 컨퍼런스'에서 게오르크 슈미트 주한독일대사 내정자가 개회사하고 있다. 2023.8.25 [한독상공회의소 제공. 재판매 및 DB 금지] "
"3","[게임스컴 2023] 별이되어라2, 독일서 묵직한 존재감","  별이되어라2가 삼성디스플레이와 독일 현지 게이머들에게 특별한 경험을 선사했다. 25일 하이브IM에 따르면 별이되어라2: 베다의 기사들 부스에서는 삼성 디스플레이의 QD-OLED 모니터와 OLED 노트북을 통해 환상적인... "
"4","‘CES 혁신상’ 인디제이, 독일서 한국 기술력 뽐낸다","  미국에서 한국 인공지능(AI) 기술력을 알린 인디제이가 독일 IFA에 참가해 유럽 시장 문을 두드린다. 인디제이(대표 정우주)는 오는 9월 1일부터 5일 독일 베를린에서 열리는 세계 3대 IT 박람회이자 유럽 최대... "
"5","'한국인의 식판' 독일 상륙‥태양의 서커스 韓 급식 빠진다","  26일 오후 7시 10분에 방송되는 JTBC '한국인의 식판'에는 독일의 경제 수도 프랑크푸르트에 위치한 '태양의 서커스' 대표 투어쇼 루치아 빌리지로 향해 서커스 단원들을 위한 K-급식을 전파한다. '태양의 서커스'는 연간 약... "
"6","美, 영국·프랑스·독일·이탈리아와 국가안보 퀸트 회의…""우크라 지지 확인...","  프랑스·독일·이탈리아와 국가안보보좌관급 5자 회의를 진행하고 우크라이나에 대한 지지를 재확인했다. 백악관은 24일(현지시간) 성명을 내고 제이크 설리번 국가안보보좌관이 '퀸트(Quint)' 국가인 영국·프랑스·독일... "
"7","전동화 수주 노리는 현대모비스, 독일 'IAA 모빌리티 2023' 참가","  현대모비스는 다음달 5일(현지 시각)부터 10일까지 독일 뮌헨에서 열리는 'IAA 모빌리티 2023'에 참가해 전동화, 전장 등 양산 가능 신기술 20여 종을 선보인다고 25일 밝혔다. 독일 IAA 모빌리티는 세계 4대 모터쇼 중... "
"8","주한독일대사관·한독상공회의소, 제3회 한-독 기후환경 컨퍼런스 성료","  한독상공회의소(KGCCI)는 지난 24일 주한독일대사관과 함께 ‘제3회 한-독 기후환경 컨퍼런스’를 서울... 주한독일대사관 게오르크 슈미트 대사 내정자, 한독상공회의소 마틴 행켈만 대표, 한국지멘스 티노 힐데브란트... "
"9","한국해양대 국제해양문제연구소, 독일 FOM 대학과 업무협약 체결","  한국해양대학교 국제해양문제연구소(소장 정문수)가 독일 뮌헨 FOM 대학교와 힘을 모은다. 한국해양대는 국제해양문제연구소 정문수 소장과 B. 헤르멜러 FOM 대학교 총장이 8월 23일 14시(독일 현지 시간) FOM 대학교에서... "
"10","흔들리는 유럽 최대 경제대국 독일, AI 투자로 돌파구 모색","  경기 침체에 빠진 유럽 최대 경제 대국 독일이 인공지능(AI) 투자에서 활로를 모색하고 있다고 로이터 통신이 23일(현지 시각) 보도했다. 로이터에 따르면 베티나 슈타르크-바칭어 독일 연구 담당 장관은 이날 향후 2년... "
"11","독일, 누구나 호적의 이름·성별 결정 가능","  앞으로 독일 국민은 누구나 호적과 여권 등에 기재할 법적인 이름과 성별을 스스로 결정하거나 변경할 수 있게 됩니다. 이를 통해 트랜스젠더 등 성 소수자들이 자유와 존엄성을 보장받게 된다고 독일 정부는... "
"12","‘CES 혁신상’ 인디제이, 독일서 한국 기술력 뽐낸다","  미국에서 한국 인공지능(AI) 기술력을 알린 인디제이가 독일 IFA에 참가해 유럽 시장 문을 두드린다. 인디제이(대표 정우주)는 오는 9월 1일부터 5일 독일 베를린에서 열리는 세계 3대 IT 박람회이자 유럽 최대... "
"13","'유사직원' 개념으로 단협 보장받는 독일 방송계 프리랜서","  '방송사 비정규직 근로여건 개선방안 연구'는 해외 비정규직 계약 가이드라인 주요 사례로 독일을 들었다. 독일 지역 공영방송 MDR에선 1년에 71일 넘게 일하는 프리랜서들이 '유사 직원'으로 단체협약과 최저임금을... "
"14","독일 누비는 삼성家..삼성전자·삼성디스플레이","  삼성디스플레이는 23일부터 27일까지(현지 시간) 독일 쾰른에서 열리는 '게임스컴 2023'에 참가하는 하이브IM에 자사 QD-OLED와 OLED를 탑재한 델(Dell), MSI의 34형 모니터와 삼성전자 최신형 노트북(갤럭시북3 울트라)... "
"15","현대모비스, 독일 'IAA 모빌리티' 참가…전동화 기술력 뽐낸다","  현대모비스(012330)는 내달 5일(현지시간) 독일 뮌헨에서 열리는 유럽 최대 모빌리티쇼 'IAA 모빌리티 2023'에 참가해 전동화 중심의 핵심 기술력을 선보인다고 24일 밝혔다. 독일 IAA 모빌리티는 세계 4대 모터쇼 중... "
"16","현대모비스, 독일 모빌리티쇼서 신기술 20여종 공개","  현대모비스는 다음달 독일 뮌헨에서 열리는 'IAA 모빌리티 2023'에 참가해 전동화, 전장 등 양산 가능 신기술 20여종을 선보인다고 24일 밝혔다. 독일 IAA 모빌리티는 세계 4대 모터쇼 중 하나인 프랑크푸르트 모터쇼가... "
"17","'한국인의 식판' 독일 상륙‥태양의 서커스 韓 급식 빠진다","  26일 오후 7시 10분에 방송되는 JTBC '한국인의 식판'에는 독일의 경제 수도 프랑크푸르트에 위치한 '태양의 서커스' 대표 투어쇼 루치아 빌리지로 향해 서커스 단원들을 위한 K-급식을 전파한다. '태양의 서커스'는 연간 약... "
