"","title","contents"
"1","소련 시절 잔혹한 압제 악몽 시달리는 발트해 국가들","  소련 시절 소련군 탱크에 짓밟힌 경험이 있는 에스토니아, 라트비아, 리투아니아 등 발트해 3국의 국민들은... 푸틴 “우크라에서 승리하면 이곳으로 올 것” 라트비아 수도 리가에서 만난 택시 운전사 라이비스는... "
"2","이찬원, 라트비아 시굴다 케이블카에 버럭 ‘무슨 일?’ [MK★TV컷]","  발트 3국 숨은 보석 라트비아 랜선 여행 라트비아 역사부터 이색 케이블카까지 이찬원도 깜짝 놀란 케이블카의 비밀 가수 이찬원이 시굴다 케이블카에 버럭 화를 냈다. 14일 오후 네이버TV에서는 JTBC ‘톡파원 25시’의... "
"3","농구월드컵 개막, 주목할 7가지 이슈들","  그리스는 야니스 아데토쿤보가, 리투아니아는 도만타스 사보니스가, 라트비아는 크리스탭스 포르징기스가... 특히 절대 에이스가 빠지는 그리스, 라트비아 같은 나라는 타격이 꽤 클 전망이다. 영건들을 중심으로 구성된... "
"4","라트비아, 벨라루스 국경에 병력 증파...불법이민 경계 강화","  발트3국인 라트비아는 15일(현지시간) 불법이민의 월경 시도가 급증하는 벨라루스 국경에 병력을 파견했다고 발표했다. AFP 통신 등에 따르면 라트비아 국방장관은 이날 벨라루스 국경에서 지난 24시간 동안 불법 진입... "
"5","쿠팡플레이, FIBA 농구 월드컵 독점 생중계","  그리고 27일(일) 22시 30분에는 프랑스와 라트비아(29위) 경기 역시 쿠팡플레이를 통해 시청할 수 있다.... vs 라트비아 <2023 FIBA 농구 월드컵 조편성(괄호는 세계랭킹)> A조: 이탈리아(10위), 도미니카공화국(23위)... "
"6","[WC 간략 프리뷰] ④스페인, 월드컵 2연패를 꿈꾸다(G조+H조)","  라트비아(H조) - 통산 월드컵 진출 횟수: 1회 - 역대 최고 성적: - - 2019 월드컵 성적: 진출 실패 - 로스터... 과연 라트비아에 어떤 영향을 미칠까? 로디언스 크루츠, 다비스 베르탕스 등이 버티고 있지만 포르징기스가... "
"7","美, '러 밀착' 벨라루스 여행금지국으로 지정…자국민 즉각 철수 촉구","  더힐은 벨라루스에 대한 미국의 여행 경고는 벨라루스와 국경을 맞댄 리투아니아, 라트비아, 폴란드 등 나토... 벨라루스는 동남쪽으로는 우크라이나를, 북서쪽으로는 라트비아, 리투아니아, 폴란드와 국경을 맞대고 있다.... "
"8","폴란드 등에 이어 라트비아도 벨라루스 국경 경비 강화","  러시아 동맹국인 벨라루스가 북대서양조약기구 NATO 동부전선 국가들에 난민을 계속 보내면서 폴란드와 리투아니아에 이어 라트비아도 국경 경비 강화에 나섰습니다. 라트비아 국경수비대는 현지시각 16일 발표한... "
"9","[김현국의 유라시아①] 횡단 100일, 러시아의 재발견","  2023년 8월 23일, 라트비아의 수도 리가로 달려가는 중에 자그마한 도시 ‘시굴다’에서 인터넷을 언제... 8월 23일 현재 E77번, 같은 도로를 따라 라트비아의 리가를 향해 이동하고 있는 중입니다. 라트비아의 리가나... "
"10","라트비아, 벨라루스 국경에 군·경 투입…휴가금지령까지","  라트비아가 폴란드, 리투아니아에 이어 경비를 강화하기 위해 군과 경찰을 동원하고 국경수비대 간부에겐... 16일(현지시간) 외신들에 따르면 라트비아는 벨라루스에서 난민 유입이 급증하고 있다면서 경비를 강화하기... "
"11","농구 월드컵에 불참한 포르징기스, “이렇게 아픈 적은 처음이다”","  라트비아에 도움이 되지 못한 것은 아쉽다. 하지만 새롭게 이적한 보스턴에는 피해를 주고 싶지 않다. 빠르게 복귀할 것이다”라며 몸 상태도 함께 전했다. 한편, 포르징기스가 뛰지 않은 라트비아는 캐나다, 레바논... "
"12","라트비아의 첫 월드컵, 포르징기스는 결국 불참","  라트비아가 꿈에 그리던 첫 월드컵에 나서지만, 크리스탑스 포르징기스(보스턴)는 자리를 비운다. ‘ESPN’... FIBA 랭킹 29위 라트비아는 1991년 소비에트 연방으로부터 독립한 이후 첫 월드컵 진출에 성공했다. 유럽... "
"13","우크라군, 마리우폴 100km 거리까지 전진…리투아니아도 국경 일부 폐쇄","  폴란드에 이어 리투아니아가 국경을 일부 폐쇄하기로 했고 라트비아도 국경 경비 강화에 나섰습니다.... 우선 지정학적 환경이 더욱 위협적으로 변했습니다.""] 라트비아는 최근 크게 늘어난 불법 월경이 사회 불안을... "
"14","폴란드·벨라루스 접경지 긴장 고조… 동유럽 확전되나","  3국(라트비아·리투아니아·에스토니아)은 병력을 증파하고 부분적 국경 폐쇄를 단행했다. 안제이 두다... 벨라루스와 국경을 맞댄 리투아니아와 라트비아도 같은 상황이다. 리투아니아는 지난 4일 “벨라루스 쪽 국경... "
"15","폴란드, 벨라루스 국경에 병력 1000여명 추가 파견","  폴란드와 마찬가지로 EU 회원국이며 벨라루스와 국경을 맞댄 라트비아도 경계 수위를 올리고 있다. tvp월드 등에 따르면 에드가스 린케비치 라트비아 대통령은 8일 벨라루스, 러시아와의 국경을 방문했다. 린케비치... "
"16","이찬원, 낭떠러지에 깜짝 놀랐또('톡파원')","  보석 라트비아, 비현실적인 풍경을 가진 노르웨이 스타방에르 랜선 여행이 신선한 즐거움을 안겼다. 이날... 라트비아에서는 역사와 함께하는 랜선 여행이 몰입을 더했다. ‘톡’파원은 러시아 제국으로부터 되찾은... "
"17","러시아 맥주시장, 중저가 브랜드 중심으로 새로운 경쟁구도 형성","  5 라트비아 6,220 23,880 283.9 3,770 28,800 663.9 리투아니아 66,510 46,930 -29.4 21,030 22,850 체코 42,910 27,880 -35 12... 중국, 라트비아, 독일, 체코의 맥주들이 그 빈자리를 대신하고 있다. 특히 중국과 라트비아의 경우... "
