"","title","contents"
"1","北고려항공 여객기, 3년6개월 만에 러시아 블라디보스토크 도착","  평양서 출발…코로나19로 러시아에 남은 주민 태우고 돌아간 듯 28일 추가 운항 예정…주북 러 대사 ""북한 국경개방 신중히 이뤄질 것"" 최수호 특파원 = 코로나19로 러시아와의 하늘길을 닫았던 북한이 3년 6개월 만에... "
"2","美, 프리고진 암살 당했다고 판단...러시아 미사일은 배제","  미국 정부가 러시아 민간군사기업 바그너그룹의 수장인 예브게니 프리고진의 사망 원인에 대해 암살이라고 잠정 판단했다. 미 당국은 러시아 정부가 대공 미사일을 발사했다는 추측은 부정하면서도 다른 파괴 공작이... "
"3","반란 일으켰던 프리고진, 결국 비행기 추락사…러시아 격추설도","  러시아에서 무장 반란을 시도한 용병기업 바그너그룹의 수장 예브게니 프리고진이 사태 후 2개월 만에 비행기 추락 사고로 사망했다. 23일(현지시간) AP통신 등에 따르면 러시아 재난 당국은 이날 텔레그램을 통해... "
"4","프리고진 죽음 이후 바그너그룹은?…""러시아가 인수 할 것""","  러시아에서 무장 반란을 시도한 용병기업 바그너그룹의 수장 예브게니 프리고진의 죽음 이후에 러시아가 바그너그룹을 인수하려고 시도할 것이라는 관측이 제기됐다. 러시아 민간 용병 기업 ‘바그너 그룹’ 수장... "
"5","“당신은 남자인가요?”…‘여성 목소리로 남성 자극’ 러시아, 왜?","  가운데 러시아가 이 전쟁에 투입할 병사들을 모집하기 위해 남자다움을 내세우거나 돈을 많이 벌 수 있다고 광고 하고 있다고 뉴욕타임스(NYT)가 23일(현지시간) 보도했다. NYT는 최근 4개월간 러시아 국방부가 국영TV와... "
"6","북, 한미일 공동대응 반발…""러시아와 국방 협조""","  로씨야(러시아), 반 중국 포위환을 구축하려는 미국의 흉책은 이번 쑥덕공론을 통해 그 진모가 다시 한번... 아울러 7월 전승절(한국전쟁 정전협정 체결일)을 계기로 세르게이 쇼이구 러시아 국방부 장관이 방북한 이후... "
"7","우크라 “러시아 점령 크름반도에 군 상륙…우크라 국기 게양” 주장","  크름반도, 2014년 불법 합병 후 러시아가 지배 우크라이나가 독립기념일(8월 25일)을 하루 앞둔 24일(현지시간) 러시아가 점령하고 있는 크름반도에 상륙했다고 주장했다. 이날 BBC 방송에 따르면, 안드리 유소프 우크라이나... "
"8","러시아 방송 '프리고진 사망' 30초 단신 보도","  일으켰던 러시아 민간 용병기업 바그너그룹의 수장인 예브게니 프리고진의 사망 소식이 전해지며 전 세계가 충격에 빠졌지만, 러시아 현지에서는 별다른 동요가 감지되지 않습니다. 현지시간으로 24일 영국 BBC, 미국 CNN... "
"9","""한미일 협력, 러시아 억지 목적""…러, 우크라 지원 韓 경고","  마리야 자하로바 러시아 외무부 대변인이 지난 18일(현지시간) 열린 캠프 데이비드 한미일 정상회의를 두고 러시아를 견제하려는 행보라고 날을 세웠다. 동시에 한국이 우크라이나를 지원하면 주변국과 관계가... "
"10","푸틴 치하 러시아 제 1법칙, ""푸틴에 저항하면 목숨이 위태롭다""","  전 세계의 비평가들은 프리고진이 반란에 실패한 직후 무사히 러시아를 탈출한 것은 푸틴이 약점을 들어낸... 과거 푸틴 대통령이 러시아를 범죄조직처럼 운영한다고 공개적으로 비난했던 전직 간첩 알렉산더... "
"11","프리고진, 비행기 추락 사망…바그너 ""러시아 방공망 격추 가능성""","  러시아 용병 기업 바그너 그룹 수장인 예브게니 프리고진이 비행기 추락 사고로 사망했습니다. 지난 6월 무장 반란 사태 2개월 만입니다. 바그너 그룹은 격추 가능성을 제기했습니다. 러시아 국영 타스(TASS) 통신 등 현지... "
"12","러시아, 연해주로 수입되는 일본산 수산물 방사능 검사 강화","  ""방사성핵종 함량 높은 생선 등 반입·유통 방지 목적"" 최수호 특파원 = 러시아 당국이 일본의 후쿠시마... 보도에 따르면 러시아 보건·위생·검역 당국인 소비자 권리보호·복지 감독청(로스포트레브나드조르)은... "
"13","우크라 “러시아 점령 크름반도에 군 상륙…우크라 국기 게양” 주장","  크름반도, 2014년 불법 합병 후 러시아가 지배 우크라이나가 독립기념일(8월 25일)을 하루 앞둔 24일(현지시간) 러시아가 점령하고 있는 크름반도에 상륙했다고 주장했다. 이날 BBC 방송에 따르면, 안드리 유소프 우크라이나... "
"14","러시아 방송 '프리고진 사망' 30초 단신 보도","  일으켰던 러시아 민간 용병기업 바그너그룹의 수장인 예브게니 프리고진의 사망 소식이 전해지며 전 세계가 충격에 빠졌지만, 러시아 현지에서는 별다른 동요가 감지되지 않습니다. 현지시간으로 24일 영국 BBC, 미국 CNN... "
"15","루나-25는 실패했지만…러시아, 인도 달 착륙 축하","  블라디미르 푸틴 러시아 대통령이 23일(현지시간) 달의 남극에 우주선을 착륙시킨 첫 번째 국가인 인도의 성과를 환영했다. 러시아는 지난 주말 47년만에 달 착륙을 시도했지만 실패했다. AFP통신에 따르면 크렘린궁... "
"16","러시아 당국, 프리고진 항공기 추락사고 조사 착수","  러시아 당국은 23일(현지시간) 바그너 그룹 수장 예브게니 프리고진의 항공기 추락사고 후 곧바로 조사에 착수했다. 러시아 수사위원회는 이날 프리고진 전용기 추락 사고 직후 ""항공기 추락 사고에 대한 형사 사건을... "
"17","""'푸틴에 무장반란' 프리고진 사망… 러시아 상공서 비행기 추락""","  러시아 서부 트베리 지역에서 23일(현지시간) 개인여객기가 추락해 탑승객 10명이 사망했다고 러시아 타스통신이 보도했다. 러시아 연방항공운송국은 여객기에 러시아 민간용병기업 바그너 그룹 수장인 예브게니... "
"18","바그네르 ""러시아 방공망이 프리고진 전용기 격추""","  24일(현지시각) 러시아 트베리의 쿠젠키노 마을에서 러시아 군인들이 항공기 추락 현장 인근 도로를 통제하고 있다. 23일 트베리 지역에서 승무원 3명과 승객 7명이 탑승한 바그네르 그룹 소유 항공기가 추락해 전원이... "
"19","“노르웨이, 우크라에 F-16 기증키로”…러시아 vs 노르웨이, 이틀 연속 ‘공...","  노르웨이가 러시아를 상대로 전쟁을 치르고 있는 우크라이나에 F-16 전투기를 지원할 것이라는 보도가 24일(현지시간) 나왔다. 이런 분위기를 반영하듯, 러시아 전투기와 노르웨이 군용기가 이틀 연속으로 상공에서... "
"20","러시아 개인 여객기 추락, 10명 사망...탑승자 명단에 '프리고진'","  러시아 재난 당국은 초기 조사 결과 추락한 여객기에 타고 있던 승객과 승무원 등 10명은 모두 사망했다고... 러시아군 수뇌부 처벌을 요구하며 반란을 시도했던 프리고진은 베라루스로 망명하는 조건으로 처벌을 받지... "
"21","우크라이나 독립기념일에 러시아 공습…미국 “변함없이 지원”","  전쟁 후 두 번째로 맞는 독립기념일에도 우크라이나 곳곳에선 러시아 포격으로 인해 민간인 피해가 이어졌습니다. 미국은 우크라이나가 러시아로부터 자유를 되찾을 때까지 굳건히 지원을 이어가겠다는 의사를... "
"22","러시아서 ‘하수로 이색 관광’ 나선 8명 폭우로 숨져","  러시아 수도 모스크바에서 지하 하수로를 구경하는 ‘이색 관광’에 나섰던 일행 8명이 폭우에 휩쓸려 숨지는 사고가 발생했다. 22일(현지시간) 러시아 리아노보스티 통신과 영국 BBC 방송 등에 따르면 지난 20일 모스크바... "
"23","프리고진 전용기 잔해 살펴보는 러시아 군인","  24일(현지시각) 러시아 트베르 지역 쿠젠키노 마을 인근에서 러시아 군인이 추락한 바그네르 그룹 전용기의 잔해를 바라보고 있다. 바그네르 그룹의 수장 예브게니 프리고진은 23일 전용기를 타고 상트페테르부르크로... "
"24","러시아 ""우크라가 모스크바로 첫 미사일 공격...요격""","  러시아 국방부는 오늘 (현지 시간 25일) 우크라이나가 수도 모스크바를 겨냥해 미사일 공격을 처음으로 시도했다고 주장했습니다. 러시아 국방부는 새벽 우크라이나가 개량한 S-200 미사일로 러시아 본토의 민간 시설을... "
"25","'프리고진 사망' 보도하는 러시아 언론","  24일(현지시간) 러시아 용병기업 바그너그룹 수장 예브게니 프리고진의 사망 소식을 보도하는 러시아 국영 로시야1 방송과 신문사 콤메르산트. 이날 러시아의 저녁 시간대 메인 뉴스 프로그램들은 프리고진이 비행기... "
"26","독립기념일, 러시아 로켓 파편 구경하는 키이우 시민","  우크라이나 독립기념일인 24일(현지시각) 키이우에서 시민들이 거리에 전시된 러시아의 로켓 파편들을 구경하고 있다. 우크라이나는 1991년 구소련으로부터 독립했다. 2023.08.25. 공감언론 뉴시스가 독자 여러분의... "
"27","""공동의 원수 반대""…北국방장관, 러시아와 '위협인식' 조율","  내세워 러시아와의 연대 의지를 피력했다. 특히 ""공동의 원수를 반대하는 정의의 싸움에서 러시아와의 전투적 우의와 단결을 백배해 나갈 것""이라며 북러가 위협인식을 공유하고 있다는 점을 부각한 모양새다. 정상회의를... "
"28","프리고진 전용기 추락 현장 경비하는 러시아 경찰","  24일 (현지시간) 예브게니 프리고진 러시아 바그너 용병 그룹 수장이 탑승한 전용기가 추락한 트베르 지역 쿠젠키노 주변서 경찰이 경비를 하고 있다. 2023.08.25 ⓒ 로이터=뉴스1 "
"29","러시아 대숙청 시작?…죽은 프리고진 측근 '아마겟돈 장군' 해임","  러시아가 '아마겟돈 장군'으로 불리는 세르게이 수로비킨 항공우주군 총사령관을 직위 해제했다. 수로비킨은... 러시아 국영통신 RIA는 ""세르게이 수로비킨 전 러시아 항공우주군 총사령관이 현재 직위 해제됐고, 공군 주요... "
"30","러시아, 바렌츠해 상공서 노르웨이와 이틀 연속 ‘대치’","  러시아와 노르웨이가 바렌츠해 상공에서 이틀 연속 대치했다. 24일 연합뉴스에 따르면 로이터 통신은 러시아 국방부가 바렌츠해 상공에서 러시아 영공에 접근하는 노르웨이 군용기를 저지하기 위해 미그-31 전투기를... "
"31","中·러시아 우군 확보…브릭스, 사우디 등 6개국 합류(종합)","  브라질, 러시아, 인도, 중국, 남아프리카공화국 등 신흥경제 5개국으로 구성된 브릭스(BRICS)가... 미국의 견제를 받고 있는 중국과 러시아는 브릭스 회원국 확대에 적극적이다. 시진핑 중국 국가주석은 요하네스버그에서... "
"32","러시아 법원, ‘간첩 혐의’ WSJ 기자 구금기간 11월까지 연장","  러시아 법원이 간첩 혐의로 구금 중인 에반 게르시코비치 월스트리트저널(WSJ) 기자의 구금 기간을 11월... 달라는 러시아 연방보안국(FSB)의 요청을 수용했습니다. 미국 국적으로 WSJ 모스크바 지국 소속 특파원인... "
"33","러시아 영웅과 악수하는 푸틴","  블라디미르 푸틴(왼쪽) 러시아 대통령이 23일(현지시각) 쿠르스크 포니리 마을에서 열린 쿠르스크 전투 80주년 기념행사에서 '러시아 영웅' 칭호를 받은 라심 박시코프 전차 중대장과 악수하고 있다. 쿠르스크 전투는... "
"34","우크라이나 독립기념일, 러시아 공습으로 최소 13명 부상","  우크라이나가 러시아의 침공 후 2번째 독립기념일을 맞은 현지시간 24일 러시아가 중부와 남부 지역에 공습을 가해 최소 13명이 다쳤다고 로이터 통신이 보도했습니다. 우크라이나 중부 드니프로주의 세르히 리삭... "
"35","러시아 거장들의 작품을 만난다…대구시향 내달 8일 정기공연","  차이콥스키, 프로코피예프, 칼리니코프 등 러시아 거장들의 작품을 만날 수 있다. 첫 무대는 차이콥스키의 잠자는 숲속의 미녀 모음곡 중 제1곡과 제2곡 일부를 발췌해 연주하는 것으로 시작한다. 이어 바이올리니스트... "
"36","""인기가 예전 같지 않네""…요즘 '러시아인' 푹 빠진 이 술은? [클릭! 세계 산...","  '러시아인' 하면 사람들이 흔히 떠올리는 이미지입니다. 하지만 사실 러시아인들은 보드카보단 맥주를 훨씬 더 잦은 빈도로 찾는다는데요. 특히나 최근엔 중저가 맥주를 찾는 빈도가 늘어났다고 합니다. 그 배경엔... "
"37","'암살 의혹' 프리고진…러시아인들 옛 바그너 본부에 추모 촛불","  러시아 바그너그룹 수장인 예브게니 프리고진을 태운 비행기가 암살 음모의 결과로 추락한 것으로... 러시아 정부는 추락 원인을 조사 중이라고 밝혔지만 자세한 설명은 내놓지 않았다. 프리고진의 와그러나 관련 소셜... "
"38","한미일 회담 비판한 러시아 “북한 구실 삼아 긴장만 부추겨”","  러시아가 최근 한·미·일 정상회담이 북한의 핵미사일을 구실 삼아 아시아·태평양의 긴장을 고조시키는... 마리아 자하로바 러시아 외무부 대변인이 지난 4월 모스크바 러시아 외무부에서 기자회견을 하고 있다.(사진=AFP)... "
