"","title","contents"
"1","러, 루마니아 인접 우크라 항만 또 공습…곡물 1만3천t 손실","  회원국 루마니아와 인접한 우크라이나 서남부 항만을 또다시 공습했다고 23일(현지시간) 로이터 통신이... 또한 이집트와 루마니아로 수출될 예정이던 곡물 1만3천t이 손실됐다고 덧붙였다. 아울러 지난달 러시아가 흑해를... "
"2","문경시, 루마니아에서 열린 한국 관광 홍보 행사 참석","  루마니아 부쿠레슈티에서 열린 한국 관광 홍보 행사에 문경시가 참여했습니다. 지난 8월 15일부터 21일까지 진행된 행사는 한국과 루마니아의 웰빙 전통문화 교류의 일환으로 시행됐습니다. 행사에는 사찰음식으로 유명한... "
"3","러시아, 루마니아 인근 우크라이나 항구 공격‥ 노르웨이 군용기에도 대응 출...","  러시아가 북대서양조약기구 나토 회원국 루마니아와 인접한 우크라이나 서남부 항만을 또다시... 이즈마일 항구는 루마니아와 국경을 이루고 있는 다뉴브강을 통해 러시아의 흑해 봉쇄를 우회할 수 있어 곡물 대체... "
"4","루마니아에서 분경오미자, 도자기, 관광 알렸다","  경북 문경시는 8월 15일부터 21일까지 루마니아 테르메 부쿠레슈티에서 웰빙 전통문화 교류의 하나로 개최한... 현재는 독일, 루마니아 등 4곳에 테르메를 운영 중이다. 특히, 2016년 루마니아에 개장한 부쿠레슈티 테르메의... "
"5","루마니아로 원전영토 넓히는 한수원…소형모듈원전 해외 시장에도 도전장","  6월 루마니아 체르나보다 원전 삼중수소제거설비 건설사업 수주에 성공하는 등 해외 원전시장 진출에 적극 나서고 있다. 이 프로젝트는 루마니아 원자력공사(SNN)가 발주하고 한수원이 단독 입찰해 수주한 사업으로... "
"6","루마니아도 반한 문경 오미자·전통 도자기","  세계적 리조트그룹인 테르메그룹이 최근 루마니아 수도 부쿠레슈티에서 개최한 ‘코리안 데이즈 엣... 특히 김선식 사기장과 루마니아 출신의 세계적인 도예가 다니엘 래쉬와의 콜라보로 진행된 특별체험 행사에선... "
"7","우크라 곡물 수출 생명줄…루마니아 술리나 운하가 뜬다","  삼각주 루마니아 영토에 있는 술리나 수로(운하)가 우크라이나 곡물 수출로의 유력한 대안으로 부상하고... 북대서양조약기구(NATO) 회원국인 루마니아 내륙 수로여서 우크라이나 항구를 미사일 공격해온 러시아의... "
"8","마케팅 차별화·혁신 아이디어…불황에도 빛난 남다른 '기업 DNA'","  지난 6월 루마니아 체르나보다 원전 삼중수소제거설비 건설사업 수주에 성공한 것이 대표적이다. 이 프로젝트는 루마니아 원자력공사(SNN)가 발주하고 한수원이 단독 입찰해 수주한 사업으로, 원전 단일설비 수출로는... "
"9","모스크바 6일 연속 드론 피격, 미 국무부 ""러시아 내부 공격 권장 안해""...러...","  ■ 러시아, 루마니아 인접 시설 공격이런 가운데, 러시아군이 나토 회원국 루마니아와 인접한 우크라이나 서남부 항만을 또다시 공습했습니다.올렉산드르 쿠브라코우 우크라이나 부총리는 23일 남부 오데사주... "
"10","[러시아 우크라이나 전쟁] 러, 루마니아 인접 우크라 항만 또 공습…곡물 1만...","  회원국 루마니아와 인접한 우크라이나 서남부 항만을 또다시 공습했다고 23일(현지시간) 로이터 통신이... 또한 이집트와 루마니아로 수출될 예정이던 곡물 1만3천t이 손실됐다고 덧붙였다. 아울러 지난달 러시아가 흑해를... "
"11","TBC)문경 루마니아 헤르매 웰빙교류전 참가 호평","  문경시가 최근 루마니아 부쿠레슈티에서 열린 테르매 웰빙 전통문화교류전에 참가해 호평을 받았습니다. 문경시는 현지에서 문경 오미자와 사찰음식 시연, 도자기 전시 등 다양한 관광자원을 홍보해 3만 5천여 명이... "
"12","한국·아프리카 등 디아스포라 리더십이 英 재복음화 이끌어","  1%) 그리고 동유럽의 루마니아(5.4%) 정도다. 그나마 중부유럽에서는 스위스(4.4%)와 독일(2.1%)이 복음의 불씨가... 이어 방문했던 루마니아에서는 부흥의 불길이 국가를 넘어 전 유럽으로 번지는 진기한 현상을 목도했다. 사실... "
"13","현대로템, 루마니아에 K2전차 도입 제안…""민첩성·기동성 장점""","  현지 조립생산, 기술이전 의향 전달 루마니아 신형 전차 300대 도입 추진 현대로템이 폴란드에 이어 루마니아까지 'K-방산' 수출의 쾌속 질주한다. 루마니아에 K2 전차 공급을 제안하며 수출을 타진한다. 현대로템은... "
"14","잼버리 대원들, 경북서 템플스테이·세계문화유산 탐방","  '2023 새만금 세계스카우트 잼버리' 공식 일정이 끝난 뒤 체코와 루마니아 대원 등이 경주와 안동에서... 체코와 루마니아에서 참가한 102명은 12∼13일, 우루과이 참가자 33명은 12∼14일 경주와 안동에서 세계문화유산을... "
"15","러, 루마니아 코앞 항만 또 공습…젤렌스키 ""세계가 대응해야""","  회원국인 루마니아와 국경을 맞댄 우크라이나의 다뉴브강 항구를 또다시 공습했다고 2일(현지시간) 로이터... 이즈마일은 다뉴브강을 경계로 루마니아와 국경을 접하고 있는 우크라이나 남단의 항구 도시로, 다뉴브강을... "
"16","우크라이나 전쟁과 한국의 식량안보","  영향이 미미한 이유로는 동유럽 내 루마니아 등의 곡물 수출 여력이 충분하고, 3차 협정 이후 우크라이나가... 통한 루마니아로의 우회 수출 비중이 상승한 것으로 알려졌다. 다뉴브강을 통한 우회 수출 비율이 기존 20... "
