"","title","contents"
"1","디산협, 룩셈부르크와 K-디지털헬스 유럽진출 매칭","  한국디지털헬스산업협회(이하 디산협)는 지난 11일 서울 중구 연세봉래빌딩에서 주한룩셈부르크대표부와 헬스테크 유럽진출 지원 설명회를 겸한 일대일 매칭데이를 열었다고 18일 밝혔다. 이날 참석한 룩셈부르크... "
"2","디지털산업協, 룩셈부르크와 유럽진출 매칭","  ﻿한국디지털헬스산업협회(회장 송재호)가 지난 11일 서울 중구 연세봉래빌딩에서 주한룩셈부르크대표부와 헬스테크 유럽진출 지원 설명회를 겸한 일대일 매칭데이를 열었다. 이날 참석한 룩셈부르크 사절단은... "
"3","고양경제자유구역, 최종 지정 준비 '착착'","  고양특례시·룩셈부르크 사절단 간담회./사진=고양시청 고양특례시는 민선 8기 핵심 공약인 경제자유구역... 고양특례시·룩셈부르크 사절단 간담회./사진=고양시청 시는 올해 초 기존의 산하기관 협력회의를 '고양... "
"4","고양시, 룩셈부르크와 손잡고 바이오 클러스터 조성 박차","  경기 고양특례시가 10일 대화동 GIFC타워 투자회의실에서 룩셈부르크 사절단과 간담회를 열고 경제자유구역... 공유하고 룩셈부르크와 공동추진 가능 사업에 대해 논의했다. 룩셈부르크 사절단은 로맹 마틴 교육부 선임... "
"5","고양시 ‘바이오 클러스터 조성’ 룩셈부르크와 맞손","  경기 고양시(시장 이동환)가 10일 대화동 GIFC타워 투자회의실에서 룩셈부르크 사절단과 간담회를 개최하고... 이날 간담회에서 시는 경제자유구역 추진상황과 바이오 정밀의료 클러스터 조성계획을 공유하고 룩셈부르크와... "
"6","정부, '70년 우방국' 룩셈부르크와 양자기술 개발 협력","  있는 룩셈부르크와 '양자과학기술' 개발을 위해 힘을 모은다. 전문인력 양성, 정책 수립 등에서도 협력하고 향후 공동 프로젝트까지 함께 추진한다는 계획이다. 과학기술정보통신부는 26일 룩셈부르크 미디어통신부와 한... "
"7","70년만에 한국 온 룩셈부르크 노병…尹 ""건강한 모습에 기뻐""","  윤석열 대통령이 25일 6·25 전쟁 정전 70주년을 맞아 방한한 90대의 룩셈부르크 참전 용사를 만나 감사의 뜻을 전했다. 윤 대통령은 이날 용산 대통령실에서 열린 자비에 베텔 룩셈부르크 총리와 정상회담에 앞서 6·25 전쟁... "
"8","""어떻게 두 번 용기냈나""…룩셈부르크 노병에 尹이 물은 질문","  베텔 룩셈부르크 총리와 신디 키로 뉴질랜드 총독을 연달아 면담했다. 두 나라 정상은 정전협정 체결 70주년 기념일이자 ‘유엔군 참전의 날’(7월 27일)을 맞아 방한했다. 6·25 당시 룩셈부르크는 병력 83명을, 뉴질랜드는... "
"9","룩셈부르크 총리, 복합문화공간 F1963 찾은 인연 각별했다","  룩셈부르크는 22개 한국전 참전국 중 인구 대비 최다 인원을 파병한 국가이다. 룩셈부르크가 전투부대를 파병한 것은 지금까지도 한국이 유일하다. 1951년 1월부터 육군 1개 소대가 벨기에 대대에 편입돼 임진강, 학당리... "
"10","尹, 6·25 참전 92세 룩셈부르크 노병 만나 전한 말은…","  베텔 룩셈부르크 총리와 신디 키로 뉴질랜드 총독과 연달아 면담했다. 이에 앞서 윤 대통령은 참전국... 6·25 전쟁 당시 인구가 20여만 명이던 룩셈부르크는 전투병 100명을 파병해 22개 참전국 중 인구 대비 가장 많은... "
