"","title","contents"
"1","나토 동부전선 폴란드·리투아니아 프리고진 사망에 경계감","  위험"" 리투아니아 대통령 ""많은 것 달라지진 않아""…EU는 신중 입장 이율 정빛나 특파원 = 러시아 용병기업 바그너그룹이 주둔중인 벨라루스와 국경을 맞댄 북대서양조약기구(NATO·나토) 동부전선의 폴란드와 리투아니아는... "
"2","“벨라루스 즉시 떠나라”…美, 자국민에 권고","  폴란드와 리투아니아, 라트비아 등 인접국들은 러시아의 민간군사기업(PMC) 바그너 그룹이 지난 6월 말... 더욱이 이달 초 벨라루스군과 바그너 그룹이 폴란드와 리투아니아 국경 인근에서 군사 훈련까지 벌이며 이들... "
"3","프리고진 사망에 전세계 예의주시","  폴란드와 리투아니아는 상황을 예의주시하면서 경계감을 드러냈다. 마테우슈 모라비에츠키 폴란드 총리는... 기타나스 나우세다 리투아니아 대통령은 이날 우크라이나 키이우에서 ""프리고진의 죽음이 실제로 확인된다고... "
"4","유승민 ""尹대통령, 오염수 방류 찬성해놓고…말장난""","  이미 윤석열 대통령께서 7월 12일 리투아니아 나토 정상회의에 가서 거기서 한일 정상회담을 했죠. 윤... ◇ 김현정> 리투아니아 총리 앞에서. ◆ 유승민> 네, 리투아니아에서, 그때 우리 국민들한테는 단 한마디도 찬성... "
"5","우크라군, 마리우폴 100km 거리까지 전진…리투아니아도 국경 일부 폐쇄","  동부 유럽에도 긴장이 고조되고 있는 가운데 폴란드에 이어 리투아니아도 벨라루스와의 국경 일부를... 폴란드에 이어 리투아니아가 국경을 일부 폐쇄하기로 했고 라트비아도 국경 경비 강화에 나섰습니다. 리투아니아... "
"6","“바이든 죽어라” 우크라 어린이들 ‘反美’ 세뇌교육 (WSJ)","  이날 성명은 벨라루스에 주둔 중인 러시아 용병단 바그너 그룹에 대한 우려로 나토 회원국인 폴란드, 리투아니아, 라트비아 등 벨라루스 인접 국가들이 국경 보안을 강화한 가운데 나왔다. 앞서 리투아니아는 지난주... "
"7","리투아니아, 벨라루스 국경 일부 닫아","  북대서양조약기구, 나토 동부 전선에 위치한 리투아니아가 벨라루스에 러시아 용병기업 바그너 그룹의 용병들이 대거 배치된 데 대응해 벨라루스와의 국경 중 일부를 폐쇄했습니다. 리투아니아는 벨라루스와 국경을... "
"8","폭염 속 호수에 뛰어드는 리투아니아 사람들","  17일(현지시각) 리투아니아 빌뉴스 인근 호수에서 사람들이 물놀이를 즐기고 있다. 리투아니아 최고 기온이 32도를 기록하면서 폭염이 이어지고 있다. 2023.08.18. 공감언론 뉴시스가 독자 여러분의 소중한 제보를... "
"9","[FIBA WC] 발렌츄나스가 이끄는 리투아니아, 월드컵 최종 엔트리 12인 발표","  월드컵에 나설 리투아니아 전사 12인이 정해졌다. FIBA(국제농구연맹)는 15일(한국시간) 공식 소셜미디어를 통해 오는 25일부터 일본, 필리핀, 인도네시아에서 공동 개최되는 2023 FIBA 농구 월드컵에 출전할 리투아니아... "
"10","성모 승천 대축일 기념하는 리투아니아 사람들","  15일(현지시각) 리투아니아 빌뉴스주 트라커이 마을에서 성모 승천 대축일 행사가 열려 가톨릭 순례자들이... 성모 승천은 성모 마리아가 죽은 후 육체도 영혼과 함께 승천했다는 가톨릭 교의로 리투아니아는 이날을... "
