"","title","contents"
"1","스위스·리히텐슈타인, 일본 식품 수입 규제 철폐","  일본 농림수산성은 15일 스위스와 리히텐슈타인이 2011년 후쿠시마 제1원자력발전소 폭발 사고 이후 유지해 온 일본산 식품에 대한 수입 규제를 철폐했다고 발표했다. 일본은 이에 따라 스위스와 리히텐슈타인에... "
"2","스위스·리히텐슈타인 日식품 규제 폐지…유럽서 러'만 남아","  스위스와 리히텐슈타인이 후쿠시마 등 일본산 식품에 관한 규제를 폐지했다. 일본 농림수산성(농수산성)에... 리히텐슈타인으로 수출된 식품은 전무했다. 앞으로 후쿠시마·이와테·미야기·야마가타·이바라키·군마... "
"3","핀란드·리히텐슈타인·영국 잼버리 대원들, 성남서 한국문화 체험","  핀란드와 리히텐슈타인, 영국 등 3개국 잼버리 대원들은 제6호 태풍 카눈이 한반도에 상륙함에 따라 대부분 실내 프로그램을 통해 한국문화를 체험하는 시간을 가졌다. 이들 대원들은 9일부터 10일까지 중원청소년수련관... "
"4","리히텐슈타인 '비처럼 아래로'","  =뉴스1) = 미국 제임스 리히텐슈타인이 25일 오후 일본 후쿠오카 씨사이드 모모치 해변공원에서 열린 '2023 세계수영선수권대회' 남자부 하이다이빙에서 연기를 펼치고 있다. 2023.7.25/뉴스1 "
"5","잼버리 대원 200여명, 네이버 1784서 다양한 신기술 체험","  (사진=네이버) 세계스카우트 잼버리를 맞아 대한민국을 찾은 핀란드, 리히텐슈타인, 스위스, 필리핀 등 다양한 국적의 잼버리 대원 200여명이 10일 경기도 성남에 위치한 네이버 1784 사옥을 방문했다. 네이버(NAVER(035420)... "
"6","유럽, 일본산 식품 수입규제 철폐...韓 포함 7곳 유지","  스위스와 리히텐슈타인도 이달 15일부터 일본산 식품에 대한 수입 규제를 철폐할 예정이다. 앞서 안드레아스 바움 주일 스위스대사는 지난달 31일 우치보리 마사오 후쿠시마현 지사를 만나 15일부터 이 같은 방침을... "
"7","람다256, 블록체인 메인넷부터 토큰증권까지 공격적인 행보 '눈길'","  람다256은 지난 6월 룩셈부르크와 리히텐슈타인 기반 자산 토큰화 플랫폼 기업인 브이엔엑스(VNX)와 전략적... 브이엔엑스는 지난 2019년 룩셈부르크에서 토큰화 플랫폼을 출시한 후 리히텐슈타인 당국에 등록을 거쳐... "
"8","""방사능 검사 필요없다"" EU 이어 스위스도 日식품 규제 철폐","  우치보리 지사는 다른 유럽자유무역연합(EFTA, 스위스·노르웨이·아일랜드·리히텐슈타인) 국가들에도 일본산 식품 수입 규제 폐지를 촉구할 방침이다. 노르웨이, 아이슬란드, 리히텐슈타인은 EU 회원국은 아니지만... "
"9","러시아, 비우호국 제품 관세 인상 및 수입 금지 확대","  아이슬란드, 리히텐슈타인, 영국, 북아일랜드 등 38개국이 원산지인 해산물 수입금지 조치도... 아이슬란드, 리히텐슈타인, 영국, 북아일랜드 *주: 품목 설명은 참고용으로 제공되는 정보로 규제 해당 품목... "
"10","성남시청소년재단, 세계스카우트잼버리 대원에게 문화 체험 및 교류 활동 지원","  “한국-3개국(영국, 리히텐슈타인, 핀란드) 청소년 간 교류 활동 지원 나서” 성남시청소년재단(대표이사... 성남시청소년재단은 성남에 방문한 영국, 리히텐슈타인, 핀란드 총 3개국의 잼버리 대원을 대상으로 한국의... "
"11","러 출신 래퍼 부부, 비트코인 5조 8711억원 훔쳐 돈세탁한 혐의 인정","  래즐칸이란 이름으로 활동하며 꽤 전도 유망한 래퍼로 인정받던 헤더 모건과 남편 일야 리히텐슈타인이... 두 사람은 유죄를 인정하는 과정에 리히텐슈타인은 자신이 해킹 배후였음을 인정했다. 부부 모두 돈세탁... "
"12","2016년 수십억달러 암호화폐 훔친 부부, 돈세탁 혐의 유죄","  일리야 리히텐슈타인(35)과 그의 아내 헤더 모건(32)이 유죄를 인정했다. 이들 부부는 최고 20년의 징역형을... 리히텐슈타인은 암호화폐 거래소 네트워크 침투를 위해 다양한 고급 해킹 도구와 기술을 사용했으며, 2... "
"13","빗썸 부리또월렛, 유럽 STO 플랫폼 VNX와 맞손","  VNX는 리히텐슈타인 금융시장청(FMA) 등록된 암호화폐 전문 기업이다. 이번 제휴에 따라 빗썸 부리또... VNX골드는 리히텐슈타인 보안 금고에 보관된 LBMA 인증 실물 금을 소유할 수 있는 토큰이며 유로와 스위스 프랑은... "
"14","리히텐슈타인, 특정 국가 서비스 결제 비트코인 도입","  중앙유럽의 내륙국인 리히텐슈타인이 특정 국가 서비스에 대한 결제수단으로 비트코인을 도입할 계획이다. 8일(현지시간) 다니엘 리쉬 리히텐슈타인 총리는 “특정 국가 서비스에 대한 비트코인 결제를 허용할... "
"15","리히텐슈타인, 비트코인으로 정부 서비스 결제 허용","  스위스 인접 국가 리히텐슈타인이 정부 서비스에 비트코인 결제를 허용할 예정이다. 리히텐슈타인의 다니엘 리쉬(Daniel Risch) 총리는 특정 국가 서비스에 대한 비트코인 결제를 허용할 계획이라고 말했다고... "
"16","리히텐슈타인, 비트코인 통한 정부 서비스 결제 옵션 도입한다","  유럽 오스트리아와 스위스 사이에 위치한 리히텐슈타인이 비트코인을 활용한 정부 서비스 결제 옵션을 도입한다고 8일 밝혔다. 다니엘 리슈 리히텐슈타인 총리는 비트코인 수용 계획을 발표하는 자리에서 ""비트코인으로... "
"17","보물창고, 리히텐슈타인미술관을 찾아서","  리히텐슈타인미술관이 특히 그랬다. 흥미롭게도 인구 4만명에 불과한 유럽의 초(超)미니국가 리히텐슈타인의 최고 미술관이 오스트리아 빈 한복판에 있다. 리히텐슈타인 수도 바두츠(Vaduz)에도 국립미술관을 비롯한... "
"18","라인게임즈, '엑소스 히어로즈’ 신규 페이트코어 ‘카잘-리히텐슈타인’ 출시","  신규 블랙 페이트코어 ‘카잘-리히텐슈타인’ 출시…19일까지 확률업 신규 전용 장비 ‘루나 탈와르’... ‘카잘-리히텐슈타인’과 전용 장비를 출시했다. ‘카잘-리히텐슈타인’은 4성 영웅 ‘리히텐슈타인’의... "
"19","라인게임즈, '엑소스 히어로즈’ 신규 페이트코어 ‘카잘-리히텐슈타인’ 출시","  라인게임즈(대표 김민규)는 13일 자사가 서비스하는 모바일 RPG '엑소스 히어로즈'에 신규 페이트코어(캐릭터 능력 및 외형 변경 의상) ‘카잘-리히텐슈타인’과 전용 장비를 출시했다. ‘카잘-리히텐슈타인’은 4성... "
"20","[강길선 교수의 돌로미티 알프스 문명기] 리히텐슈타인 가문이 다스리는 공국...","  /강길선(교수, 전북대학교 고분자나노학과) 오스트리아 인스브루크에서 리히텐슈타인공국의 수도인... 이 오스트리아를 등 뒤로 하고 리히텐슈타인 공국(Principality of Liechtenstein)의 수도 파두츠(Vaduz)시로 향한다.... "
"21","유럽 최초 제도권 스테이블 코인 나왔다...VNX골드, 리히텐슈타인서 출시","  VNX는 리히텐슈타인 FMA(금융위원회)에 귀금속의 구매, 판매, 보관을 용이하게 하고 이를 암호화폐로 거래할... 참고로 리히텐슈타인은 블록체인법(The Blockchain Act)을 통과시켜 유럽 블록체인 업체가 금융감독당국... "
"22","[442.review] 호날두, 기념비적인 경기 '멀티골' 폭발…포르투갈, 리히텐슈타...","  1라운드에서 리히텐슈타인에 4-0으로 승리했다. 포르투갈은 5-3-2 포메이션을 사용했다. 펠릭스, 호날두, 실바... 리히텐슈타인도 5-3-2 포메이션을 선택했다. 젤레, 하슬러, 프로멜트, 호퍼, 볼핑어, 트라버, 말린 등을 선발로... "
"23","[문화공작소] 만화, 오밀조밀 색점들로 예술이 되다! ‘로이 리히텐슈타인展:...","  ‘로이 리히텐슈타인展: 눈물의 향기’ 두터운 검은 테두리, 말풍선, 선과 면의 재배치 등과 구멍이... 번데이점(Benday Dot)이라 불리는 이 기법을 탄생시킨 로이 리히텐슈타인(Roy Lichtenstein) 개인전(4월 3일까지... "
"24","[전시 소개] 팝 아트의 선구자, 로이 리히텐슈타인","  로이 리히텐슈타인(1923~1997)이라는 미국 화가, 알아? 그가 그린 그림을 보면 ‘아하!’ 할거야. 리히텐슈타인은 ‘팝아트’의 선구자.1950년대 후반 미국에서 생겨난 팝아트는 만화, 영화, 광고, TV 같은 대중문화를... "
"25","팝 아트의 거장 '로이 리히텐슈타인' 국내 첫 단독展 개최…130여점 작품 선봬","  '로이 리히텐슈타인展 - 눈물의 향기' 포스터 ⓒ메이드인뷰 지난 2008년 삼성 비자금 사건으로 대중에게 알려졌던 작품인 '행복한 눈물'의 작가 로이 리히텐슈타인 전시회가 한화갤러리아포레 서울숲... "
"26","[Review] 예술과 비예술의 경계를 허물다 - 로이 리히텐슈타인展","  앤디 워홀, 장 미쉘 바스키아와 함께 팝아트의 대표적인 거장 중 한명으로 불리는 팝 아티스트 로이 리히텐슈타인의 국내 최초 전시회 <로이 리히텐슈타인展: 눈물의 향기>가 2021년 12월 3일부터 2022년 4월 3일까지... "
"27","[Review] 로이 리히텐슈타인이 일으킨 변화의 길을 만나다","  전시는 보는 것만으로는 이해하기 난감하고, 제목조차 ‘무제’인 로이 리히텐슈타인의 작품으로 시작한다. 작은 사이즈의 두 작품은 리히텐슈타인이 화가로 활동하기 시작한 당시 유행했던 추상표현주의 화풍을 담고... "
