"","title","contents"
"1","사도 바울, 데살로니가에 다시 방문하고 싶었지만…","  ‘북(北)마케도니아’ 수도 스코페(Skopje)에 있는 알렉산드로스 대왕의 동상을 보지 않았다면 충분히 그렇게 생각 할 수도 있다. 유고슬라비아 연방 해체 이후 1991년에 독립한 나라인 ‘북(北)마케도니아’ 수도 스코페... "
"2","2053년 지구의 미래상을 체험하는 마케도니아 대원들","  '2023 새만금 제25회 세계스카우트잼버리' 마케도니아 대원들이 9일 서울 중구 SK텔레콤 미래기술체험관 T.um(티움)에서 가상현실과 증강현실 콘텐츠로 구성된 프로그램을 체험하고 있다. 티움은 미래 인류가... "
"3","치즈마을 방문한 마케도니아 스카우트 대원","  2023 새만금 세계스카우트 잼버리 참가를 위해 방한한 마케도니아 스카우트 대원들이 지난달 31일 농촌체험휴양마을인 전북 임실군 성수면 치즈마을을 방문하고 있다. 2023.8.2 [임실군청 제공. 재판매 및 DB금지] "
"4","임실 찾은 '마케도니아 스카우트 대원'들, 치즈마을 매력에 흠뻑","  심 군수는 세계잼버리 개막을 하루 앞둔 31일 임실군을 첫 방문한 마케도니아 청소년들을 직접 맞이하고 대한민국과 전북, 임실을 알리는 홍보 대사 역할을 톡톡히 해냈다. 이날 임실치즈마을에는 마케도니아 청소년... "
"5","'잼버리 철수' 수습 나선 이통사…체험관 개방 SKT·야구경기 초청 KT [IT돋보...","  '티움' 체험관은 지난달 마지막 주부터 다음달 초까지 약 2개월간 시스템 점검을 위해 휴관할 계획이지만, 잼버리 행사 지원을 위해 마케도니아 대원 50여 명을 대상으로 임시 개방했다. 티움 체험에서 마케도니아... "
"6","[기자수첩]잼버리 '니탓 내탓' 이젠 부끄럽다","  마케도니아 스카우트 대원들은 서울 중구 을지로 본사에 위치한 미래기술체험관 티움(T.um)을 방문하기도 했다. 마케도니아 대원 50여명은 지난 9일 티움에서 가상현실과 증강현실 등의 콘텐츠로 구성된 티움의... "
"7","ICT업계, 잼버리 지원에 한뜻…본사 투어도","  마케도니아 스카우트 대원들은 서울 중구 을지로 본사에 위치한 미래기술체험관 티움(T.um)을 방문하기도 했다. 마케도니아 대원 50여명은 지난 9일 티움에서 가상현실과 증강현실 등의 콘텐츠로 구성된 티움의 체험... "
"8","분주해진 '잼버리 손님맞이'...기업들 ""즐겁고 유익하게""","  ▲ 마케도니아 스카우트 대원이 9일 오후 SK텔레콤 미래기술체험관 티움(T.um)을 방문, 미래 세상에 대한 가상... SK텔레콤은 9일 서울 중구 을지로 본사에 있는 미래기술체험관 티움(T.um)에서 마케도니아 스카우트 대원... "
"9","[베이직 묵상] 밤을 새워 강론하다","  [바울의 마케도니아와 그리스 여행] 20:1 소동이 그친 뒤에, 바울은 제자들을 불러오게 해서, 그들을 격려한 뒤에, 작별 인사를 하고, 마케도니아로 떠나갔다. 20:2 바울은 그 곳의 여러 지방을 거쳐가면서, 여러 가지... "
"10","터키 국부(國父) 케말 파샤의 고향이 데살로니가?","  데살로니가는 마케도니아의 정치와 경제 중심지로서 더욱 번영하게 되었다. 특히 사도 바울이 뿌린 복음의... 그리고 1903년과 1904년에 걸쳐 마케도니아 항쟁의 중심지가 되었고, 드디어 제1차 발칸전쟁을 통해 1912년에... "
