"","title","contents"
"1","첼시 안가고 프랑스를 간다고? AS모나코 아스널과 ‘리그앙 폭격기’ 영입 합...","  첼시, 인터밀란, 모나코가 관심이 있었지만 모나코로 이적하는 분위기다. 영국 매체 ‘디 애슬레틱’은 25일(한국 시각) ‘모나코가 아스널과 폴라린 발로건 영입에 거의 합의에 이르렀다. 계약이 마무리되면 발로건은... "
"2","'한지 작가' 서은진, 모나코 아트페어 참여한다","  개최되는 모나코 아트페어에 참여한다. 미국 LA를 중심으로 활동하며 한국 미술을 세계 시장에 알리고 있는 J&J ART 대표이기도 한 서 작가는 이번 모나코 전시에 한국적인 소재를 통해 한국 미술만이 지닌 고유한... "
"3","베르나르두 실바, 맨시티와 3년 재계약 “경기장 안의 조율자” [오피셜]","  실바는 지난 2017년 여름 5000만 유로(약 722억원)의 이적료로 AS모나코(프랑스)를 떠나 EPL 무대를 밟았다. 실바는 앞서 모나코에서 통산 147경기 28골 19도움을 올렸다. 하이라이트는 지난 2016~17시즌 유럽축구연맹(UEFA)... "
"4","모나코 몬테카를로 발레단, '로미오와 줄리엣' 들고 내한","  장 크리스토프 마이요 안무…한국 수석무용수 안재용 출연 모나코의 몬테카를로 발레단이 '로미오와... 1985년 모나코의 공주 카롤린에 의해 왕립발레단으로 새 출발 했다. 1993년부터 장 크리스토프 마이요가 예술감독... "
"5","J&J ART, 모나코 아트페어에 한국미술 소개","  ▲ J&J ART 소속으로 모나코 아트페어에 참가하는 전설, 최석현, 심민경, 한성수 작가 작품. J&J ART 제공 J&J ART가 오는 25일부터 27일까지 개최되는 모나코 아트페어에 참여해 한국미술을 알린다. 미국 LA를 중심으로 활동하며... "
"6","J&J ART, 모나코 아트페어 참여한다","  ▲ J&J ART 소속으로 모나코 아트페어에 참여하는 정서윤, 송영숙, 이해나, 서은진 작가 작품. J&J ART 제공 J&J ART가 오는 27일부터 30일까지 개최되는 모나코 아트페어에 참여한다. J&J ART(대표 서은진)는 미국 LA를 중심으로... "
"7","'허벅지 부상이 아쉽다'...9월 A매치 불발된 이강인, ""리그앙 빛내는 亞 재능...","  이토 준야, 나카무라 케이토(이상 스타드 드 랭스), 미나미노 타쿠미(AS모나코)가 이강인과 같이 포함됐다.... 결국 미나미노는 리버풀을 떠나 모나코에 입성했다. 지난 시즌 미나미노는 리그앙 18경기를 소화했는데 1골... "
"8","모나코 몬테카를로 발레단, '로미오와 줄리엣' 10월 내한공연","  모나코 몬테카를로 발레단이 4년 만에 내한해 '로미오와 줄리엣'을 무대에 올린다. 오는 10월 7일부터... 이후 복잡한 분열과 해산의 역사를 거쳐 1985년 발레에 애정을 가진 모나코 공주 카롤린에 의해 왕립발레단으로... "
"9","'프랑스 감독' 앙리, '와일드카드' 음바페…100년 만에 홈에서 올림픽 金 조준","  벨기에 대표팀 코치를 시작으로 AS모나코, 캐나다 몬트리올 임팩트 감독으로 일했다. AS모나코 시절에는 훈련 과정에서 선수단과 공감대를 형성하지 못해 비판을 받기도 했다. 이후 카타르 월드컵에서 벨기에 수석코치로... "
"10","""다이어면 딱 좋은데"" 풀럼 센터백 수혈 '오픈', 산체스 카드 급부상…포스테...","  프랑스 리그1의 AS모나코가 아다라비오요의 영입을 노리고 있는 것은 이미 알려진 것이다. 아다라비오요도 모나코 이적을 바라고 있다. 그러나 풀럼과 모나코의 이적 협상이 쉽지 않다. 토트넘이 다시 떠올랐다. 영국의... "
"11","‘몰락했던 日 에이스’ 다시 부활하나... 2경기 2골 2도움으로 팀 내 최고 경...","  미나미노는 현재 프랑스 리그앙 1위 팀인 AS 모나코에서 오른쪽 윙으로 출전하고 있다. 그는 개막전부터... 많은 빅리그 팀들이 관심이 있었지만 프랑스의 AS모나코가 영입전에서 승리했다. 하지만 모나코에서도 그의... "
"12","'호러쇼' CB, 토트넘 진짜 떠난다...AS모나코 강력한 관심+노팅엄 FW와 '현금...","  AS모나코가 수 시간 내 공식 제안을 할 예정이라고 전했다. 기자는 ""몇몇 팀들이 산체스의 상황을 파악하기 위해 토트넘과 연락했다. 특히 모나코가 수 시간 내 제안할 것이다. 이미 대화가 여러 차례 있었다""라고... "
"13","모나코 몬테카를로 발레단, 4년만 내한…'로미오와 줄리엣'","  모나코 몬테카를로 발레단이 '로미오와 줄리엣' 공연으로 4년 만에 내한한다. 오는 10월13일부터 15일까지... 이후 분열과 해산의 역사를 거쳐 1985년 발레에 애정을 지닌 모나코 공주 카롤린에 의해 왕립발레단으로 새... "
"14","음바페 데려가고 싶으면 돈 더 갖고 와! 레알, '2537억' 준비→PSG, 3625억 요...","  음바페의 활약으로 모나코는 리그앙을 독식하던 PSG를 무너뜨렸다. 음바페는 리그에서 15골 8도움을... 유럽축구연맹(UEFA) 챔피언스리그(UCL)에서도 모나코 공격의 선봉장이었다. 음바페를 중심으로 모나코는 돌풍을... "
"15","“실패작 미나미노가 확 달라졌다!” 개막 후 2골, 2도움 미나미노 활약에 프...","  ‘실패작’으로 조롱을 받던 미나미노 타쿠미(28, 모나코)가 확 달라졌다. 미나미노는 13일 클레몽과 리그앙 개막전에서 AS모나코의 오른쪽 윙어로 선발출전했다. 미노미노는 전반 26분 반데르손의 동점골을... "
"16","모나코 왕립발레학교, 한국의 발레영재 만났다","  모나코 왕립발레학교 6일간 ‘발레 마스터 클래스’ 진행 한국메세나협회 - KT&G장학재단 메세나 프로그램... 더 나은 동작을 위해 집요하게 파고드는 학생들의 모습은 한국 발레의 밝은 앞날을 보여줬다.”(모나코... "
"17","뮌헨, 모나코에 4-2 완승…김민재는 치명적 실수로 첫 실점 빌미","  열린 모나코(프랑스)와의 친선경기에서 4-2로 이겼다. 3경기 연속 선발 출격한 김민재는 후반 18분 프란스 크라치그와 교체됐다. 뮌헨은 전반 29분 모나코의 일본인 공격수 미나미노 다쿠미에게 선제 실점했다. 김민재가... "
