"","title","contents"
"1","젤렌스키, 그리스 방문…EU-발칸 비공식 회의 참석","  세르비아, 몬테네그로, 몰도바, 북마케도니아, 코소보, 불가리아, 크로아티아, 루마니아, 보스니아헤르체고비나 등 발칸반도 9개국 지도자들이 만찬에 참석한다고 전했다. 이중 세르비아, 몬테네그로, 북마케도니아... "
"2","2023 FIBA 월드컵, 돈치치·에드워즈 포함 ‘NBA리거 55명’ 뜬다[오피셜]","  부세비치(몬테네그로)와 같은 NBA 올스타에 선정됐던 스타 선수들이 월드컵에 나설 예정이다. 한편 2023 FIBA... (뉴올리언스) 몬테네그로(1명): 니콜라 부세비치(시카고) 앙골라(1명): 브루노 페르난도(애틀랜타) 남수단... "
"3","[WC 간략 프리뷰] ②미국의 금메달 탈환 작전(C조+D조)","  관건은 이집트와의 경쟁을 이겨내고 몬테네그로까지 넘어설 수 있을지다. 몬테네그로(D조) - 통산 월드컵 진출 횟수: 2회 - 역대 최고 성적: 25위(2019) - 2019 월드컵 성적: 25위 - 로스터: 니콜라 이바노비치, 이고르... "
"4","니카라과 정부, 중미 첫 사립대 자산 몰수해 국가 소유로","  니카라과 국립대학협의회 CNU는 23차 정기회의를 열어 카시미로 소텔로 몬테네그로 국립 대학 설립을... 센트로아메리카나 학생이었던 소텔로 몬테네그로는 22살 때이던 1967년 11월 혁명학생전선 등을 이끌다 정부군 총에... "
"5","이적생 퍼포먼스가 순위를 좌우한다…희비 엇갈린 K리그1 12개 구단","  강투지(몬테네그로)를 데려온 뒤 경기력이 점차 나아지는 모습을 보이고 있다. 양보다 질로 승부한... 무고사(몬테네그로)를 복귀시킨 인천 유나이티드도 6위(승점 37·9승10무8패)까지 올라섰다. 영입 효과가 미미한... "
"6","K리그 외국인 최다 득점자 데얀, 은퇴 선언…""25년 현역 생활 마무리""","  K리그에서 198골을 넣으며 외국인 선수 최다 득점 기록을 보유하고 있는 데얀(42‧몬테네그로)이 현역... 몬테네그로 출신의 공격수 데얀은 1998년 유고슬라비아에서 프로 무대에 데뷔해 유럽 무대를 누비다가 2007년... "
"7","'클락슨 막아 세운 부세비치' 필리핀, 몬테네그로에 15점 차 패... KGC 아반도...","  필리핀이 몬테네그로에 패했다. 필리핀 남자농구 대표팀은 20일(이하 한국시간) 필리핀 파시그 필스포츠 아레나에서 열린 몬테네그로와의 평가전에서 87-102로 패했다. 필리핀은 일본, 인도네시아와 함께 오는 25일... "
"8","[루키피디아] 세계 농구 축제, FIBA 월드컵","  또 하나의 농구 강호였던 유고슬라비아가 3회로 뒤를 잇는 가운데 세르비아-몬테네그로가 결성했던... 멕시코, 몬테네그로, 리투아니아 E조 : 독일, 핀란드, 호주, 일본 F조 : 슬로베니아, 카보베르데, 조지아... "
"9","인천UTD '무고사' 덕분에 몬테네그로 잼버리대원들 함박웃음","  인천 유나이티드 FC 3-1 대구 FC ▲ 세계 잼버리 몬테네그로 대원들이 중앙원 통천 세리머니에... 2023 세계 잼버리 한국 대회에 참가했던 몬테네그로 대원들을 사비로 초청하여 최고의 결정력을 뽐낸 것이다.... "
"10","'무고사 복귀골' 터진 인천, 눈물 흘린 몬테네그로 잼버리 단원","  무고사가 조국 몬테네그로 잼버리 회원들 앞에서 골을 터트리며 특별한 선물을 건넸다. 인천은 13일 인천... 무고사의 조국인 몬테네그로에서 한국을 방문한 잼버리 단원 중 한 명이었다. 인천-대구와 경기가 열리기 전... "
"11","LG 아셈 마레이, 이집트 대표팀 소속으로 WC 출전","  마레이가 속한 이집트 농구 대표팀은 리투아니아, 몬테네그로, 멕시코와 함께 D조에 속해 있다. 이집트는... 이집트는 한국시간으로 25일, 27일, 29일에 리투아니아, 몬테네그로, 멕시코를 차례로 만난다. 사진 = FIBA 제공 "
"12","[스냅샷Q] 몬테네그로 잼버리 대원, 무고사 응원하러 왔어요!","  몬테네그로 잼버리 대원들이 축구장을 찾았다. 지난 13일 인천축구전용경기장에서 열린 2023 하나원큐 K리그1 26라운드 인천 유나이티드와 대구FC전. 붉은 몬테네그로 깃발이 휘날려 눈길을 끌었다. 이들은 2023 제25회... "
"13","돌아온 ‘인천의 왕’ 무고사 “대단한 경기...다 같이 노력해 이룬 결과”","  몬테네그로 잼버리 대원 26명이 경기장을 찾아 무고사를 응원했다. 무고사는 “몬테네그로 대원들이 와서 책임감을 느꼈다. 그분들이 한국을 방문했기에 초대할 수 있었는데, 경기장까지 와서 나의 팀을 응원해 줘서 너무... "
"14","몬테네그로 동료 무고사와 만난 사비치 ""한국 복귀 만족하더라""","  스페인 프리메라리가 아틀레티코 마드리드(AT마드리드)의 주장인 수비수 스테판 사비치가 몬테네그로... 사비치는 몬테네그로 대표팀에서 한솥밥을 먹는 무고사와 만났다고 했다. 그는 ""우리는 대표팀에서 많은 경기를... "
"15","‘루카 매직’은 계속 된다, 돈치치 몬테네그로 상대로 34점 포함 트리플더블","  돈치치가 몬테네그로를 상대로 트리플더블을 작성하며 팀 승리를 이끌었다. 슬로베니아 남자농구 대표팀은 9일(한국시간) 슬로베니아 류블라냐 스토지체 홀에서 열린 몬테네그로와의 친선 경기에서 104-100으로... "
"16","러시아, 비우호국 대상 ‘이중과세방지협정’ 효력 일시중단","  프랑스, 몬테네그로, 체코, 스위스,에스토니아, 사우스조지아 및 사우스 샌드위치 제도, 일본 폴란드, 미국... 스위스, 몬테네그로, 체코, 덴마크, 노르웨이, 이탈리아, 핀란드, 독일, 프랑스, 마케도니아, 키프로스, 스페인... "
"17","사랑하는 이와 오붓하게, 프라이빗한 해외 숙소 #2","  몬테네그로 스베티스테판, 빌라 게바 아드리아해의 동화 같은 섬을 바라보며 유럽에서 손꼽히는 아름다운 바다인 아드리아해와 맞닿아 있는 나라, 몬테네그로. 서쪽으로는 크로아티아, 동쪽으로는 세르비아... "
"18","남미 위안화 거래 확대…브라질·아르헨 이어 볼리비아도","  28일(현지시간) 미국 AP에 따르면 마르셀로 몬테네그로 볼리비아 경제부 장관은 ""올해 5~7월 볼리비아는... 몬테네그로 장관은 지난달 ""(위안화가) 세계 무역에서 중요한 화폐이므로, 위안화로 운영하는 은행(중국 은행)이나... "
"19","'리빙 레전드' 무고사 1G-1AS ""인천에서의 축구가 재미있고 즐겁다""","  한편, 이날 경기장을 찾은 몬테네그로 잼버리 소속 26명에 대해서는 ""그들이 와서 책임감을 느꼈다. 그들이... 내일이면 몬테네그로에 간다. 안전한 비행을 바란다. 복귀 첫 홈경기에서 좋은 경기를 선보여 정말 기쁘다.... "
"20","'K리그 외국인 최다골' 데얀, 선수 은퇴 선언…""한국에 감사""","  국내 프로축구 K리그에서 통산 198골을 넣어 외국인 선수 최다 득점 기록을 보유한 데얀(42·몬테네그로)... 밝혔다.몬테네그로 국가대표 출신인 데얀은 K리그 역사에 이름을 남긴 대표적인 외국인 선수다.2007년... "
"21","우크라이나, 열화우라늄탄 사용 '유럽인 건강 위협' 경고","  세르비아 몬테네그로, 크로아티아, 북마케도니아, 2006년 6월 세르비아와 몬테네그로, 2008년 코소보가 세르비아에서 분리되면서야 끝을 맺었다. 1999년 유고 내전 중 세르비아와 몬테네그로에 화학탄과 핵(우라늄탄)이... "
"22","남미서 영향력 키우는 中…아르헨티나, IMF 차관 위안화로 상환","  몬테네그로 볼리비아 경제부 장관은 지난달 27일 기자회견에서 “올해 5~7월 볼리비아는 2억 7800만 위안(약 497억원) 규모의 금융 업무를 실시했다”며 “이 기간 전체 무역액의 10%를 차지했다”고 밝혔다. 몬테네그로...  "
"23","미 법원 판결 '권도형'에 유리하게 작용할까?","  권 대표는 지난 3월 몬테네그로 국제공항에서 코스타리카 위조여권을 갖고 출국하려다 체포된 뒤 6월... 몬테네그로 고등법원에선 ""한국의 요청으로 열리게 될 범죄인 인도 절차""를 이유로 권 대표의 구금 기간을 6개월로... "
"24","러시아, 비우호국 제품 관세 인상 및 수입 금지 확대","  알바니아, 몬테네그로, 아이슬란드, 리히텐슈타인, 영국, 북아일랜드 등 38개국이 원산지인 해산물... 알바니아, 몬테네그로, 아이슬란드, 리히텐슈타인, 영국, 북아일랜드 *주: 품목 설명은 참고용으로... "
"25","볼리비아 국영은행, 탈달러화 속도… ""中위안화 무역결제액 500억원""","  마르셀로 몬테네그로 볼리비아 경제부 장관도 전날 기자회견에서 위안화에 관해 언급했다. 몬테네그로 장관은 볼리비아 라파스에서 열린 기자회견에 참석해 ""볼리비아에서 중국으로 향하는 육류와 키노아, 지하자원... "
"26","[현장인터뷰]'잼버리 논란' 조성환 ""순리대로"" vs '빈공' 최원권 ""일단 살아남...","  공교롭게도 이날 경기장에 몬테네그로, 브라질 국적의 잼버리 대원 100여명이 응원에 나선다. '인천의 주포' 무고사는 몬테네그로 출신이다. 조 감독은 ""무고사의 두 번째 리그 경기다. 더 길어지면 안 된다. 자국에서... "
"27","[토큰포스트 뉴욕 브리핑] 리플 ""몬테네그로 CBDC 파일럿 프로그램 지속 추진...","  통해 ""몬테네그로 정부 실무진과 만나 국가 주도 스테이블코인이자 CBDC 파일럿 프로젝트 구현에 대한 논의를 이어가고 있다""고 말했다. 이와 관련 그는 ""이번 파일럿 프로젝트는 몬테네그로 행정부와 대중에게... "
"28","리플 승소, 권도형의 테라·루나 재판에 어떤 영향?","  권 대표는 지난 3월 몬테네그로 국제공항에서 코스타리카 위조여권을 갖고 출국하려다 체포돼 징역 4개월을 선고받았다. 이후 몬테네그로 고등법원에선 '한국의 요청으로 열리게 될 범죄인 인도 절차'를 근거로 권 대표의... "
"29","고베어, 생애 첫 3점슛 성공 소감 “순결 잃은 느낌”[FIBA]","  고베어가 속한 프랑스 농구 대표팀은 3일 오전(한국시간) 몬테네그로와의 친선 경기에서 80-69, 11점 차로 승리했다. 이날 경기에 백미는 2쿼터에 나왔다. 몬테네그로의 맹렬한 추격을 받고 있던 고베어는 탑에서... "
"30","아르헨, IMF차관 일부 달러 대신 위안화로 상환","  몬테네그로 볼리비아 경제부 장관은 지난달 27일 기자회견에서 “올해 5~7월 볼리비아는 2억 7800만 위안(497억원) 규모의 금융 업무를 실시했다”며 “이 기간 전체 무역액의 10%를 차지했다”고 밝혔다. 몬테네그로... "
"31","‘테라’ 권도형, 구치소서 독방 수감…몬테네그로 변호인 “감옥, 쉽지 않은...","  최근 몬테네그로 법원에서 여권 위조 혐의로 징역 4개월 선고를 받은 권도형 테라폼랩스 대표가 구치소에서... 26일(현지시간) 몬테네그로 일간지 ‘포베다’는 권 대표의 현지 변호인 고란 로디치 변호사를 인터뷰한... "
"32","[단독]강원FC, 몬테네그로 국가대표 수비수 마르코 투치 영입 임박","  K리그 이적시장에 정통한 관계자는 27일 “강원FC가 몬테네그로 수비수 마르코 투치(25·Marko Tuci·사진) 영입에 임박했다”고 밝혔다. 마르코 투치는 현재 몬테네그로 1부리그 FK데치치 소속의 센터백이다. 데치치는... "
"33","몬테네그로 정치부패 척결 기대감에 재 뿌린 '권도형 게이트'","  의혹이 몬테네그로 정치권을 발칵 뒤집어놓고 있다. 몬테네그로에선 올해 4월 대통령선거와 6월 국회의원 선거를 통해 신생 중도정당 '지금유럽'이 석권하며 지난 30년간 이어진 밀로 주카노비치 대통령을 필두로 한... "
"34","권도형 '옥중 편지' 공개되며 몬테네그로 '발칵'...'대선자금 의혹'으로 번져","  몬테네그로 일간지 '비예스티' 제공. 몬테네그로에서 위조 여권 사용 혐의로 재판 중인 권도형(32) 테라폼랩스 대표의 '옥중 편지'가 공개돼 몬테네그로 정치계가 발칵 뒤집혔다. 권 대표가 몬테네그로 신생 정당 '지금 유럽... "
"35","‘테라’ 권도형, 몬테네그로서 징역 4월형… 여권 위조 혐의","  대표가 몬테네그로에서 여권 위조 혐의로 징역 4개월형을 선고받았다고 현지 일간지 비예스티가 19일(현지시간) 보도했다. 보도에 따르면 몬테네그로 수도 포드고리차 지방법원은 이날 권 대표와 그의 측근 한모 씨에 대해... "
"36","몬테네그로法, 1심서'테라·루나 폭락' 권도형 실형 선고","  몬테네그로에서 체포된 가상화폐 '테라·루나 폭락' 사태의 장본인 권도형(32) 테라폼랩스 대표에 대해 현지 법원이 실형을 선고했다. 몬테네그로 수도 포드고리차에 있는 포드고리차 지방법원은 19일(현지시간) 권 대표와... "
"37","몬테네그로 법원, '위조 여권' 권도형에게 징역 4개월 선고(종합2보)","  특파원 = 몬테네그로에서 위조 여권을 사용한 혐의로 체포돼 기소된 가상화폐 '테라·루나' 폭락 사태의 핵심 인물 권도형(32) 테라폼랩스 대표에게 징역 4개월 실형이 선고됐다. 몬테네그로 수도 포드고리차에 있는... "
"38","몬테네그로 법원, ‘여권 위조’ 권도형에 징역 4개월 선고","  권도형 테라폼랩스 대표에게 몬테네그로 법원이 여권 위조 혐의로 징역 4개월 실형을 선고했다. 몬테네그로 수도 포드고리차에 있는 포드고리차 지방법원이 19일(현지시간) 권 대표와 그의 측근 한모 씨에게 공문서 위조... "
"39","‘테라’ 권도형, 몬테네그로 불법 정치자금 제공 부인","  몬테네그로 공항에서 위조 여권을 사용하려다 체포된 가상화폐 테라·루나 폭락사태의 핵심 인물 권도형(32) 테라폼랩스 대표가 불법 정치자금 제공 의혹을 전면 부인했다. 17일(현지시간) 몬테네그로 일간지 ‘포베다’와... "
"40","편지 썼다더니…권도형, 몬테네그로 '정치자금' 의혹 전면 부인","  대표가 몬테네그로 총선 판을 뒤흔든 불법 정치자금 제공 의혹을 전면 부인했다. 17일(현지시간) 몬테네그로 일간지 '포베다'와 '비예스티'에 따르면 권 대표는 전날 오후 3시부터 8시간 동안 수도 포드고리차 외곽에 있는... "
"41","'테라' 권도형, 몬테네그로서 범죄인 인도 절차 정식 개시","  대한 몬테네그로 법원의 재판이 막바지에 다다른 것에 발맞춰 한국과 미국이 신청해둔 범죄인 인도 절차도 시작됐다. 16일(현지시간) 몬테네그로 수도 포드고리차에 있는 포드고리차 지방법원에서 열린 위조 여권 사건... "
"42","‘테라·루나’ 권도형, 몬테네그로 법정서 “위조 여권인 줄 몰랐다”","  권 대표는 16일(현지 시각) 몬테네그로 수도 포드리고차 지방법원에서 열린 재판에서 “친구가 추천한... 있고, 몬테네그로에서도 25만 유로(약 3억5천만원)만 내면 수개월 뒤에 여권을 받을 수 있는 것으로 안다”고 했다.... "
"43","권도형, 몬테네그로서 6개월 구금 연장… 불법 정치자금 의혹 수사 착수","  위조 여권 사용 혐의로 몬테네그로에서 붙잡혀 구금 중인 ‘테라·루나 폭락 사태’의 주범 테라폼랩스 씨 권도형 씨(32)에 대해 몬테네그로 법원이 범죄인 인도를 위해 6개월 구금 연장을 결정했다. 권 씨는 위조 여권... "
"44","몬테네그로 고등법원, 권도형 범죄인 인도 구금 6개월 연장","  몬테네그로 법원이 '테라·루나' 폭락 사태의 핵심 인물 권도형 대에 대한 범죄인 인도 구금을 6개월 연장했습니다. 15일(현지시간) 비예스티 등 현지 매체 보도에 따르면 몬테네그로 수도 포드고리차에 있는 포드고리차... "
"45","몬테네그로 고등법원, 권도형 6개월간 범죄인 인도 구금 명령(종합)","  사용하려다 몬테네그로에서 붙잡힌 가상화폐 '테라·루나' 폭락 사태의 핵심 인물 권도형(32) 테라폼랩스... 몬테네그로 수도 포드고리차에 있는 포드고리차 고등법원이 15일(현지시간) 권 대표와 그의 측근 한모 씨에 대한... "
"46","""정치자금 줬다"" 몬테네그로 발칵 뒤집은 권도형…檢 조사","  테라·루나 코인 폭락 사태의 주범으로 지목된 권도형(32) 테라폼랩스 대표가 이번엔 몬테네그로의 초대형 정치 스캔들에 휘말려 검찰 조사를 받게 됐다. 현지 매체 라 포베다에 따르면 최근 몬테네그로 포드고리차 지검은... "
"47","권도형 돈 받은 몬테네그로 정당 총선 선두","  받는 몬테네그로 신생 정당 ‘지금 유럽’이 11일(현지시간) 치른 총선에서 선두를 차지할 것이라는 출구조사 결과가 나왔다. 로이터 통신에 따르면 ‘지금 유럽’은 이날 치러진 조기 총선에서 몬테네그로 전역 400개... "
"48","‘권도형 유착 의혹’ 몬테네그로 현 집권당, 총선 1위","  11일(현지시간) 치러진 몬테네그로 총선에서 대통령을 배출한 신생 중도 정당 ‘지금 유럽’이 득표율... 인구 62만여명의 몬테네그로 총선에서는 81개 의석을 놓고 15개 정당이 경쟁했다. 투표율은 56.4%로 비교적 낮았다.... "
"49","몬테네그로 뒤집은 권도형… “총리 유력 野대표에 정치자금 의혹”","  가상화폐 테라·루나 폭락 사태의 핵심 인물이자 올 3월부터 위조 여권 사용 혐의 등으로 동유럽 발칸반도의 몬테네그로에 구금된 권도형 테라폼랩스 대표(32)가 11일 총선을 앞둔 몬테네그로 정쟁의 한복판에 섰다.... "
