"","title","contents"
"1","몰도바 주재 러시아 외교관 22명 철수","  몰도바 주재 러시아 외교관 22명이 14일 수도 키시나우에서 철수했습니다.몰도바 외무부는 이날부터 러시아 외교관 10명과 지원팀 직원 15명 외에는 키시나우 대사관에 남을 수 없다고 밝혔습니다.몰도바 언론은 버스 두... "
"2","잼버리 루마니아·몰도바 대원들, 충남도립대서 머문다","  새만금 잼버리가 사실사 조기 폐막하면서 루마니아·몰도바 대원 132명이 충남 청양군에 위치한 충남도립대... 루마니아와 몰도바 스카우터 등은 9일 보령머드체험에 참가, 10일은 태풍 경로 등을 면밀히 살펴 일정을 협의... "
"3","몰도바, 러시아 외교관 45명 추방…""치안 불안정 초래""","  몰도바가 자국에 주재한 러시아 외교관을 대거 추방한다. 26일(현지시간) 미국 정치전문매체 폴리티코에 따르면 니쿠 포페스쿠 몰도바 외무·유럽통합부 장관 겸 부총리는 이날 ""몰도바 상황을 불안정하게 만드는 행동을... "
"4","몰도바, 러 외교관 대거 추방키로…""나라 불안정 조장""","  몰도바 주재 러 대사관 외교관 수 80→25명 감축 조치 안희 특파원 = 친서방 성향의 정부가 집권 중인 몰도바가 자국에 주재하는 러시아 외교관들을 대거 추방하기로 했다. 26일(현지시간) 로이터통신 보도에 따르면 몰도바... "
"5","제주도교육청, 몰도바와 정보화 교류 9년…인프라 구축 '앞장'","  시작으로 몰도바공화국과 교육정보화 교류협력을 맺고 총 9년간 198명, 컴퓨터 1,130대를 지원했다.[사진=제주도교육청] 제주도교육청(교육감 김광수)은 2015년부터 교육정보화 교류협력을 맺고 있는 몰도바공화국... "
"6","[글로컬 오디세이] 인도계 CEO의 성공 신화, 해외유학 열풍 가속화 견인","  프랑스·이탈리아·독일·러시아·우즈베키스탄·키르기스스탄·몰도바·필리핀·아프리카 지역의 국가도 인도 유학생이 선호하는 목적지로 급부상하고 있다는 점이다. 몰도바의 경우 국립 의과대학 정원 40% 이상이 인도... "
"7","몰도바, 러시아 정보기관과 협력 중단…""국익과 부합 않아""","  우크라이나와 국경을 맞댄 몰도바 정보보안국(SIS)이 러시아와 협력을 중단한다. 지난달 31일(현지시간) 러시아 타스통신에 따르면 몰도바 정보보안국은 러시아 연방보안국(FSB), 러시아 대외정보국(SVR)과 협력을... "
"8","[국제in] '가마솥' 된 흑해… 러시아-우크라이나 보복전 격화에 나토 등 주변...","  흑해를 둘러싸고 아르메니아·아제르바이잔·조지아·몰도바 등 나토 파트너국 5개국도 포진해 있는 구조다.... 나토,미국,젤렌스키,푸틴,대통령,아르메니아,아제르바이잔,조지아,몰도바,해군기지,드론,자폭,보복,전쟁,평화 "
"9","몰도바 친러 세력 점령지서 야당 지도자 숨진 채 발견","  몰도바 내 친러 분리주의 지역인 트란스니스트리아에서 야당 지도자가 숨긴 채 발견됐다고 17일(현지시간)... 몰도바 경찰은 호르잔이 총에 맞아 사망했다고 밝혔으며, 남성의 목과 등에 ""여러 차례 찔린 상처""와 머리... "
"10","몰도바 공항 총격범은 타지키스탄인‥테러 가능성도 수사","  우크라이나 인접국인 몰도바 국제공항에서, 외국인이 총격을 가한 뒤 체포된 사건과 관련해, 몰도바 정부가 테러 가능성에 대한 조사에 나섰습니다. 몰도바 정부는 현지시간 1일 전날 자국 키시나우 국제공항에서 발생한... "
