"","title","contents"
"1","고종희 ""40년 동안 발로 뛰고 가슴으로 쓴 '카라바조' 이야기입니다""","  카라바조는 20대에 그림으로 로마인을 매료시키고, 30대에는 살인 사건에 연루되어 도망자 신세로 나폴리, 몰타, 시칠리아 등을 전전하다가, 39세에 에르콜레 해변가 마을에서 사망하는 드라마틱한 인생을 살았다.... "
"2","대마 합법화 목소리 높아지는 佛…진보정당 ""양성화로 불법거래 줄어들 것""","  몰타 등 일부 국가 부분 허용…독일도 합법화 법안 논의 진행 중 유럽연합(EU) 중 가장 대마에 엄격한 나라... 예정이다.몰타와 룩셈부르크는 각 2021년과 2023년에 대마의 오락적 사용을 허가했다. 반면 알코올이나... "
"3","롯데관광개발, 시칠리아·몰타 비즈니스 클래스 패키지 판매","  롯데관광개발이 시칠리아와 몰타로 10일간 떠나는 비즈니스 패키지를 판매한다고 9일 밝혔다. 오는... 롯데관광개발 특전으로 시칠리아 4성급 일급호텔(5박), 몰타 인터컨티넨탈 5성급 호텔(3박)에서의 숙박을 비롯해... "
"4","[현지 보고]몰타의 대판야끼 젠","  몰타의 일식은 일본인이 경영하는 곳이 없다. 그러나 유일하게 그럴싸한 레스토랑이 포토마소에 있고 종업원도 일본인을 고용하지만 오너는 몰타와 이탈리아인이다. 대판야끼는 일본... "
"5","한미일 '협력 심화' 첫 결과물은 北 인권...6년 만 공개회의 열듯","  알바니아·브라질·에콰도르·가봉·가나·일본·몰타·모잠비크·스위스·아랍에미리트(UAE) 등 10개의... 에콰도르, 몰타 등이 힘을 실어줄 수 있다는 관측이 나온다. 박진 외교부 장관은 지난 15일 이그나치오 카시스 스위스... "
"6","롯데관광개발, 시칠리 몰타 비즈니스 클래스 패키지 론칭","  롯데관광개발은 유럽 시칠리아와 몰타를 여행하는 비즈니스 패키지를 론칭했다. 11월4일부터 매주 토요일... 특전으로 시칠리아 4성급 호텔 5박, 몰타 인터컨티넨탈 5성급 호텔 3박 등의 숙박과 지중해의 풍광을 보며... "
"7","[탈북人](19) ""당장 북한에서 무슨 일이 일어날 수도…""","  91년생 유튜버 나민희 ""통일되면 부모님 뵐 가능성 항상 준비"" 몰타서 일하다 2015년 입국…""김정은체제서... ▲ 2014년 10월 지인으로부터 해외에 인력을 파견하는 고려심청회사를 소개받아 (지중해 섬) 몰타에 있는 중국인... "
"8","롯데관광개발·교원투어, 시칠리아와 몰타·해외 유명 단풍 명소 여행상품 선...","  대표적인 게 롯데관광개발의 '시칠리아와 몰타 10일 비즈니스 패키지'와 교원투어의 해외 단풍여행 일정이다. 롯데관광개발은 9일 지중해의 숨은 보석 시칠리아와 몰타로 10일간 떠나는 비즈니스 패키지를 판매한다고... "
"9","[현지 보고]몰타의 뽀빠이 빌리지","  몰타의 명소라면 역시 바다를 어디서나 볼 수 이는 장점이 있다. 특히 뽀빠이 빌리지는... 그것은 Prajjet Bay/Anchor Bay에 위치하고 있으며 몰타의 Mellieħa 마을 중심부에서 3km(2마일)... "
"10","터키항공 비즈니스 타고 떠나는 몰타·시칠리아 럭셔리 여행","  롯데관광개발이 9일 시칠리아와 몰타로 10일간 떠나는 비즈니스 패키지를 판매한다고 밝혔다. 사진은 시칠리아 팔레르모 / 롯데관광개발 롯데관광개발이 10일간 몰타와 시칠리아를 여행하는 비즈니스 패키지를... "
"11","[현지 보고]몰타에서는 콜택시 탑승비용이 저렴","  몰타는 택시비가 상당히 비싸다 그런 이유로 콜택시처럼 집에서 바로 부르면 오는 종류의 택시가 많다. 몰타에서는 압도적으로 볼트가 강세이며 가격도 저렴한 편이다. 볼트 개인... "
"12","지중해 난민선 난파로 41명 사망추정.. 생존자 4명이 밝혀","  이 생존자들은 몰타선적의 화물선 리모나 호에 의해 구조되어 이탈리아 해경에 인계되었고 치료를 위해 9일 람페두사 항구로 실려왔다, 이들의 증언에 따르면 난파한 난민선은 45명의 이민자들을 태우고 지난 주 3일... "
"13","[현지 보고]몰타에서 가장 오래된 카페 코디나","  몰타 발레타에서 가장 오래된 카페 1837년 영국 식민지 당시 만든 곳이다. 발레타의 번화한... 그 기원을 Bormla의 작은 찻집으로 거슬러 올라가 오늘날 우리가 알고 있는 몰타의... "
"14","[오피셜] 33년 만에 나폴리 우승 이끈 '김민재 스승' 스팔레티, 이탈리아 사령...","  잉글랜드, 우크라이나, 북마케도니아, 몰타와 예선 C조에 속한 이탈리아는 현재 2경기 1승 1패로 3위에 위치하고 있다. 잉글랜드에 1-2로 패했고, 몰타를 잡아냈다. 오는 9월 A매치 기간에는 북마케도니아, 우크라이나와... "
"15","[현지 보고]몰타의 Marsaskala","  고고학자들은 마르사스칼라 주변에서 로마인 정착지의 증거를 발견했지만 이 지역은 최근까지 사람이 거의 살지 않았다. 천연 항구는 침략자들이 쉽게 접근할 수 있었기 때문에... "
"16","8월 3주 해외 ESG 이슈 핫클립","  슬로베니아, 몰타, 포르투갈) 정상들이 폭염과 산불, 홍수로 등 기후위기에 대처하기 위한 긴급조치를 요구하고 나섰다. 세르지오 마타렐라 이탈리아 대통령을 비롯한 그리스, 크로아티아, 슬로베니아, 몰타... "
"17","하늘에 ‘24km 남성 그것’ 그린 조종사, 무슨일 있었길래","  남쪽의 몰타로 항로를 변경하라는 명령을 받았다. 조종사는 명령을 받은 후 카타니아 동쪽 지중해 상공을 날아간 뒤 16분 넘게 선회하며 길이 24km 가 넘는 남성 성기 모양의 경로를 그린 후 30분 뒤 몰타에 착륙했다. 현지... "
"18","""고귀함의 그 가치"" 타이거인터내셔날, 18년 숙성의 최상급 뀌베 '샴페인 랑송...","  자선단체인 몰타 기사단의 회원으로 활동하며 인류를 위한 이들의 헌신을 몸소 보여주었다. 1798년부터 새롭게 디자인된 몰타 기사단의 십자가(Maltese Cross)를 메종 랑송(Maison Lanson)의... "
"19","러시아, 비우호국 대상 ‘이중과세방지협정’ 효력 일시중단","  모리셔스, 몰타, 마셜제도, 나우루, 니우에, 팔라우, 파나마, 폴란드, 사모아독립국, 산마리노, 북마케도니아... 싱가포르, 몰타, 일본 [자료: 러시아 법제처] 이 대통령령에는 양국 협정에서 규정하는 제5~21조, 23조... "
"20","[현지 보고]몰타의 힐튼 호텔 디너 뷔페","  몰타 5 스타 호텔 대부분 식사를 해 본 경험에 비추어 몰타 힐튼 호텔이 가장 좋다는 평가를 한다. 뷔페 레스토랑은 주말만 운영한다. 대부분 게스트나 친구는 힐튼에 묶는 이유가... "
"21","[현지 보고]몰타에서 시칠리아로","  몰타에서 가장 가까운 나라가 이태리 시슬리다. 비행기로 50분 소요되는 곳이므로 많은 이들이 여행한다. 이번 방문은 일본인 친구 부부와 아들과 함께 오게 되었다. 시슬리는 대부... "
"22","[여행브리핑] 롯데리조트부여·롯데월드, '홀리데이 퍼레이드 쇼' 진행 外","  ◇ 롯데관광개발, 시칠리·몰타 비즈니스 클래스 패키지 출시롯데관광개발이 지중해의 숨은 보석 시칠리아와 몰타 비즈니스 클래스 패키지를 출시했다. 오는 11월 4일부터 8박 10일 일정으로 매주 토요일 터키항공... "
"23","[오늘의 장바구니] 홈플러스·롯데백화점·위메프 외","  롯데관광개발은 9일 지중해의 숨은 보석 시칠리아와 몰타로 10일간 떠나는 비즈니스 패키지를 판매한다.... 롯데관광개발 특전으로 시칠리아 4성급 일급호텔(5박), 몰타 인터컨티넨탈 5성급 호텔(3박)에서의 숙박을... "
"24","[현지 보고]몰타의 로열 요트 클럽","  일본에서는 야마하 보트 클럽에 가입하였는데 몰타에는 마땅한 보트 클럽이 없는데 로열 요트 클럽이 있다. 요트는 필자와 맞지 않는 부분이 많은데 일단 문의를 하기로 했다. 몰타에... "
"25","방탄소년단 진 '슈퍼참치' 아이튠즈 47개국 1위..'글로벌 슈퍼 파워'","  진의 '슈퍼참치'는 8월 6일 몰타(Malta) 아이튠즈 1위에 올랐다. '슈퍼 참치'는 낚시에 진심인 진이 만선에... 최근 우크라이나, 포르투갈, 아랍에미리트 등 이어 몰타에서 1위를 차지하며 총 47개국 1위를 기록하는... "
"26","라이베리아 세계 1위 기국 탈환…30년만에 파나마 역전","  마셜제도공화국 몰타 바하마 시에라리온 키프로스 케이맨제도 레바논 지브롤터 몽고 등 50여곳이... 몰타 키프로스 싱가포르 등 신생 기국의 성장과 이스라엘과 국교를 맺은 라이베리아를 아랍권 국가들이... "
"27","늦캉스 계획하는 여행객 모시기에 나선 여행업계","  이에 여행업계가 다채로운 해외 여행 상품을 내세우며 여행객 모시기에 나선다.롯데관광개발, 시칠리 몰타 8박 10일 여행 상품 판매 롯데관광개발은 시칠리아와 몰타로 10일간 떠나는 비즈니스 패키지를 판매한다. 오는... "
"28","빛의 수호성인 시라쿠사의 산타 루치아","  로마에서 살인 사건으로 사형 선고를 받은 카라바조는 나폴리와 몰타를 거쳐 시칠리아 시라쿠사에서 도피 생활을 이어간다. 카라바조는 도피하는 곳마다 대작을 남겼다. 나폴리와 몰타의 성당, 그리고 시라쿠사의... "
"29","[현지 보고]문턱이 높은 몰타의 은행 APS Bank","  몰타는 은행 개설이 상당히 까다롭다. 더구나 각 은행과 연계가 되지 않기 때문에 직접... 도무지 몰타 은행은 돈이 넘쳐나는지 고객 관리 전혀 하지 않는다. 국제 여성회 맴버므로... "
"30","[현지 보고]몰타의 NCOW 맴버 디너","  Ghana Ambassador to Malta H.E Barbara Akuokor Benisa, 몰타 National Council of Women Malta 맴버로... National Council of Women은 몰타 경제사회위원회(MCESD)의 시민사회위원회 회원이며... "
"31","비엔나 10 그룹 “북한 핵실험 강력 규탄”…NPT 당사국들 “추가 도발 삼가야...","  지적했습니다.몰타 외무부의 앨버타 보그 군축 비확산 국장은 북한의 탄도미사일 기술을... 그러면서 몰타는 완전하고 검증가능하며 불가역적인 한반도 비핵화를 추구하기 위한 모든... "
"32","[현지 보고]몰타의 힐튼 호텔에서의 점심","  몰타 지인이 며칠 전부터 생일이라고 하길래 힐튼 호텔로 오라고 했다. 포토마소 타운에 살기에... 몰타는 음식 가격이 저렴하지 않다. 특히 호텔은 세계 어느나라가 같다. 1인당 점심으로... "
"33","[현지 보고]몰타의 의료보험 제도","  몰타는 높은 빌딩이 없으므로 34도라고 하지만 실제 40도 넘는 느낌이다. 직사광선이 직접... 몰타는 의료혜택이 전혀 없다. 그런데 매달 월급에서 최저 15% 뗀다. 정말 어이가 없다. 몰타 외국인에게... "
"34","[현지 보고]몰타의 여름 여행, 어찌할까요?","  그저 날씨 좋다는 이유로 몰타에 몰리는데 작열하는 태양은 사람을 미치게 한다. 절대 여름에 몰타를 선택하지 말기 바란다. 일본인 친구들이 지금 7월, 8월 예약하여 온다고 하는데... "
"35","몰타, '임신중지 합법화' 만장일치 통과","  금지하던 몰타가 거센 반발 여론에 부딪혀 임신중지를 합법화했다. 단, 임신부의 생명에 위험이 있는 경우만... AP통신, 가디언 등 다수의 현지 언론은 28일(현지시간) 몰타 의회가 만장일치로 이같은 내용의 법안을... "
"36","[새만금세계잼버리] 텐트로 채워지는 새만금.. ""D-1, 잼버리 대원 속속 도착""","  지중해 섬나라 몰타에서 도착한 70여 대원은 점심을 즐기며 카메라를 향해 반가운 인사를 건냅니다. [마이클 / 몰타 대원] ""(시설이) 모두 다 갖춰지기 전까지 불편하긴 하겠지만 아이들은 잘 놀고 있는 것 같고 점점... "
"37","[현지 보고]몰타의 부자는 대부분 외국인?","  몰타의 힐사이드 집인데 이 집의 주인공은 독일인 부부이며 20년 이상 몰타에 산 사람들이다. 독일인 교회의 회원으로 주로 사람들을 많이 초대하고 파티를 연다. 이곳은 몰타의 Swieqi... "
"38","[현지 보고]몰타의 날씨 살인적 더위","  몰타 날씨가 이렇게 더울줄 몰랐다. 다행히 아파트 뒤편에 바로 바다에 나갈 수 있어... 역시 몰타는 배타고 즐기는 날이 많은 시간이 오고 있다. 아무 생각이 나지 않는다 너무... "
"39","안동여행의 매력 찾아온 몰타 국영방송 해외 예능 프로그램 Hazzard","  여행콘텐츠 제작 및 홍보 전문 브랜드 길과 마을은 유럽연합(EU) 회원국 몰타의 국영방송 ONE TV의 리얼리티 게임쇼 의 한국 편 중 안동 편 촬영을 진행했다고 밝혔다. ONE TV는 몰타의 대표적인 국영방송으로, 는 출연자들이... "
"40","[현지 보고]몰타의 로터리 클럽 Hand off","  몰타 로터리 클럽도 세계 클럽처럼 2달간 미팅이 없다. 새로 시작하는 6월이지만 실제... 몰타 로터리 클럽은 일본 클럽과 다르게 외국 국적자를 받는다. 매우 특이한 현상으로 보고... "
"41","안동 여행 매력 몰타 국영방송 예능에 소개된다","  사진/길과 마을 여행콘텐츠 제작 전문 길과 마을이 유럽연합(EU) 회원국 몰타의 국영방송 ONE TV의 리얼리티... 오는 10~12월, 골든타임인 저녁 8시 30분에 방영될 예정이며, 몰타의 새로운 여행 목적지로 한국의 다양한... "
"42","몰타 국영방송 ONE TV가 주목한 '안동'...금소마을 촬영","  사)국가무형문화재 안동포짜기마을보존회(회장 임방호)는 13일부터 14일까지 이틀간 몰타 국영방송인 ONE TV에서 임하면 금소마을을 찾아와 예능 프로그램 촬영을 한다고 전했다.몰타는 남유럽의 작은 섬나라이며, ONE... "
"43","[현지 보고]몰타에서 리스본으로 출장","  이번의 출장은 몰타에서 리스본 대법원 출장인데 마침 지 번 라플의 당첨으로 호텔 투숙을... 그런데 몰타에서 1시간 40분 연착하는 바람에 모든 일정이 착오가 났고 포투갈 리스본 비행기 출발... "
"44","몰타 국영방송 ONE TV가 주목한 안동","  사)국가무형문화재 안동포짜기마을보존회(회장 임방호)는 13일부터 14일 까지 이틀간 몰타 국영방송인 ONE TV에서 임하면 금소마을을 찾아와 예 능 프로그램 촬영을 한다고 전했다. 몰타는 남유럽의 작은 섬나라이며, ONE... "
"45","[현지 보고]몰타의 코미노섬 블루 라곤","  몰타는 3개의 섬으로 나뉜다. 몰타 본섬, 고조, 코미노다. 코미노는 사람이 살지 않는 작은 섬이지만 블루 라곤이라 불리는 바다다. 즉 비치가 매우 파랗고 아름답다. 거기에 산타 마지자... "
"46","트레블 이후 '퍼마신' 그릴리쉬, ""국가대표 몰타전? 못 나올 거란 거 알았어""","  몰타 및 북마케도니아와 치른 두 경기에서 그릴리쉬는 선발로 나서지 못했다. 몰타전엔 결장했고 북마케도니아를 상대로 후반전 교체 투입됐다. 그는 ""사우스게이트 감독님과 좋은 관계를 유지한다. 몰타전 경기에... "
