"","title","contents"
"1","옛 로마시대 '네로 황제의 극장' 호텔 부지 아래서 찾았다","  바티칸 기사단 본거지에 위치…유물도 다량 출토 장소 임대한 포시즌스 호텔 2025년 개장 예정 고대 문헌에 기록돼 있지만 아직까지 흔적을 찾을 수 없었던 로마 시대 네로 황제의 극장이 바티칸시국 바로 옆 이탈리아... "
"2","바티칸-로마시, 희년 맞아 ‘보행로’로 연결된다","  로마시는 이 프로젝트가 이탈리아와 바티칸시국 사이의 ‘포옹’을 의미한다고 밝혔다. 교황청은 7월 26일 로마시 관계자가 참가한 가운데 희년 프로젝트를 발표했다. 희년 프로젝트는 바티칸시국 외곽의 피아 광장에... "
"3","[World No.1]⑩세계에서 가장 작은 나라 ‘바티칸 시국’","  바로 이탈리아 로마 시내에 위치하고 있으며, 교황이 살고 있는 바티칸 시국이다. 얼마나 작을까? 고작 0.44㎢로 부산 중구(2.83㎢)의 6분의 1 정도다. 하지만 로마 교황청이 통치하는 가톨릭의 총본산으로 국토의 모든... "
"4","‘大選의 해’에 치러지는 ‘가톨릭세계청년대회’에 대한 우려 | “교황 방북...","  모든 외교의 궁극적 전략은 상대국의 권력 핵심에 영향력을 행사하는 것인데 그렇게 하려면 윤석열 대통령은 바티칸 시국(市國) 교황청에 파견되는 한국 대사를 천주교 편이 아닌 ‘대한민국 사람’으로 임명해야 할... "
"5","한국-바티칸 외교 수립 60주년 기념전 성황","  특히 이번 기념전은 우리나라와 바티칸시국의 외교 관계 수립 60주년을 기념하기 위해 기획됐다. 전시를 통해 주한 교황청대사관 경당의 청동 십자가, 주한 교황청공사관 설립(1963년)과 주한 교황청대사관 설립(1966년)... "
"6","서울평단협, 한국-바티칸 수교 60주년 음악회","  서울대교구 평신도사도직단체협의회(회장 안재홍 베다, 이하 서울평단협)가 우리나라와 바티칸시국의 외교 관계 수립 60주년을 맞아 6월 19일 서울 주교좌명동대성당에서 음악회를 열었다. ‘한국-바티칸 수교 60주년... "
"7","6월 19일 한국-바티칸 수교 60주년 기념음악회","  서울대교구 평신도사도직단체협의회(회장 안재홍 베다, 이하 서울평단협)는 올해 60주년을 맞는 한국-바티칸시국 수교 60주년을 기념해 6월 19일 오후 7시30분 서울 명동주교좌대성당에서 음악회를 마련한다. ‘한국... "
"8","""우크라 아동들을 살려달라""…바티칸 대성당서 알몸으로 반전 시위","  1일(현지시간) 이탈리아 로마 바티칸 시국의 성베드로 대성당에 방문한 한 남성이 나체로 우크라이나 전쟁 반대 시위를 벌여 경찰에 넘겨졌다. 이탈리아 일간 일 메사제로(Il Messaggero)·로이터통신에 따르면 이 남성은... "
"9","로마 검찰, 40년 미제 '바티칸 소녀 실종사건' 공식 재수사","  당시 15세였던 오를란디는 교황청 직원의 딸로, 바티칸시국 시민권자로서 실종 전까지 바티칸시국에서 살았다. 오랜 수사에도 오를란디의 행방은커녕 시신조차 찾지 못하게 되면서 갖가지 의혹이 끊이지 않았다. 1981년... "
"10","바티칸 입구에 차량돌진…정신질환 40대 남성 체포","  바티칸시국의 성 베드로 대성당과 바티칸 박물관 등은 일반에 개방되지만, 다른 건물들은 출입이 제한되며 교황 관저, 주요 응접실, 바티칸 기록 보관소 등이 있는 사도궁은 스위스 근위병과 경찰조직인 헌병대가 24시간... "
"11","바티칸 소녀 실종 사건 본격 재조사","  40년 전 바티칸시국에서 발생한 십대 소녀 실종 사건의 진상 조사가 재추진된다. 바티칸시국 알레산드로 디디 부장검사는 4월 11일 프란치스코 교황으로부터 “1983년 바티칸시국에서 실종된 15세 소녀 에마누엘라... "
"12","바티칸 교황청 근위대도 쓰는 삼성 '녹스'","  탑재했으며, 무전 통신 방식인 '푸시 토크' 기능을 지원한다. 교황청 스위스 근위대는 교황과 바티칸 시국의 교황궁을 보호하는 임무를 맡고 있다. 바티칸 시국은 하루 평균 2만 5000명의 관광객이 방문하는 곳이다. "
