"","title","contents"
"1","EPL 맨시티, 926억원에 벨기에 출신 윙어 도쿠 영입","  잉글랜드 프로축구 프리미어리그(EPL) '디펜딩 챔피언' 맨체스터 시티(맨시티)가 벨기에 출신 신예 윙어... 벨기에 국가대표 공격수 도쿠는 프랑스 리그1에서 3시즌 동안 총 75경기에 출전해 10골을 터트렸다. 빠른... "
"2","증평군-벨기에 겐트대, 미래농업도시 추진 맞손","  충북 증평군이 친환경 농업과 기계공학 분야 세계 최고 대학인 벨기에 겐트대학교에 미래농업도시 구현을... 1817년 벨기에 오스트플란데렌주 겐트시에 설립된 겐트대학교는 세계 대학 학술 랭킹(ARWU) 벨기에 2위(농생명... "
"3","밀양시·벨기에 겐트대, 스마트팜 분야 협력 강화","  경남 밀양시와 벨기에 겐트대학교가 농업 분야 협력을 강화한다. 밀양시는 벨기에 겐트대학교 총장단이 22일부터 이틀간 일정으로 밀양시를 찾았다고 23일 밝혔다. 겐트대 총장단은 경남스마트팜혁신밸리, 나노융합센터... "
"4","한국예찬 벨기에 아가씨들에게 물을 순 없었다","  ""당신네 레오폴드왕이 콩고사람 천만명 학살한 거 알아요?"" 고디바 초콜릿과 와플의 나라 벨기에, 학창시절에는 영어로도 벨기에인 줄 알았다. 벨지움이라고 한다. 전체 인구는 서울보다 조금 더 많다. 국왕이 다스리며... "
"5","증평군, 벨기에 겐트대와 스마트팜 상호협력 협약 체결","  충북 증평군은 친환경 농업 및 기계공학 분야 세계 최고 대학인 벨기에... 한편 1817년 벨기에 오스트플란데렌주 겐트시에 설립된 겐트대학교는 세계 대학 학술 랭킹... "
"6","벨기에 명품백 델보, 신세계 강남점에 '팝업'","  델보는 1829년 벨기에에서 설립된 명품 가방 브랜드다. 세계에서 가장 오래된 핸드백 브랜드로 꼽힌다. 이번 팝업스토어에는 델보가 르네 마그리트 탄생 125주년을 기념해 내놓은 ‘마그리트 캡슐 컬렉션’이 국내... "
"7","벨기에 겐트대학교 총장단, 밀양시 방문","  ▲ 벨기에 겐트대학교 총장단이 22일부터 이틀간 밀양시를 방문해 경남스마트팜혁신밸리, 나노융합센터, 스마트팜 농가를 견학했다. /밀양시 벨기에 겐트대학교 총장단이 국제적인 교류 협력을 강화하고 미래 농업... "
"8","“전업주부는 일하기 싫은 이민자들” 벨기에 법무장관 고약한 발언","  퀴켄본 벨기에 법무장관이 지난 주 우모(Humo) 잡지에 공개된 인터뷰에서 늘어놓은 고약한 발언이라고... 문화가 벨기에에도 있었지만, 변해야 한다”며 “그들이 탁아소에서 일하게 하자. 그러면 자녀들도 데리고 출근할... "
"9","KDB가 강추한 ‘벨기에 특급 윙어’ 맨시티 합류…마레즈와는 '이것'이 다르다","  25일(한국시간) 맨시티는 공식 홈페이지를 통해 벨기에 국적의 윙어 도쿠의 영입을 공식화했다. 이 과정에서 벨기에 대표팀 동료 더 브라위너는 문자로 맨시티 합류를 권유하는 등 도쿠에게 적극적으로 구애했다. 맨시티도... "
"10","벨기에 겐트대학교 총장단, 밀양시 방문","  벨기에 겐트대학교 총장단이 국제적인 교류 협력을 강화하고 미래 농업 분야에서의 혁신을 모색하기 위해 지난 22·23일 밀양시를 방문해 경남스마트팜혁신밸리, 나노융합센터, 스마트팜 농가를 견학했다. 릭반드 발레... "
"11","벨기에 광케이블 시장동향","  상품명 및 HS code - 상품명: 광섬유케이블 - HS code: 9001.10 EU·벨기에 광케이블 시장 및 정책 동향 2022년... <EU 27개 회원국 광통신(FTTP) 구축현황(2021년)> [자료: EU 집행위] 벨기에의 광통신 보급률은 9.7%로, EU... "
"12","[밀양시 소식] 벨기에 겐트대 총장단 방문–이상인 홍보대사 고향사랑기부","  벨기에 겐트대학교 총장단이 22∼23일 이틀 동안 경남 밀양시를 방문해 경남스마트팜혁신밸리, 나노융합센터, 스마트팜 농가를 견학했다. ▲ 벨기에 겐트대 총장단이 밀양시를 방문해 경남스마트팜혁신밸리 온실을... "
"13","토트넘+첼시, '벨기에 신성'에 이적료 1150억 제의→선수 거절→937억에 맨시...","  해리 케인을 팔면서 거액을 손에 쥔 토트넘 홋스퍼가 첼시와 함께 벨기에 신성 제레미 도쿠를 영입하려고... 2002년생 어린 벨기에 윙어 도쿠가 현재 맨시티 이적을 목전에 두고 있다. 영국 공영방송 'BBC'는 지난 22일... "
"14","복통 호소했던 벨기에 잼버리 대원, 맹장염 수술받고 퇴원","  벨기에 스카우트 대원이 병원에서 긴급수술을 받고 무사히 퇴원했다. 12일 인천나은병원에 따르면 지난 9일 인천시 연수구 연세대학교 국제컴퍼스에 마련된 병원 임시진료소에 세계스카우트잼버리 참가자인 벨기에 대원... "
"15","'시원하게 돈 쓴다' 맨시티, 벨기에 국대 윙어 영입에 880억 꺼내...웨스트햄...","  “지난 시즌 트레블을 달성한 맨시티가 벨기에 국가대표 공격수 도쿠 영입을 준비한다”는 게 주요... 도쿠는 2002년생 벨기에 국적 측면 공격수다. 주로 오른쪽 측면에서 뛰지만 때에 따라 왼쪽 측면 공격수 자리도... "
