"","title","contents"
"1","러시아 주도 CSTO 연합군, 25~29일 벨라루스서 훈련","  참가자들이 벨라루스로 이동한다고 타스통신이 24일(현지시간) 보도했다. 블라디슬라프 셰그리코비치 CSTO 연합군 대변인은 ""CSTO 합동 특별훈련 참가자들이 25일부터 29일까지 벨라루스로 재배치될 것... "
"2","""프리고진 잃은 바그너 용병 일부, 벨라루스 떠나 러시아로""","  머물던 벨라루스를 떠나 러시아로 향하고 있다고 우크라이나 매체 키이우 인디펜던트가 보도했다. 우크라이나 특수부대가 운영하는 국민저항센터(NRC)에 따르면 벨라루스에 있던 바그너그룹 기지 일부가 이날 저녁... "
"3","바그너수장 프리고진, 반란 두달 만에 비행기사고로 사망(종합2보)","  그러나 그는 돌연 알렉산드르 루카셴코 벨라루스 대통령과 협상을 통해 반란을 중단하기로 했고, 러시아는 프리고진이 벨라루스로 가는 대신 그와 바그너그룹 용병들을 처벌하지 않겠다고 밝혔다. 러시아 안팎에서는... "
"4","3800억 금광도 갖고 있다…이런 바그너 그룹, 푸틴 정말 버릴까","  저녁 벨라루스에 있는 바그너 베이스 캠프 일부가 해체됐다. 바그너그룹은 지난 6월 러시아군 지도부에 맞서 반란을 일으켰다가 벨라루스 중재로 하루 만에 철수한 뒤 이곳에 주둔해왔다. 키이우인디펜던트는 벨라루스 내... "
"5","“벨라루스 즉시 떠나라”…美, 자국민에 권고","  미국 정부가 러시아의 맹방 벨라루스에 체류 중인 자국민에게 즉시 떠나라고 권고했다. 21일(현지시간) 미 국무부는 이날 벨라루스 수도 민스크 주재 미 대사관 웹사이트에 올린 성명에서 벨라루스에 체류 중인... "
"6","나토 동부전선 폴란드·리투아니아 프리고진 사망에 경계감","  주둔중인 벨라루스와 국경을 맞댄 북대서양조약기구(NATO·나토) 동부전선의 폴란드와 리투아니아는 24일... 바그너 용병 4천여명은 지난 6월 푸틴 대통령을 겨냥한 수장 프리고진의 무장 반란이 실패한 뒤 벨라루스에... "
"7","우크라 어린이들 벨라루스 끌려가 ""바이든 죽어라"" 세뇌교육","  어린이들이 벨라루스로 끌려가 러시아를 찬양하고 미국에 대한 반감을 키우는 교육을 받고 있다고 미국 월스트리트저널이 보도했습니다. 월스트리트저널은 벨라루스와 러시아의 정부 자료, 폴란드 싱크탱크 보고서 등을... "
"8","반란 2달 만에 사망한 '푸틴의 요리사'","  벨라루스로 망명했다. 서방 언론들은 푸틴이 프리고진을 수감하거나 처형할 경우 다른 신흥 재벌들의 불만을 살 수 있다고 분석했다. 프리고진은 6월 29일에도 모스크바에 돌아와 푸틴과 만났으며 아프리카와 벨라루스... "
"9","'러시아 차르'에 도전한 프리고진, 반란 두 달 만에 사망[피플in포커스]","  알렉산드르 루카셴코 벨라루스 대통령의 중재로 프리고진은 러시아 당국으로부터 기소당하지 않는다는 조건으로 결국 군을 철수하고 벨라루스로 향했다. 그러나 며칠 뒤인 6월 29일 프리고진은 모스크바로 돌아와 푸틴... "
"10","우크라 어린이, 벨라루스서 세뇌교육 받았다…“푸틴 최고! 바이든에 죽음을!...","  러시아가 점령한 우크라이나 지역의 어린이들이 벨라루스로 끌려간 이후 러시아를 찬영하고 미국에 대한 반감을 키우는 교육을 받았다고 미국 월스트리트저널(WSJ)dl 21일(현지시간) 보도했다. WSJ은 벨라루스와 러시아의... "
"11","러시아, 지도자 잃은 바그너그룹 흡수할 듯","  프리고진은 벨라루스의 중재로 반란을 중단한 다음 자신을 따르는 바그너그룹 병력과 함께 벨라루스로 이동했다. 그는 6월 29일에 바그너그룹 간부들과 함께 푸틴과 만난 것으로 알려졌으며 푸틴은 당시 접견에서... "
"12","러 바그너 전용기 추락해 10명 사망…프리고진 사망 가능성(종합)","  그러나 그는 돌연 알렉산드르 루카셴코 벨라루스 대통령과 협상을 통해 반란을 중단하기로 했고, 러시아는 프리고진이 벨라루스로 가는 대신 그와 바그너그룹 용병들을 처벌하지 않겠다고 밝혔다. 러시아 안팎에서는... "
"13","폴란드 대통령 ""러시아, 전술핵 벨라루스로 이전 중""","  안제이 두다 폴란드 대통령이 러시아가 벨라루스로 단거리 핵무기를 이전하고 있다고 주장했다고 22일... 이웃 벨라루스로 옮기는 과정에 있다""며 ""분명한 것은 이번 일이 유럽 지역 안보 구조와 북대서양조약기구(NATO... "
"14","'반란 딱 두 달째' 프리고진, 비행기 추락사…사고인가, 피살인가(종합2보)","  하지만 알렉산드르 루카셴코 벨라루스 대통령의 중재로 반란을 하루 만에 접었고, 푸틴 대통령 용인 하에 벨라루스로 본거지를 옮겼다. 프리고진은 이후 러시아와 벨라루스, 아프리카 등지를 자유롭게 오간 것으로... "
"15","프리고진 죽음 직전, 옷 벗은 러 우주군 사령관…‘피의 숙청’ 서막","  하지만, 알렉산드르 루카셴코 벨라루스 대통령의 중재로 프리고진과 바그너 그룹을 벨라루스로 이동시키는 선에서 사태를 일단 진정시켰다. 미국을 등에 업은 우크라이나와 전쟁을 벌이는 와중에 ‘적전 분열’을 피하기... "
"16","美 프리고진 거리두기…""러 내정 문제, 알아서 처리하라""","  그렇지만 돌연 알렉산드르 루카셴코 벨라루스 대통령과 협상을 통해 반란을 중단하기로 했고, 러시아는 프리고진이 벨라루스로 가는 대신 그와 바그너 그룹 용병들을 처벌하지 않겠다고 밝혔다. 이후 푸틴 대통령에게... "
"17","신병 모집 사흘만에 사망한 프리고진…푸틴, 반란 재개 우려했나","  반란 직후 벨라루스로 이동했다가 최근 아프리카에서 활동 재개를 시사했던 그가 사망한 원인을 두고 여러... 영국 가디언지는 ""반란 직후 프리고진을 따라 벨라루스로 이동했던 바그너그룹 용병 5000명 중 4분의 3 이상이... "
"18","""벨라루스 공격은 러시아 공격""…러 대사, 푸틴 발언 재확인","  보리스 그리즐로프 주벨라루스 러시아 대사가 ""블라디미르 푸틴 러시아 대통령이 벨라루스를 향한 공격이 발생하면 자국 공격으로 간주하겠다고 분명히 말했다""고 경고했다고 20일(현지시간) RT가 보도했다. 지난달에도... "
"19","위메이드, 블록체인 게임 4종 위믹스 플레이에 온보딩","  위메이드(대표 장현국)가 폴란드, 벨라루스, 홍콩, 한국 개발사와 블록체인 게임 온보딩 계약을 체결했다고... 윈드 오브 카오스는 벨라루스 소재 알트 울프 소프트웨어에서 개발한 액션 RPG다. 해적이 된 이용자가 혼자... "
"20","푸틴 “유능했지만 큰 실수…” 프리고진 첫 언급","  당시 무장반란은 알렉산드로 루카셴코 벨라루스 대통령의 중재하에 프리고진과 바그너그룹이 벨라루스로 떠나는 조건 등으로 36시간 만에 마무리됐다. 푸틴 대통령은 또 “내가 아는 한 그는 불과 어제 아프리카에서... "
"21","프리고진 전용기 추락 의문사에 SNS 반응은?","  하지만 프리고진은 알렉산드르 루카셴코 벨라루스 대통령과의 협상을 통해 반란을 중단하고 바그너그룹 용병들과 함께 벨라루스로 이동했다. 프리고진은 신변에 대한 우려에도 러시아와 벨라루스를 자유롭게 오가는... "
"22","美 국무, 자국민 北 여행 금지조치 연장","  한편 미 국무부는 이날 우크라이나 전쟁 후 러시아와 밀착 행보를 벌이는 벨라루스에 체류 중인 자국민들에게 즉시 출국할 것을 권고했다. 아울러 벨라루스를 여행 경보 중 가장 높은 4단계 여행금지국으로 조정했다.... "
"23","'푸틴 충견'의 쿠데타 최종장? 프리고진 죽음 둘러싼 미스터리","  알렉산드로 루카셴코 벨라루스 대통령이 중재에 나섰다. 벨라루스에서 29년 동안 장기집권 중인 인물이다. 국제사회에서 루카셴코 대통령은 푸틴 대통령과 굉장히 친밀한 관계로 알려져 있다. 여기다 프리고진과는 20년을... "
"24","프리고진 사망에 음모론 확산…푸틴 보복? 크렘린 속인 자작극?","  해외 정상들의 중재가 계속됐고, 프리고진은 처벌을 받지 않고 벨라루스로 망명하는 조건으로 반란을 중단했다. 이후 그는 벨라루스와 러시아를 오가는 모습이 수 차례 확인됐다. 프리고진은 지난 21일 텔레그램 동영상을... "
"25","프리고진 탑승자 명단 포함 러 여객기 추락 ""10명 전원 사망""","  당시 모스크바로 진격하다 하루 만인 6월 24일 러시아 우방 알렉산드르 루카셴코 벨라루스 대통령의 중재로 군사를 돌렸다. 이어 처벌을 면하는 대신 벨라루스로 망명했고, 이후 러시아와 벨라루스를 오가며 지냈다.... "
"26","“‘공포의 홍차’ 조심하라” 의문의 죽음 맞은 푸틴의 정적들, 이번에도?","  무장반란에 나선 프리고진이 뜻을 접고 벨라루스로 가겠다고 한 후부터 그의 신변이 우려스럽다는 관측은 이어졌다. 그가 벨라루스 수도 민스크의 한 호텔에 머물 때, 그 방에 창문이 전혀 없었다는 소문도 있었다. 당시... "
"27","벨라루스, 공원서 전도하던 70대 남성에 ‘구금·벌금’","  지난 5월, 벨라루스의 한 70대 남성이 지역 공원에서 복음을 전한 혐의로 당국으로부터 2주 임금에 해당하는... 사건은, 벨라루스 당국이 평범한 종교 활동을 범죄화하는 사례가 증가하고 있다는 사실을 단적으로 보여... "
"28","프리고진 ""러시아 위대하게, 아프리카 자유롭게 만들고 있다""","  바그너그룹은 러시아의 가장 가까운 동맹인 벨라루스로 재배치됐다. 최근 벨라루스는 자국으로 이주한 민간용병기업 바그너그룹의 움직임으로 이웃 국가인 폴란드, 리투아니아, 라트비아와 갈등을 빚고 있다. 이들... "
"29","바그너그룹, 벨라루스서 법인 등록…주변국 국경 긴장감↑","  러시아 민간 용병기업 '바그너 그룹'이 벨라루스에 공식 법인 등록을 한 것으로 전해졌다. 16일(현지시간) BBC 등 외신에 따르면, 바그너 그룹은 지미리보기난 4일 벨라루스 중부 소도시 아시포비치에 유한책임회사로 공식... "
"30","라트비아, 벨라루스 국경에 병력 증파...불법이민 경계 강화","  발트3국인 라트비아는 15일(현지시간) 불법이민의 월경 시도가 급증하는 벨라루스 국경에 병력을 파견했다고 발표했다. AFP 통신 등에 따르면 라트비아 국방장관은 이날 벨라루스 국경에서 지난 24시간 동안 불법 진입... "
"31","전투 가르치니까?…용병기업 바그너그룹, 벨라루스서 ‘교육단체’로 등록","  무장 반란 실패 후 벨라루스로 본거지를 옮긴 러시아 민간용병기업 바그너그룹이 벨라루스에서 ‘교육단체’로 등록한 것으로 확인됐다. 16일(현지시간) 자유유럽방송(RFE) 등에 따르면 예브게니 프리고진의... "
"32","中국방부장, 14~19일 러·벨라루스 방문…안보회의 등 참석","  중국 국방부에 따르면 리 부장은 세르게이 쇼이구 러시아 국방장관과 빅토르 흐레닉 벨라루스 국방장관의 초청으로 14~19일 러시아와 벨라루스를 방문한다. 리 부장은 러시아에 머무는 동안 제11회 모스크바... "
"33","벨라루스 대통령, 中국방부장 접견…""군사 협력 더 강화하자""","  벨라루스 대통령이 17일(현지시간) 자국을 방문한 리상푸 중국 국방부장(국방장관)과 만나 양국군 협력을 강화하자고 했다. 17일 중국 국방부는 사이트에 게재한 보도자료에서 “루카센코 대통령이 이날 벨라루스 수도... "
"34","우크라이나, 벨라루스 동북국경에 방어시설 구축 나서","  정부는 벨라루스와 러시아에 접한 동북 국경에 요새와 군사 인프라 등 방어시설을 건설할 계획이라고 CNN과 AFP 통신 등이 15일(현지시간) 보도했다. 매체에 따르면 데니스 시미할 총리는 이날 텔레그램을 통해 벨라루스... "
"35","리투아니아, 벨라루스 국경 일부 닫아…나토 동부전선 폐쇄 검토","  북대서양조약기구 NATO 동부 전선에 위치한 리투아니아가 현지시각 18일 0시를 기해 벨라루스로 가는 국경의... 리투아니아는 벨라루스와 680km에 걸쳐 국경을 맞대고 있습니다. 리투아니아는 벨라루스에 주둔 중인 러시아... "
"36","폴란드, '바그너 위협' 벨라루스 국경에 병력 1만명 배치 계획","  있는 벨라루스와의 국경에 병력 1만 명을 배치할 계획이라고 AFP 통신과 미국 CNN 방송 등이 10일(현지시간) 보도했다. 마리우시 브와슈차크 폴란드 국방부 장관은 이날 자국 공영 라디오 방송에서 벨라루스와의 접경지에... "
"37","폴란드·벨라루스 접경지 긴장 고조… 동유럽 확전되나","  벨라루스 대규모 군사 훈련 러시아의 맹방 벨라루스가 폴란드·리투아니아와의 국경 인근에서 대규모 군사훈련을 시작했다. 폴란드와 리투아니아는 나토(NATO·북대서양조약기구) 동맹국이자 유럽연합(EU) 회원국이다.... "
"38","폴란드, 벨라루스 국경에 병력 1000여명 추가 파견","  폴란드 국방부는 벨라루스와의 국경에 추가 지원 병력을 파견한다고 폴란드 국영 PAP통신, 독일 도이체벨레(DW) 등이 8일(현지시간) 전했다. 보도에 따르면 국방부는 자국 국경수비대의 요청으로 벨라루스와의 국경에 약... "
"39","모스크바 공항 3곳 쳤다, 우크라이나 공장 때렸다… 잡고보니 다 중국산 드론","  미 국무부는 이날 벨라루스 수도 민스크 주재 미 대사관 웹사이트에 올린 성명에서 벨라루스에 체류 중인 미국인들에게 즉시 출국할 것을 권고하고 벨라루스에 대한 여행 경보를 가장 높은 4단계(여행 금지)로 조정했다.... "
"40","리상푸 中 국방 만나는 루카셴코 벨라루스 대통령","  알렉산드르 루카셴코 벨라루스 대통령이 17일(현지시간) 민스크를 방문한 리상푸 중국 국방부장과 만나고 있다. 2023.8.18 ⓒ AFP=뉴스1 "
"41","폴란드 대규모 군사 퍼레이드…'러시아 벨라루스에 군사력 과시'","  폴란드는 우크라이나에 대한 주요 지원국이며 벨라루스와도 긴장 관계에 있다. 최근 벨라루스에 러시아 바그너 용병부대가 주둔하며 긴장이 고조되자 폴란드는 동부 접경지에 1만명의 병력을 추가 배치한 바 있다.... "
"42","폴란드 등에 이어 라트비아도 벨라루스 국경 경비 강화","  러시아 동맹국인 벨라루스가 북대서양조약기구 NATO 동부전선 국가들에 난민을 계속 보내면서 폴란드와... 라트비아 국경수비대는 현지시각 16일 발표한 성명에서, 지난 24시간 동안 벨라루스 국경을 넘어 라트비아로... "
"43","바그너 수장 프리고진, 반란 사태 이후 첫 근황⋯아프리카서 포착","  루카셴코 벨라루스 대통령의 중재로 반란을 멈추고 원주둔지인 우크라이나 동부로 돌아갔습니다. 이후 수천 명의 용병들은 벨라루스로 이동해 현지에서 벨라루스 군인들을 훈련하고 그들과 연합훈련을 벌이는 등의... "
