"","title","contents"
"1","세계태권도유소년대회, 29일 보스니아 헤르체고비나서 개최","  세계태권도연맹(WT)이 오는 29일(이하 한국시간)부터 나흘 간 보스니아 헤르체고비나 사라예보에서 세계유소년태권도선수권대회를 개최한다. WT 주관 대회가 보스니아 헤르체고비나에서 열리는 것은 이번이 처음이다.... "
"2","젤렌스키, 그리스 방문…EU-발칸 비공식 회의 참석","  그리스 총리실은 우르줄라 폰데어라이엔 EU 집행위원장, 샤를 미셸 EU 이사회 상임의장을 비롯해 세르비아, 몬테네그로, 몰도바, 북마케도니아, 코소보, 불가리아, 크로아티아, 루마니아, 보스니아헤르체고비나 등... "
"3","WT, 사라예보에서에서 세계태권도유소년대회 개최","  세계태권도연맹은 보스니아 헤르체고비나 사라예보에서 8월 28일부터 31일까지 나흘간 세계유소년태권도선수권대회를 개최한다. 세계태권도연맹 주최 대회가 보스니아 헤르체고비나에서 열리는 것은 이번이... "
"4","'과거사 직면'으로 발칸반도 평화 일궈내는 사라예보 영화인들","  1995년 데이턴 평화협정에 의해 현재 보스니아는 회교도와 카톨릭교가 주류인 보스니아헤르체고비나 공화국과 정교가 주류인 스릅스카공화국, 두 개의 행정구역으로 나눠져있다. 이런 끊임없는 무력분쟁의 역사적... "
"5","아내 총격살해 생중계에 분노…보스니아, 가정폭력 종식 촉구 시위","  보스니아-헤르체고비나에서 지난 주 한 남성이 자신의 아내에게 총을 쏴 살해하는 장면을 인스타그램으로 생중계, 이에 분노한 보스니아 국민들이 14일 보스니아의 주요 도시들에서 가정폭력 종식을 촉구하는... "
"6","대통령 3명이 8개월씩 재임…보스니아 ‘불안한 평화’","  한때 발칸의 화약고라 불렸던 곳, ‘보스니아 헤르체고비나’(이하 보스니아)의 서부 도시 모스타르. 해마다 이곳에서 7월 말 열리는 다이빙 대회 챔피언 출신인 청년은 10층 높이의 다리 위에서 시커멓게 흐르는... "
"7","""4명이 같은 침대에서 잔다"" 보스니아 헤르체고비나 에이스가 분통 터트린 이...","  보스니아 헤르체고비나 농구 국가대표팀의 유서프 너키치는 최근 올림픽 사전자격예선 참가를 앞두고 가진 인터뷰에서 대표팀의 열악한 현실에 아쉬움을 표했다. 1년 전 보스니아 헤르체고비나는 재정 문제로 유로바스켓... "
"8","'탕' 한 발 총성이 수천만 발로…3800만명 사상자 남긴 비극[뉴스속오늘]","  세르비아인은 발칸 반도 전역에 퍼져 있었는데 오스트리아-헝가리 제국이 통치하던 보스니아-헤르체고비나도 그중 하나였다. 그해 6월 28일 오스트리아 제국 황태자 프란츠 페르디난트 대공과 그 부인이 보스니아... "
"9","튀르키예 탄약 및 미사일 시장 동향","  최대 수입국은 보스니아 헤르체고비나와 키프로스로 전체 수입의 80% 가까이 차지한다. 보스니아 헤르체고비나에는 탄약 제조회사가 다수 있어, 튀르키예를 비롯한 많은 NATO 회원국들과 거래하고 있다고... "
"10","[미션리포트] '최악의 내전' 아픔 간직한 보스니아 헤르체고비나","  전세계 선교지 소식을 전하는 미션리포트, 오늘은 발칸반도에 위치한 보스니아 헤르체고비나로 가봅니다. 다민족국가인 보스니아 헤르체고비나는 옛 유고슬라비아 연방에서 독립하는 과정에서 발생한 내전으로 인해... "
"11","박형준 대통령 특사, 보스니아헤르체고비나와 양국 협력관계 발전 논의","  코샤라츠 대외무역경제부 장관, 박형준 특사(사진=부산시)©열린뉴스통신ONA 윤석열 대통령 특사로 유럽 순방 중인 박형준 부산시장이 보스니아헤르체고비나에서 코샤라츠 대외무역경제부 장관과 체키치 샤우세비치... "
"12","""'강제 전학' 초등학생, 교감 목에 총쐈다""..보스니아 총기 사건 '발칵'","  남유럽국가 보스니아헤르체고비나에서 한 초등학생이 교감에게 총을 쏴 체포되는 사건이 발생했다. 14일(한국시간) AFP통신 등에 따르면 발칸반도 서북부 보스니아헤르체고비나 동북부 도시 루카박의 한 초등학교에서... "
"13","유럽연합 , 보스니아- 헤르체고비나에 회원국 후보 허용","  낸 보스니아 헤르체고비나(BiH)의 가입 권고안을 만장일치로 통과시켰다. 샤를 미셸 유럽연합이사회 의장은 15일 트위터에서 "" 이번 가결이 해당국 국민들에게 새로운 개혁을 위한 새 정부의 출범에 대한 강력한 신호뿐... "
"14","[단독]잼버리 참가도 안한 18개국 500명 위해 숙소·식사 준비한 조직위","  (42명), 보스니아헤르체고비나(14명) 타지키스탄(12명), 세인트루시아(10명), 솔로몬제도(10명), 바레인(9명) 등 18개국 500명의 스카우트 대원이 잼버리에 참가하지 않은 것으로 나타났다”고 설명했다. 여가부는 앞서... "
"15","보스니아서 초등학생이 교감에 총격…""피해자 수술 중""","  안희 특파원 = 발칸반도 서북부 보스니아헤르체고비나에서 한 초등학생이 교사에게 총을 쏴 체포되는 사건이 발생했다. AFP 통신에 따르면 보스니아헤르체고비나 동북부 도시인 루카박의 한 초등학교에서 13세 학생이 이... "
"16","美 재무부, 보스니아 헤르체고비나 연방 총리 제재…부패 혐의","  미 재무부 해외자산통제실(OFAC)이 3일(현지시간) 보스니아 헤르체고비나 연방 파딜 노발릭 총리를 제재 명단에 추가했습니다. 재무부는 현지시간 3일 배포한 보도자료에서 이같이 밝히고 노발릭 총리가 2018년 선거 직전... "
"17","보스니아 헤르체고비나에는 누가 투자할까","  1차 세계대전 시작된 사라예보, 역사적 격변에 뒤늦게 경제 성장 중 1차 세계대전은 1914년 6월 28일 보스니아 헤르체고비나의 수도인 사라예보에서 당시 오스트리아-헝가리 제국의 황위 계승자인 페르디난트 대공이... "
"18","[S포토] 미스 보스니아 헤르체고비나, '동화 속 주인공~' (2022 월드미스유니...","  이날 행사에 참석한 미스 보스니아 헤르체고비나가 전통의상 퍼레이드를 하고 있다. 월드미스유니버시티는 평화와 사랑의 메시지를 세계에 전파할 목적으로 지난 1986년부터 지금까지 개최되어 온 지·덕·체를 겸비한... "
"19","진격의 보스니아 헤르체고비나? 고베어 이어 돈치치도 잡혔다","  루디 고베어에 이어 루카 돈치치도 보스니아 헤르체고비나에 무너졌다. 보스니아 헤르체고비나는 5일(한국시간) 독일 쾰른 아레나에서 열린 2022 국제농구연맹(FIBA) 유로바스켓 B조 슬로베니아와의 경기에서 97-93으로... "
"20","정부, 그레나다·보스니아헤르체고비나 등에 코로나19 백신 지원","  정부는 국제사회의 신종 코로나바이러스 감염증(코로나19) 대응을 지원하기 위한 노력의 일환으로 중남미 그레나다와 동유럽 보스니아헤르체고비나 등에 백신을 지원했다고 11일 밝혔다. 외교부는 ""작년부터 아시아 및... "
"21","정부, 과테말라 및 보스니아헤르체고비나에 코로나19 백신 공여","  우리 정부가 과테말라 및 보스니아헤르체고비나측에 공여하기로 한 코로나19 백신이 19일-20일 간 순차적으로 인천을 출발했다. 정부는 국제사회의 조속한 코로나19 팬데믹 극복을 위한 백신 접종 확대 노력에 기여하기... "
"22","[오늘의 세계] 日, 폭염에는 꽃도 얼음과 함께","  보스니아헤르체고비나에서도 바비 인형을 향한 관심이 높아지고 있습니다. 11살 소녀 에스마는 바비 인형에 입힐 옷을 직접 만들기까지 한다는데요. 보스니아 전통 옷을 인형 크기에 맞게 재봉하고, 어울리는 액세서리도... "
