"","title","contents"
"1","“친일 음악가 안익태의 ‘애국가’는 불가리아 민요 표절곡” [책&생각]","  문제는 작곡가의 친일 행적만이 아니라, 이 곡의 선율이 불가리아 민요 ‘오, 도브루자의 땅이여’와 판박이처럼 닮았다는 점이다. 애국가의 표절 문제는 1960년대부터 불거졌는데, 김정희는 안익태 애국가와 ‘오... "
"2","'재혼 4년차' 미카엘 셰프 ""전처와 이혼서류 불가리아에 보내지 않아 기혼 상...","  이에 박은희는 미카엘이 전처와의 이혼 서류를 불가리아에 보내지 않아 기혼 상태로 되어있어 이를 자신이 대신 처리해줬음을 밝히며, 가장 큰 걱정거리는 ""미카엘에게 통장을 못 주겠다는 것이다""고 토로한다. 이어 두... "
"3","불가리아, 산불 비상 ""1천헥타르 위험""…북미·유럽에서도 사망자 속출","  북미와 유럽 곳곳에서 산불이 번지는 가운데 불가리아에서도 큰 산불이 나 일부 지역에 비상사태가 내려졌습니다. 현지시간 오늘(22일) DPA 통신에 따르면 불가리아 동남쪽에서 난 이번 산불로 풋볼 경기장 1400개에... "
"4","불가리아 잼버리 대원들의 잼있는 K-자율주행자동차 시승","  오토노머스에이투지는 세계스카우트 잼버리대회로 한국을 방문한 불가리아 대원들이 자사의 자율주행 차량... 관제센터 견학 후 불가리아 대원들은 오토노머스에이투지가 세종시에서 운행 중인 오송역-세종터미널 구간... "
"5","불가리아 대원 세종시 초청… ""퇴영 이틀 전부터 계획""","  최민호 시장이 불가리아 스카우트잼버리 대원 37명이 세종시를 찾은 배경을 설명했다. 14일 최 시장은 기자... 이어 “새만금에서 불가리아 대원들이 어려운 상황이라는 소식을 들었을 때 우호협력 도시로서 도와야 한다는... "
"6","러시아 스파이 의심 불가리아인 3명 영국서 기소<BBC>","  의심되는 불가리아 국적자 3명을 기소했다고 BBC가 15일(현지시간) 보도했다. BBC는 경찰이 주요 국가 안보... BBC는 이들이 영국, 불가리아, 프랑스, 이탈리아, 스페인, 크로아티아, 슬로베니아, 그리스, 체코 등의 여권과... "
"7","성장 잠재력이 큰 아제르바이잔의 알루미늄 산업","  32 불가리아 1,594.51 알제리 285.71 합계 48,762.53 36,378.31 64,139.2 33,465.09 760120 일본 5,056.18 일본 15,159.96... 80 불가리아 3,066.34 영국 7,375.99 튀르키예 2,233.98 우크라이나 492.90 헝가리 835.18 UAE 1,537.87 UAE 143.25... "
"8","""세종시 환대 잊지 못할 겁니다"" 불가리아 대표단 작별 인사","  세계스카우트잼버리 불가리아 대표단 바스코 스타브래브 단장은 12일 세종시를 떠나며 사의를 전했다. 8일 도착해 4박5일 동안 한국영상대학교에서 숙박하며 시내 곳곳을 체험한 37명의 불가리아 대표단은 이날 환송... "
"9","IMF 총재 “미·중 갈등, 냉전 고통 재연할까 우려”","  게오르기에바 총재는 20일(현지시간) 워싱턴포스트(WP) 인터뷰에서 냉전 치하 불가리아에서 어린 시절을 보낸... 게오르기에바 총재는 ‘철의 장막’으로 세계가 둘로 갈라져 있던 1953년 불가리아 소피아에서 태어났다.... "
"10","[더세종] 불가리아 잼버리 대표단 ""세종시 환대 잊지 못할 것""","  <기자> 두 번째 키워드 ‘세종 찾은 불가리아 잼버리 대원’입니다. 제25회 새만금 세계스카우트잼버리가 기상악화로 조기 퇴영하면서 불가리아 잼버리 대원 37명이 세종시를 찾았습니다. <영상2> 세종시는 조기 퇴영하기... "
