"","title","contents"
"1","""고마워요 한국""…잼버리 참가국 대사관들, 경기도에 편지(종합)","  13일 경기도에 따르면 지난 10일 핀란드 대사관을 시작으로, 슬로베니아, 산마리노, 그리스, 크로아티아... 슬로베니아, 산마리노, 크로아티아 등 다른 대사관도 ""스카우트로부터 새 숙소가 매우 만족스럽다는 보고를... "
"2","“끝까지 책임” 용인시, 산마리노·부탄·벨라루스 대원 34명에 숙식 추가 제...","  12일 용인시에 따르면 용인에 머물던 산마리노와 부탄, 벨라루스 등 3개국 대원 34명은 13일에 출국한다. 이에 용인시는 보정동 삼성생명 휴먼센터와 협의해 이곳에서 생활해 온 산마리노 대원 15명과 부탄 대원 10명... "
"3","용인시, 잼버리대회 종료일인 12일에 출국하지 못하는 대원들에 숙식 제공","  용인에 임시숙소가 배정된 산마리노와 부탄, 벨라루스 등 3개국 대원 34명은 12일이 아닌 13일에 출국할... 이에 따라 용인특례시는 기흥구 보정동 삼성생명 휴먼센터와의 협의를 통해 이곳에서 생활해 온 산마리노 대원... "
"4","""끝까지 챙긴다"" 용인시, 휴일에도 잼버리 잔류 대원 지원","  산마리노ㆍ부탄ㆍ벨라루스 대원 34명 13일, 감비아ㆍ보츠와나 대원 16명 등 14일 출국 ▲ 이상일... 용인시 기흥구 보정동 삼성생명휴먼센터에 하루 더 숙박한 산마리노, 부탄, 벨라루스 등 3개국 대원 34명은 13일 오전에... "
"5","평창군, 산마리노공화국 산마리노시와 우호교류 협약 체결","  평창군은 지난 4일(현지시간) 산마리노공화국 시 청사에서 토마소 로시니 산마리노 시장과 우호교류 협약을 체결했다. 이번 협약은 관광, 문화, 교육, 교역 등 다양한 분야에서 서로의 우수정책을 공유하고 지속적인... "
"6","[포토]산마리노 공화국에서도 왔어요~","  2023 세계스카우트잼버리대회 K-팝 슈퍼라이브가 11일 서울 마포구 서울월드컵경기장에서 열린 가운데 공연을 각국 대원들이 공연을 기다리며 즐거운 시간을 보내고 있다 "
"7","김동연 ""남은 잼버리 대원 끝까지 지원""…핀란드 등 10개국, 감사 화답","  이 같은 대처에 핀란드 대사관을 시작으로 슬로베니아, 산마리노, 그리스, 크로아티아, 벨라루스, 볼리비아... 슬로베니아, 산마리노, 크로아티아 등 다른 대사관에서도 ""스카우트로부터 새 숙소가 매우 만족스럽다는... "
"8","정부 “내일 오전까지만 잼버리 공식지원”… 제각각 출국 일정에 ‘숙소 구하...","  전날 리노 미켈로니 산마리노공화국 대사는 경기도에 “산마리노팀으로부터 전화를 받았는데, 대표단이 귀국하는 13일 오전까지 책임지는 것이 아니라는 말을 들었다. 산마리노팀은 12일에서 13일로 넘어가는 밤에 이용할... "
"9","평창군-산마리노공화국 산마리노시, 교류협력사업 발굴 우호교류 협약 체결","  평창군은 8월 4일 (伊현지시간) 오후 2시 30분 산마리노시 청사에서 산마리노시(시장 Tomaso Rossini)와 관광, 문화, 교육, 교역 등 다양한 분야에서 서로의 우수정책을 공유하고, 지속적인 상호 교류를 통해... "
"10","전세계 인구 25% '물부족' 직면...WRI ""2050년에 60%로 증가""","  물 스트레스에 직면한 25개국은 사우디아라비아를 비롯해 칠레, 산마리노, 벨기에, 그리스 등이다. 특히... 이란, 요르단, 칠레, 산마리노, 벨기에, 그리스, 튀니지, 나미비아, 남아프리카공화국, 이라크, 인도, 시리아다. "
