"","title","contents"
"1","세르비아 대통령 ""우크라이나 영토보전 존중한다""","  알렉산다르 부치치 세르비아 대통령이 ""우크라이나의 영토 보전을 존중한다""고 언급했다고 22일(현지시간)... 그는 ""우크라이나와 코소보, 메토히야에서 일어난 사건을 언급했다""라며 ""세르비아는 우크라이나의 영토... "
"2","케냐·태국 등 7개국과 경제동반자협정 추진…공청회서 의견수렴","  태국, 세르비아, 도미니카공화국 등 7개국과 경제동반자협정(EPA) 체결을 추진하기 위한 공청회가 열렸다. 산업통상자원부는 25일 서울 코리아나호텔에서 케냐, 탄자니아, 모로코, 태국, 파키스탄, 세르비아... "
"3","만두·돈가스·감자탕을 사랑하는 세르비아 국대 출신 부키리치, 韓 배구 보고...","  “만두, 고구마치즈돈가스, 감자탕 너무 맛있어요.”, “김연경 선수는 예전에 봤을 때 넋 놓고 봤어요.” 김종민 감독이 지휘하는 한국도로공사가 다가오는 시즌 함께 하는 외국인 선수는 세르비아 출신 아포짓... "
"4","젤렌스키, 아테네서 발칸반도 정상들과 만나…세르비아 포함","  특히 젤렌스키 대통령은 러시아와 가까운 세르비아의 알렉산다르 부치치 대통령과도 만났다. 세르비아는 러시아의 우크라 침공을 비난했지만 러시아에 대한 서방의 경제 제재에는 동참을 거부했다. 젤렌스키는... "
"5","궤도 절친 임영웅?…""이찬원 얘기 자주 들어""(톡파원 25시)","  뿐만 아니라 에디슨의 라이벌인 '전기의 마술사' 니콜라 테슬라를 만나기 위해 세르비아로도 떠난다. 공항 이름부터 '베오그라드 니콜라 테슬라 공항'인 이 공항은 세르비아에서 가장 큰 국제 공항으로, 세르비아 국영... "
"6","세르비아 간판 미트로비치, '사우디 초호화군단' 알힐랄로 이적","  (잉글랜드)과 세르비아 국가대표팀의 간판 알렉산다르 미트로비치도 영입했습니다. 알힐랄은 20일 구단... 미트로비치는 세르비아 대표팀 유니폼을 입고도 81경기에 나서 52골을 몰아쳤습니다. 이로써 알힐랄은... "
"7","[WC 간략 프리뷰] ①필리핀과 중국의 도전(A조+B조)","  세르비아(B조) - 통산 월드컵 진출 횟수: 7회 - 역대 최고 성적: 우승(1998, 2002) - 2019 월드컵 성적: 5위... 즐비한 세르비아는 이번 월드컵에서도 큰 기대를 받는 강호다. 다만 최근 도쿄 올림픽에 아예 출전하지 못했고... "
"8","농구월드컵 개막, 주목할 7가지 이슈들","  일단 세르비아는 현역 최고의 선수라고 평가받는 니콜라 요키치, 올해 오클라호마시티와 계약한 바실리예... 독일의 프란츠 바그너, 세르비아의 니콜라 요비치 역시 눈길을 끄는 선수들이다. 개최국 일본의 카와무라... "
"9","2019년 대참사 이후 첫 농구월드컵, 미국은 명예회복에 성공할 수 있을까","  심지어 파워랭킹에서도 세르비아에 이어 2위로 밀렸던 미국이다. * 2019년 농구월드컵 미국 국가대표 12인... 그리고 이어진 경기에서 미국을 상대한 팀은 세르비아. 니콜라 요키치, 보그단 보그다노비치 등이 포진된... "
"10","‘드림팀’ 아닌 미국, FIBA 농구월드컵 파워 랭킹 1위…돈치치의 슬로베니아...","  과거 스페인과 세르비아가 그랬듯 최근 미국의 가장 강력한 대항마였던 프랑스가 굳건히 상위권을 지켰고... 돈치치와 니콜라 요키치가 없는 슬로베니아, 그리고 세르비아는 각각 8, 9위로 저평가받았다. 슬로베니아는... "
"11","만두·돈가스·감자탕을 사랑하는 세르비아 국대 출신 부키리치, 韓 배구 보고...","  “만두, 고구마치즈돈가스, 감자탕 너무 맛있어요.”, “김연경 선수는 예전에 봤을 때 넋 놓고 봤어요.” 김종민 감독이 지휘하는 한국도로공사가 다가오는 시즌 함께 하는 외국인 선수는 세르비아 출신 아포짓... "
"12","'HERE WE GO!' 케파 떠난 첼시, 드디어 새로운 키퍼 구했다... ‘세르비아 국...","  케파가 레알 마드리드로 떠나고 로베르트 산체스가 등번호를 1번으로 변경했지만 첼시는 주전 골키퍼를 구하고 있다. 유럽 이적 전문가 파브리시오 로마노는 22일(한국 시각) ‘첼시가 1600만 유로(약 233억 원에 조르제... "
