"","title","contents"
"1","'축제·국가정원 파악'…대전시장 영국·스웨덴 출장","  영국과 스웨덴 출장에 나선다고 24일 밝혔다. 이 시장은 인터내셔널 페스티벌, 프린지 페스티벌 등이 열리는... 자매도시인 스웨덴 웁살라에서는 에릭 펠링 시장과 교류 협력 방안을 논의할 예정이다. 이장우 대전시장은... "
"2","[책으로 정책 읽기] 북한도 설득할 수 있는 스웨덴에서 배우는 ‘이것이 외교...","  <스웨덴과 한반도: 수교 50주년에 돌아본 스톡홀름과 평양 외교 이야기>. 리앤윤 호주 출신으로 북한에... 눈길을 끄는 건 이 사건을 다룬 호주 언론이 스웨덴을 집중 조명했다는 사실이다. 시글리 억류사건을 해결하는데... "
"3","무역협회-스웨덴 경제협력 사절단 참가모집","  한국무역협회는 우리 기업의 스웨덴 시장 진출을 지원하고, 우리 기업과 스웨덴 기업 간 교류협력을 증진하고자 ‘스웨덴 경제협력 사절단’을 파견하고 현지에서 한-스웨덴 미래 모빌리티 비즈니스라운드테이블... "
"4","스웨덴, '쿠란 소각' 보복 우려 테러 등급 4단계로 격상","  ▲ 올프 크리스테르손 스웨덴 총리 스웨덴이 자국 내 '쿠란 소각 시위'에 따른 이슬람 극단 세력의 보복 우려에 테러위험등급을 한 단계 격상했습니다. 스웨덴 보안청은 현지시간 17일, 총 5단계인 테러위험등급을 현행... "
"5","BTS 정국, 스웨덴 DJ 알레소와 협업...25일 ‘세븐’ 새 버전 공개","  ‘알레소 리믹스’ 버전은 스웨덴 출신의 DJ이자 프로듀서 알레소가 프로듀싱에 참여해 프로그레시브 하우스 장르로 재해석했다. 신시사이저 베이스의 활용이 돋보이며 다이내믹한 느낌의 리듬 변주를 통해 정열적인... "
"6","스웨덴 총리 ""우크라 국민을 한 단어로 정의하면 '투지'""","  크리스테르손 스웨덴 총리가 러시아에 맞서 싸우는 우크라이나에 전폭적인 지지를 보냈다. 오랫동안 중립 노선을 걸어 온 스웨덴은 2022년 2월 러시아의 우크라이나 침략에 충격을 받아 북대서양조약기구(NATO·나토)... "
"7","기후변화에 스웨덴 와인 뜬다… 기온 오르자 佛-스페인 품질 떨어져","  기후변화 때문에 스웨덴에서 와인 만들기가 좋아졌습니다.” 10여 년 간 스페인 와이너리에서 일하다 최근 스웨덴으로 직장을 옮긴 스페인 출신 이반 사바테 씨가 말했다. 사바테 씨는 프랑스 스페인 같은 유럽의 전통... "
"8","피치, 스웨덴 부동산대기업 SBB ‘투지등급’으로 5단계 강등","  심각한 재무 문제를 겪으면서 스웨덴 상업용 부동산 시장 위기를 증폭시키고 있는 부동산 대기업 SBB에... 이 회사는 초저금리 부채 등을 활용해 성장했으나 올해 초 스웨덴의 경기침체 속에 금리가 급등하자 부채... "
"9","젤렌스키 스웨덴 국빈방문…""'그리펜' 전투기 지원 논의""","  볼로디미르 젤렌스키 우크라이나 대통령은 19일(현지시간) 스웨덴을 국빈 방문하고 그리펜(Gripen) 전투기를 지원 받는 것에 대해 논의했다고 밝혔다. CNN, 우크린포름 등에 따르면 젤렌스키 대통령은 이날 스웨덴... "
"10","젤렌스키 우크라 대통령 스웨덴 방문…총리 및 왕실 만난다","  볼로디미르 젤렌스키 우크라이나 대통령이 19일(현지시간) 스웨덴을 방문해 울프 크리스테르손 총리와 왕실을 만난다. AFP통신 등에 따르면 젤렌스키 대통령은 텔레그램을 통해 영부인 올레나 젤렌스와 함께 스웨덴에... "
"11","'현대차 파트너' 中 NaaS, 스웨덴 EV 충전업체 890억에 인수","  차지 앰프스 지분 전량 취득 유럽 2030년 충전기 5000만기 설치 전망 중국 나스 테크놀로지(NaaS Technology Inc, 이하 나스)가 스웨덴 전기차 충전기 업체를 인수한다. 중국에서의 성공 경험을 토대로 성장잠재력이... "
"12","[여자월드컵] 스웨덴, '개최국' 호주 완파…2대회 연속 3위","  국제축구연맹(FIFA) 랭킹 3위에 올라 있는 여자축구 강호 스웨덴이 여자월드컵 2연속 3위를 달성했다. 스웨덴은 19일(한국시간) 호주 브리즈번의 브리즈번 스타디움에서 열린 호주(FIFA 랭킹 10위)와의 2023 FIFA 호주... "
"13","러, 우크라 후방에 대규모 공습…스웨덴 기업 직원 3명 사망","  가해 스웨덴 기업 직원 3명이 사망했다고 로이터, AP 통신이 보도했다. 우크라이나 당국은 이날 러시아가... 이로 인해 스웨덴 베어링 제조사인 SKF의 직원 3명이 사망했다고 이 회사가 밝혔다. 세계 최대 베어링 제조사인... "
"14","러, 우크라 최후방 대규모 공습…스웨덴 기업 직원 3명 사망","  특히 폴란드 국경 인근 최후방에까지 미사일을 퍼부어 스웨덴 기업 직원들이 숨지는 등 사상자가... 서북부 루츠크에서는 러시아의 공습으로 세계 최대의 스웨덴 베어링 제조사 SKF의 직원 3명이 사망했습니다. 폴란드... "
"15","우크라-스웨덴 정상, 그리펜 전투기 지원 논의...푸틴, 군 수뇌부와 회의","  스웨덴을 방문한 볼로디미르 젤렌스키 우크라이나 대통령이 스웨덴 총리와 만나 그리펜 전투기를 지원받는 것에 대해 논의했습니다. 푸틴 러시아 대통령은 우크라이나 전쟁을 지휘하는 러시아군 본부를 방문해 군... "
"16","[NW뷰] ""한국, 상속세로 회사 빼앗기는 유일한 국가""…스웨덴처럼 '자본이득세...","  ""스웨덴의 상속세율이 70%에 달했던 1984년 ASTAR AB 설립자의 미망인이 숨졌다. 설립자가 사망할 때 미망인은... 자산의 상당부분을 잃고 스웨덴을 떠났다. 이후 ASTR AB는 영국 제네카(Zeneca)에 팔렸다. 1999년 인수합병을 통해... "
"17","젤렌스키 유럽 순방 F-16 제공 약속 확인...스웨덴산 4.5세대 전투기 '그리펜...","  ■ 스웨덴산 4.5세대 '그리펜' 시험 훈련젤렌스키 대통령은 전날(19일) 스웨덴을 방문한 자리에서는 방공 전력 강화를 위해 스웨덴산 4.5세대 전투기인 '그리펜' 지원 가능성을 논의했다고 공개했습니다.젤렌스키 대통령은... "
"18","이란 정부 ""佛·英·스웨덴 등 해외 스파이 구금…일부는 이미 사형""","  이란 정부가 프랑스, 영국, 스웨덴 및 기타 국가의 스파이들을 적발·구금했으며 이들 중 일부는 외국의 압력에도 불구하고 이미 처형한 사실을 공개했다. 에스마일 하티브 이란 정보부 장관은 20일(현지시간)... "
