"","title","contents"
"1","2028년 스위스 로슈 글로벌 바이오 1위...美 머크·애브비 턱밑 추격","  2028년 전문의약품 매출 상위 10대 제약바이오 회사 (자료=이밸류에이트, 한국바이오협회) 전문의약품 매출로 봤을 때 2028년 매출 1위는 스위스의 로슈가 차지할 것으로 보인다. 2위와 3위는 머크 및 애브비가 차지할... "
"2","[포토]이동욱, 스위스 같이 가실래요?","  배우 이동욱이 24일 오전 시계 브랜드 티쏘 인터라켄 부티크 오픈행사 참석 차 인천공항을 통해 스위스로 출국하고 있다. 2023.08.24 "
"3","스위스 상공 빙점 고도 역대 최고… 알프스 빙하 다 녹을라","  스위스에서는 대기 평균온도가 급상승, 알프스 빙하와 만년설이 송두리째 사라질 위기에 처했다는 또 다른... 스위스 기상청은 21일(현지 시각) 소셜미디어를 통해 “스위스 상공의 빙점(氷點) 고도가 지난 20~21일 밤... "
"4","[포토] 스위스 워치 미도, '멀티포트 TV 빅 데이트' 팝업스토어 오픈","  아주경제=유대길 기자 dbeorlf123@ajunews.com 배우 김수현이 서울 중구 롯데백화점 본점에서 열린 스위스 워치 브랜드 미도(MIDO) '멀티포트 TV 빅 데이트' 팝업스토어 오픈 기념 포토콜 행사에 참석해 포즈를... "
"5","롤렉스, 스위스 독립 시계제조사 부커러 인수","  스위스 시계 명품회사 롤렉스는 24일(현지시간) 가족소유의 스위스 독립 시계제조사 부커러(Bucherer)를 매수했다고 밝혔다. 이날 로이터통신 등 외신들에 따르면 롤렉스는 이번 부커러 매수로 소매판매 부문에서 큰... "
"6","[단독] HL클레무브, 스위스 후버수너와 '자율주행 솔루션' 파트너십","  후버수너 3D 안테나 기술 활용 HL클레무브, 자사 영향력 확대위한 파트너 지속 발굴 계획 HL그룹의 자율주행 솔루션 전문기업 HL클레무브가 3D 안테나 기술에 강점을 가진 스위스 '후버수너(HUBER+SUHNER)'와 손 잡았다.... "
"7","명품시계 도난·분실 급증…""롤렉스 등 스위스 제품이 다수""","  11억 스위스프랑(1조6천억원)에 달한다. 지난해 새로 신고된 시계 수는 6천815개이며 전년 대비 60%나 증가한 규모라고 회사 측은 전했다. 도난·분실 신고품 가운데 가장 많은 제품은 스위스산 명품 시계 브랜드인 롤렉스다.... "
"8","[영상] 김수현, '별에서 온 잘생김'ㅣ스위스 워치 브랜드 미도(MIDO) 포토월","  배우 김수현이 25일 오전 서울 중구 롯데백화점 본점에서 열린 스위스 워치 브랜드 미도 포토월에 참석해 포즈를 취하고 있다. "
"9","스위스 초콜릿만큼 달콤한 이동욱의 조각 미모 (출국장)","  배우 이동욱이 모 브랜드 행사 참석차 24일 인천국제공항 제2여객터미널을 통해 스위스로 출국하고 있다. 이날 이동욱은 수려한 이목구비를 돋보이게 만드는 심플한 패션과 시선을 단번에 사로잡는 포즈로 출국장... "
"10","[사진]이동욱, '스위스 출국하며 브이'","  배우 이동욱이 24일 오전 스위스 해외 일정에 참석하기 위해 인천국제공항을 통해 출국했다. 이동욱이 출국장으로 향하고 있다. 2023.08.24 "
"11","입추 벌써 지났다...단풍구경, ‘리틀 스위스’ 강원도 고성에서 즐겨볼까","  ‘리틀 스위스’ 강원도 고성행이다. 한국 속 ‘작은 스위스’라는 애칭만 해도 끝내주는데, 여기에 스위스 컨셉트의 럭셔리 리조트가 둥지를 트고 있다. 럭셔리한 시설, 아찔한 풍광으로 주변 강원권 리조트를 올킬... "
"12","[이 시각 세계] 스위스 상공 빙점고도 상승‥새 기록","  스위스 기상청이 스위스 상공의 빙점고도가 5천299미터까지 올라, 새 기록을 세웠다고 밝혔습니다. 빙점고도는 기온이 0도 이하로 내려가는 상공의 높이를 의미하는데요. 여름철 3천에서 4천미터 상공에서 형성되던... "
"13","[사진]이동욱, '스위스 출국하며 브이'","  배우 이동욱이 24일 오전 스위스 해외 일정에 참석하기 위해 인천국제공항을 통해 출국했다. 이동욱이 출국장으로 향하고 있다. 2023.08.24 "
"14","[단독]금감원,'국제표준 전산언어' 스위스서 시연…각국 '러브콜'","  21일 당국과 금융투자업계 등에 따르면 금감원은 국제 XBRL 표준화 국제기구인 XBRL 인터내셔널의 초청으로 오는 10월 16일과 17일 스위스 취리히에서 열리는 국제 컨퍼런스에 참여한다. XBRL 재무제표를 활용하는 것은... "
"15","출국장 이동욱, 스위스갑니다 [포토엔HD]","  배우 이동욱이 모 브랜드 행사 참석차 8월 24일 오전 인천국제공항 제2여객터미널을 통해 스위스로 출국하고 있다. 이날 이동욱은 수려한 이목구비를 돋보이게 만드는 패션과 시선을 단번에 사로잡는포즈로 출국장... "
"16","세계 최장 철도 터널서 열차 탈선…스위스 당국, 전면 통행금지","  이동현 인턴 기자 = 스위스에 있는 세계에서 가장 긴 철도 터널에서 탈선 사고가 발생해 전면 통제됐다. 영국 BBC에 따르면 17일(현지시간) 스위스의 고트하르트베이스터널(Gotthard Base Tunnel)에서 열차 탈선 사고가... "
