"","title","contents"
"1","女축구 키워놓고 '강제키스' 몰락…스페인축구협회장 아이러니","  2023 국제축구연맹(FIFA) 여자 월드컵 우승 직후 자국 선수에게 기습적으로 입을 맞춰 논란이 된 스페인축구협회 루이스 루비알레스 회장의 사퇴가 임박한 것으로 알려졌다. 스페인 축구 역사상 처음으로 여자 대표팀의... "
"2","'기습 입맞춤' 당한 에르모소 측 ""스페인 축구협회장 꼭 처벌해야""","  스페인 축구협회장에게 기습 입맞춤을 당했던 헤니페르 에르모소 측이 협회장을 처벌해야 한다고... 앞서 스페인은 지난 20일 열린 '2023 피파(FIFA) 호주/뉴질랜드 여자 월드컵' 결승전에서 잉글랜드를 1-0으로 꺾고... "
"3","롯데에너지머티, 스페인 몬로이치시와 스마트팩토리 건립 협약","  롯데에너지머티리얼즈는 스페인 스마트팩토리의 성공적인 건립을 위해 스페인 카탈루냐주 몬로이치시(市), 카탈루냐 무역투자청(ACCIO)과 업무협약을 체결했다고 24일 밝혔다. 앞서 롯데에너지머티리얼즈는 스페인... "
"4","산불 진화하는 스페인 소방관들","  24일(현지시각) 스페인 북부 팜플로나 약 40㎞ 떨어진 멘디고리아에서 소방관들이 산불을 진화하고 있다. 2023.08.25. 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고... "
"5","롯데에너지머티리얼즈, 스페인 동박 스마트팩토리 속도","  롯데에너지머티리얼즈는 유럽 하이엔드 동박 생산 거점인 스페인 스마트팩토리의 성공적인 건립을 위해 스페인 카탈루냐주 몬로이치시, 카탈루냐 무역투자청(ACCIO)과 업무협약을 체결했다고 24일 밝혔다. 앞서... "
"6","“용납 못한다” 스페인 축구협회장 ‘기습키스’에 이 남자 나섰다","  스페인 총리 “용납할수 없는 제스처” “평등 위해 갈길이 아직 멀다” 일침 부총리는 사퇴 촉구...사태... 벌어진 스페인축구협회 회장의 선수 ‘기습 입맞춤’ 사건에 대해 스페인 총리가 한 말이다. 22일(현지시간)... "
"7","스페인서 번지는 산불 바라보는 사람들","  24일(현지시간) 스페인 북부 나바라주 멘디고리아에 번지는 산불을 사람들이 바라보고 있다. 최근 유럽과 북미 지역 등 세계 곳곳이 대규모 산불로 고통을 받고 있다. 2023.08.25 "
"8","장현성 子 준우, 언제 이렇게 커서…스페인서 술 한모금 (걸환장)","  '걸환장' 정현성과 그의 아들 장준우가 스페인 바에서 추억을 쌓는다. 오는 27일 방송되는 KBS 2TV 예능 프로그램 '걸어서 환장 속으로'(이하 '걸환장')에서는 장현성과 아들 장준우의 스페인 바르셀로나 부자(父子) 배낭... "
"9","[엠빅뉴스] '우발적 접촉'이라던 스페인 축구협회장..까도까도 뭐가 계속 나오...","  '도둑 키스'로 논란인 스페인 루비알레스 축구협회장.. '우발적 접촉'이었다며 사과했지만 까도까도 뭐가 계속 나오네요... #스페인여자축구 #루비알레스 #키스 [엠빅뉴스]와 친구가 되어주세요! ▶유튜브 바로가기... "
"10","마틴·페레스, 35㎞경보 우승으로 2관왕…스페인 경보 金 싹쓸이","  마틴, 세계선수권 남자 경보 최초 2관왕…페레스도 금메달 2개 알바로 마틴(29)과 마리아 페레스(27·이상 스페인)가 경보 35㎞에서도 우승하며 2023 부다페스트 세계육상선수권대회 2관왕에 올랐다. 스페인은 이번... "
"11","갤러리아, 스페인 이베리코 출시","  갤러리아는 한화가 직영하는 스페인 농장에서 키운 이베리코 상품을 추석 선물세트로 출시한다고 밝혔다. 현재 한화 농장에서 사육중인 돼지는 스페인 세비야 북부 시에라 모레나(Sierra Morena) 국립공원 내에 있는 100... "
"12","월드컵 우승 직후 선수에 키스한 스페인 축구협회장 '뭇매'","  스페인 여자월드컵 우승이라는 성과에 지나치게 기쁨을 표한 스페인 축구협회장이, 뭇매를 맞고 있습니다. 얼마 전 열린 FIFA 여자월드컵 결승에서, 스페인이 잉글랜드를 꺾고 우승을 확정했습니다. 당연히 축제... "
"13","'3년간 육해공 훈련' 스페인 17살 공주 ""약간 긴장된다""","  '왕위 계승 서열 1위' 레오노르 공주 군사훈련 시작…입헌군주국 전통 스페인 국왕 펠리페 6세의 맏딸... 마르가리타 로블레스 스페인 국방장관은 앞서 지난 3월 레오노르 공주의 군사훈련을 발표하면서 그녀가 군에... "
"14","“HERE WE GO” 스페인 신성 21세 셀타 MF, 사우디 알 아흘리 이적 임박","  스페인 신성으로 꼽히고 있는 가브리 베이가(21·셀타 비고)가 사우디 프로리그 알 아흘리로 향한다. 유럽 축구 이적시장 전문가 파브리지오 로마노는 24일(이하 한국시간) “셀타 비고(스페인)는 가브리 베이가에 대한 알... "
"15","가슴 만진 감독, 강제 키스한 회장…스페인 女축구팀 잇단 ‘성추문’","  2023 국제축구연맹(FIFA) 여자 월드컵에서 우승한 스페인 여자축구대표팀이 수난을 당하고 있다. 스페인축구협회장이 우승 직후 자국 선수에게 기습적으로 입을 맞춰 지탄을 받고 공식 사과한 가운데, 이번에는 호르헤 빌다... "
