"","title","contents"
"1","[스포츠머그] 동료도 모르게 준비한 깜짝 공개 청혼…슬로바키아 커플의 로맨...","  헝가리 부다페스트에서 열린 2023 세계육상선수권 경보 35㎞의 결승선은 슬로바키아 커플에게 잊지 못할 장소가 됐습니다. 경보 35㎞는 지난 24일 남자와 여자 경기가 동시에 시작했는데요. 2시간 32분 56초, 19위로 먼저... "
"2","슬로바키아, EU국 중 경제 최고 안정세","  슬로바키아 [사진: 셔터스톡] 슬로바키아가 유럽연합(EU)에서 가장 꾸준한 경제 성장을 보이고 있다는 소식이다. 지난 2014년 이후 슬로바키아의 국내총생산(GDP) 성장은 다른 유럽연합 국가들과 비교했을 때 놀랄 만큼... "
"3","미, 북-러 무기 중개 슬로바키아 3개 업체 제재","  이번에 제재를 받은 3개 업체는 슬로바키아 국적의 아쇼트 미크르티치예프(56)가 소유한 업체들이다. 베루스 유한공사(베루스), 디펜스엔지니어링 유한파트너십(디펜스엔지니어링), 그리고 베르소 S.R.O(베르소) 등 3곳이다.... "
"4","기아 스포티지 플러그인 하이브리드 슬로바키아 경찰 차량 선정","  슬로바키아 경찰 차량으로 선정됐다. 세련된 디자인은 물론 가격 대비 높은 성능으로 호평을 받았다. 향후 추가 발주도 예상되는 만큼 기아로서는 상당한 홍보 효과도 거둘 전망이다. 25일 업계에 따르면 슬로바키아... "
"5","한국-슬로바키아 수교 및 슬로바키아 수립 30주년 기념 미술전 'Colour & For...","  햇빛담요재단(이사장 안젤라송)과 주한 슬로바키아 대사관(대사 얀 쿠데르야비)은 2023 한국-슬로바키아 수교와 슬로바키아 수립 30주년을 기념하여 미술전 'Colour & Form' *큐레이터 마리아 호르바토바(Mária... "
"6","여권 분실해 발 '동동'…슬로바키아 잼버리 ""한국 경찰 고마워요!""","  슬로바키아에서도 잊지 않을게요!"" 지난 13일 인천국제공항에서 경찰의 도움으로 분실한 여권과 항공탑승권을 찾은 슬로바키아 잼버리 인솔자 A씨가 대한민국 경찰들에게 감사함을 전했다. 14일 인천국제공항경찰단에... "
"7","이승만 건국사 (52) 잊혀진 드라마! 모윤숙-메논의 달밤 데이트...이승만, 스...","  ★ 체코슬로바키아 공산화...스탈린 지시로 공산당이 쿠데타 메논의 연설이 진행될 무렵, 동유럽 체코슬로바키아에서 쿠데타가 일어나 미국과 유럽에 충격을 주었다. 스탈린이 지시한 쿠데타였다. 연립정부에서... "
"8","英, ‘북·러 무기거래 중개’ 슬로바키아인 제재","  지원한 슬로바키아 국적자를 제재했다. 영국 외교부는 북한과 이란, 벨라루스를 러시아의 우크라이나... 이 가운데 북·러 무기거래 시도에 연루된 혐의로 슬로바키아 국적자 아쇼트 므크르티체프가 제재 대상에... "
"9","미 재무부, '북-러 무기거래' 관여 3개 기관 제재…""무기거래 네트워크 근절""","  러시아와 슬로바키아, 카자흐스탄 소재 기업 3곳에 대한 제재를 발표했습니다.[재무부... (Versor).제재 대상은 러시아 소재 기업 베루스를 포함해, 슬로바키아 국적의 베르소, 카자흐스탄... "
"10","OFAC, 북·러 무기거래 기업 3곳 제재… 美재무부 ""발본색원""","  러시아와 슬로바키아, 카자흐스탄 소재 기업 3곳을 제재 명단에 올렸다고 밝혔다. OFAC은 미국 재무부 산하 기관이다. OFAC의 제재 명단에 오른 기업들은 각각 러시아 소재 베루스와 슬로바키아 소재 베르소, 카자흐스탄... "
"11","슬로바키아 냉난방공조(HVAC) 시장 현황","  슬로바키아가 더워지고 있다. 연중 대부분 서늘한 기후인 이 나라는 Hurbanov지역 기준 올해... SEGEND:0ff80534-9e70-4782-a7cd-e111aed403d4:5 SEGSTART:ffe1b9fd-2599-4cdb-91cc-58a8812fd4d9:8슬로바키아... "
"12","[더벨][조달전략 분석]배당으로만 '7조' 확보한 현대차·기아·현대모비스","  △기아아메리카 2조2019억원 △기아슬로바키아 1조645억원 △현대모비스 492억원이다. 앞서 현대차그룹은 총 59억달러(7조9000억원) 규모의 자본 리쇼어링 계획을 밝히면서 기아아메리카와 기아슬로바키아에서 배당금을... "
"13","정부 ""美, 북러 무기거래 제재 조치 환영…대북 독자제재도 검토""","  정부는 미국 재무부가 북한과 러시아의 무기 거래에 관여한 러시아.슬로바키아.카자흐스탄 기업 3곳을... 앞서 미 재무부 해외자산통제실(OFAC)은 16일(현지시각) 러시아 소재 베루스와 슬로바키아 소재 베르소... "
"14","아이에스동서, 유럽 배터리 재활용 업체 BTS Tech 인수","  2016년 설립한 BTS Technology는 슬로바키아, 폴란드, 헝가리 등에 4개 법인을 보유하고 있는 환경사업 분야의... 보유한 슬로바키아 최대 재활용 기업 Saker 등과 같은 현지 재활용 업체들과 튼튼한 전략적 협업 관계를... "
"15","[여행작가 이신화의 유럽 인문 여행] 합스부르크 왕가가 살고 있는 오스트리아...","  헝가리에서 오스트리아로 헝가리 부다페스트에 이은 다음 여정은 슬로바키아 브라티슬라바였다. 헝가리 숙소의 스태프가 슬로바키아로 가는 버스표는 예약 안 해도 된다고 했었는데 막상 버스터미널(Budapest Nepliget... "
"16","일제가 항복한 진짜 이유","  이로써 체코슬로바키아의 주데텐란트가 독일에, 톄신이 폴란드에 병합되었다. 체코슬로바키아와 군사동맹을 맺고 있던 소련은 파병을 고려했으나 폴란드가 통행로를 내주지 않아 무산됐다. 프랑스도... "
"17","유리 파편 맞고 뛴 허드슨…경보 35㎞ 결승선에서 청혼한 커플","  허드슨, 남자 200ｍ 준결선 앞두고 카트 사고로 시력 이상 슬로바키아 경보 커플은 35㎞ 경기 직후 결혼... 현지시간으로 24일에 열린 경보 35㎞의 결승선은 슬로바키아 커플에게 잊지 못할 장소가 됐다. 경보 35㎞는... "
"18","KINGS, 5개국 11개 대학 참가 '원자력청년역량강화과정' 운영","  한국전력국제원자력대학원대학교(총장 유기풍, KINGS)은 체코, 폴란드, 슬로바키아, 헝가리, 미국 등... 올해는 슬로바키아, 헝가리, 미국이 추가돼 5개국 11개 대학으로 늘었다. 국적별로 보면 폴란드가 4개 대학... "
"19","IS동서, 배터리 재활용 글로벌 밸류체인 구축한다","  2016년 설립한 BTS 테크놀로지는 슬로바키아 폴란드 헝가리 등에 4개 법인을 보유한 환경사업 분야 재활용... 보유한 슬로바키아 최대 재활용 기업 세이커(saker) 등과 협업 관계를 맺어 사용 후 배터리가 본격적으로... "
"20","헝가리 Dental World 전시회 참관기","  오스트리아, 슬로바키아, 슬로베니아, 루마니아, 세르비아, 불가리아, 크로아티아, 우크라이나... - 한편, 1차 세계대전의 영향으로 헝가리가 국토를 주변국으로 잃게 되면서, 루마니아, 슬로바키아... "
"21","아이에스동서, 유럽 폐배터리 업체 인수","  2016년 설립한 BTS 테크놀로지는 슬로바키아, 폴란드, 헝가리 등에 4개 법인을 보유하고 있는 재활용... 보유한 슬로바키아 최대 재활용 기업 Saker 등과 전략적 협업관계를 구축하고 있다. 아이에스동서 관계자는... "
"22","슬로바키아 '정치적 혼란'에도 원전 사업 '착착'…웨스팅하우스·두산 협력 기...","  슐리크 자유와연대당(SaS) 대표 ""신규 원전 환경영향평가 면제 승인"" '체코-슬로바키아' 합작 원전 사업 탄력 웨스팅하우스, AP1000·AP300 공급 추진 [더구루=오소영 기자] 슬로바키아 자유와연대당(SaS)이 정치적 혼란... "
"23","美, '북러 무기거래' 연루 러시아 기업 등 3개 기관 제재","  베루스와 슬로바키아 소재 베르소, 카자흐스탄 소재 디펜스엔지니어링을 제재했다고 밝혔다. 앞서 OFAC는 지난 3월 러시아와 북한 간 무기 거래 중개를 시도한 혐의로 슬로바키아 국적의 아쇼트 므크르티체프를... "
