"","title","contents"
"1","박진, 내주 슬로베니아서 중동부 유럽 상대 부산박람회 유치활동","  튀르키예와 슬로베니아를 방문한다. 박 장관은 26일 튀르키예 이스탄불에서 유럽 지역 공관장 회의를 주재하고 국가별 부산박람회 유치 맞춤형 전략 등을 점검한다. 이후 탄야 파욘 슬로베니아 외교장관 초청으로... "
"2","HL그룹, 기록적 폭우 슬로베니아에 10만달러","  HL그룹이 폭우로 큰 피해를 본 슬로베니아를 돕기 위해 구호금 10만달러(약 1억3300만원)를 대한적십자사에 전달한다고 22일 발표했다. 슬로베니아엔 지난 2일 12시간 동안 200㎜에 달하는 폭우가 쏟아졌다. 폭우로... "
"3","HL그룹, 기록적 홍수 피해 슬로베니아에 10만달러 지원","  HL그룹이 이달 초 기록적인 홍수로 큰 피해를 당한 슬로베니아를 돕기 위해 구호금 10만 달러(약 1억3400만원)를 구호금으로 대한적십자사에 전달한다고 22일 밝혔다. 슬로베니아에서는 지난 2일(현지시각) 12시간... "
"4","HL그룹 정몽원 회장 등 계열사, 슬로베니아 수해 복구 지원","  HL그룹이 지난 22일 슬로베니아를 돕기 위해 구호금 10만달러를 대한적십자사에 전달했다. 이번 구호금은 정몽원 HL그룹 회장과 슬로베니아의 인연에 따른 것이다. 국제아이스하키연맹(IIHF)에서 슬로베니아와 인연을... "
"5","돈치치, 조던 브랜드와 6년 연장 계약[NBA]","  루카 돈치치(24·슬로베니아)가 조던 브랜드에 남는다. NBA에 정통한 마크 스타인 기자에 따르면, 돈치치는... 어린 시절부터 슬로베니아 농구 대표팀을 이끈 돈치치는 2017년 유로바스켓 챔피언에 올랐고, 2022년 도쿄... "
"6","HL, 슬로베니아 구호금 10만달러","  발생한 슬로베니아를 위해 대한적십자사를 통해 구호금 10만 달러(약 1억3360만 원)를 전달했다고 22일 밝혔다. HL그룹 측은 “이번 구호금은 정몽원 HL그룹 회장과 슬로베니아의 인연에 따라 이뤄졌다”고 설명했다.... "
"7","‘드림팀’ 아닌 미국, FIBA 농구월드컵 파워 랭킹 1위…돈치치의 슬로베니아...","  푸에르토리코전을 시작으로 슬로베니아, 스페인, 그리스, 독일을 모두 무너뜨렸다. 루카 돈치치와 야니스 아데토쿤보가 없는 슬로베니아, 그리스전은 차치하더라도 같은 우승 후보 스페인과 독일을 잡아낸 건 대단한... "
"8","[CEO풍향계] 글로벌 싱크탱크로' 류진…'생성형 AI 자신감' 최수연","  최근 큰 홍수피해를 당한 슬로베니아를 돕기 위해 구호금 10만 달러를 대한적십자사에 전달했습니다. 슬로베니아는 최근 기록적 폭우로 국토 3분의 2 가량이 피해를 입었습니다. 1991년 독립 이래 최악의 자연재해로 7... "
"9","[물류24시] HL그룹, 슬로베니아에 10만달러 지원 外","  ◆HL그룹, 슬로베니아에 10만달러 지원 HL그룹은 홍수 피해를 입은 슬로베니아를 돕기 위해 구호금 10만 달러를 대한적십자사에 전달한다고 밝혔다. 이번 구호금은 정몽원 그룹 회장의 의지로 마련됐다.... "
"10","2023 농구월드컵, 어떻게 열리나","  독일, 슬로베니아 등이 출전한다. 아프리카에서 출전권을 얻어낸 남수단, 카보베르데는 처음 월드컵 무대를... 스티브 커 감독이 새롭게 지휘봉을 잡은 가운데 현재까지 열린 친선 경기에서는 스페인, 슬로베니아 등을... "
"11","쿠팡플레이, FIBA 농구 월드컵 독점 생중계","  (토)은 슬로베니아(7위) vs 베네수엘라(17위)와 미국(2위) vs 뉴질랜드(26위) 경기를 각각 20시 30분, 21시... 30분 : 슬로베니아 vs 베네수엘라 8월 26일(토) 21시 40분 : 미국 vs 뉴질랜드 8월 27일(일) 22시 30분 : 프랑스 vs... "
"12","‘슬로베니아 에이스’ 돈치치, 농구 월드컵에서 주목해야 될 스타 1위 선정","  돈치치는 조국 슬로베니아를 위해 다수의 국제대회에 출전했다. 국제대회에서도 그는 정상급 클래스를... FIBA는 돈치치에 대해 “도쿄 올림픽에서 슬로베니아가 세계 최고의 팀들과 싸우는 것을 봤다. 돈치치는... "
"13","[WC 간략 프리뷰] ③독일과 호주, 강호의 힘 보여줄까(E조+F조)","  슬로베니아(F조) - 통산 월드컵 진출 횟수: 4회 - 역대 최고 성적: 7위(2014) - 2019 월드컵 성적: 진출 실패... 시즌아웃된 슬로베니아. 일단은 슈퍼스타 루카 돈치치를 중심으로 도쿄 올림픽 4강의 성과를 재현하겠다는... "
"14","슬로베니아 등 중부 유럽에 기록적 폭우…EU·나토 긴급지원","  슬로베니아 ""1991년 독립 이래 최악 홍수""…국토 3분의 2 영향 추정 정빛나 특파원 = 폭염과 산불에 신음하는 남유럽과 달리 슬로베니아를 중심으로 중부 유럽에 기록적 폭우가 쏟아지면서 유럽연합(EU)과... "
"15","미국의 새로운 간판 앤써니 에드워즈, 월드컵 MVP 파워 랭킹 1위 선정","  슬로베니아의 슈퍼 에이스 루카 돈치치는 4위에 랭크됐다. 돈치치의 이름값이나 팀 내 비중이 앞의 선수들에게 뒤처지지는 않지만, 블랏코 찬차르가 부상을 빠진 슬로베니아의 전력이 미국이나 프랑스에 비해서는... "
"16","EU, '국토 3분의 2 피해' 슬로베니아 5천800억원 우선 지원","  덮친 슬로베니아에 긴급 자금을 투입하기로 했다. 우르줄라 폰데어라이엔 EU 집행위원장은 9일(현지시간) 슬로베니아를 방문해 'EU 연대기금'에서 올해 1억 유로, 내년 3억 유로 등 총 4억 유로(약 5천800억원)를 우선... "
"17","[루키피디아] 세계 농구 축제, FIBA 월드컵","  니콜라 요키치와 야니스 아데토쿤보가 불참하는 가운데 슬로베니아의 독보적 에이스 루카 돈치치는... 2회 연속 8강에 올랐던 슬로베니아는 돈치치를 중심으로 더 높은 곳을 노리고 있다. 한국이 코로나19 여파로... "
"18","급류 흐르는 슬로베니아 침수 도로","  6일(현지시각) 슬로베니아 치르나 나 코로슈켐에 발생한 홍수로 도로에서 급류가 흐르고 있다. 슬로베니아 기상청은 한 달 치 비가 하루도 안 돼 쏟아져 강물이 빠르게 불어나면서 가옥, 들판, 마을 등이 침수되고 철도가... "
"19","한 달치 비가 하루에...슬로베니아 기록적 폭우","  슬로베니아에는 하루 동안 한 달 치 비가 내리는 등 엄청난 폭우로 국토의 2/3가 피해를 봤습니다. 류재복... 새벽 4시에 헬리콥터를 타고 대피했습니다.] 지난 4일부터 많은 비가 내린 슬로베니아. 한 달 동안 내릴 비가... "
"20","폭우 쏟아진 슬로베니아의 물에 잠긴 마을","  = 8일(현지시간) 기록적 폭우가 쏟아진 슬로베니아 드레타에서 물에 잠긴 마을이 보인다. 2023.8.10 "
"21","기록적 폭우에 폭삭 무너진 슬로베니아 주택","  = 9일(현지시간) 기록적 폭우가 쏟아진 슬로베니아 프레발리에의 주택이 물에 잠겨 부서진 모습이 보인다. 2023.8.10 "
"22","슬로베니아 수재민 위로 포옹하는 EU 집행위원장","  = 우르줄라 폰데어라이엔 EU 집행위원장이 9일(현지시간) 기록적 폭우가 쏟아진 슬로베니아 크르나 코로스켐의 수해 지역을 로베르트 골로프 총리와 방문해 주민을 위로하고 있다. 2023.8.10 "
"23","폭우에 고립된 주민 구출하는 슬로베니아 구조 헬기","  = 9일(현지시간) 기록적 폭우가 쏟아진 슬로베니아 프레발리에의 물에 잠겨 고립된 지역의 주민을 구조 헬기로 구출을 하고 있다. 2023.8.10 "
"24","돈치치의 농구 교실, 도쿄에서 열렸다…슬로베니아, 카와무라 분전한 일본에 ...","  슬로베니아는 19일(한국시간) 일본 도쿄 아리아케 아레나에서 열린 일본과의 2023 국제농구연맹(FIBA) 필리핀... 슬로베니아는 루카 돈치치-빈 프레펠리치-그레고르 흐로바트-알렉세이 니콜리치-토비가 선발 출전했다.... "
"25","[산업 이슈] 효성티앤씨 ‘리젠’ 방진복, 삼성전자 美 반도체 공장에 공급 外","  ◆HL그룹, 기록적 홍수 피해 입은 슬로베니아에 구호금 10만달러 지원 HL그룹(회장 : 정몽원)이 슬로베니아를 돕기 위해 구호금 10만 달러를 대한적십자사에 전달한다고 22일 밝혔다. 현지 시각 8월 2일, 슬로베니아... "
"26","숙소에 들어서는 슬로베니아 대원들","  = 새만금 세계스카우트잼버리에서 조기 철수한 슬로베니아 대원들과 지도자들이 8일 오후 경기 부천시 가톨릭대학교 성심교정에 도착해 짐을 옮기고 있다. 세계스카우트연맹은 기록적인 제6호 태풍 '카눈'이... "
"27","슬로베니아 대원들 '딱지치기에 열중'","  = '2023 세계잼버리스카우트 대회' 슬로베니아 스카우트 대원들이 9일 기아 오산교육센터에 입소해 딱지치기 등 한국 전통 놀이 체험을 하며 즐거운 시간을 보내고 있다. (현대차그룹 제공) 2023.8.9/뉴스1 "
"28","'캡틴 돈치치 웃을 수 있을까?' 슬로베니아, 월드컵 나설 최종 명단 발표","  슬로베니아가 월드컵에 나설 최종 명단을 공개했다. 슬로베니아 국가대표팀은 15일(이하 한국시간) 8월 말 개막하는 2023 FIBA 월드컵에 출전할 최종 명단을 발표했다. 슬로베니아 2023 FIBA 월드컵 최종엔트리 명단 자카... "
"29","[포토] 폭우 덮친 슬로베니아…떠내려가는 집들","  6일(현지시간) 폭우가 쏟아진 슬로베니아 프레발레 지역이 물에 잠겨 건물들이 파괴됐다. 2023.08.07/ ⓒ 로이터=뉴스1 "
"30","‘귀국길까지 배웅’..잼버리 대원들 “현대차 고마워요”","  필리핀, 슬로베니아, 엘살바도르 등 6개국 약 1천 명의 대원들은 4박 5일 동안 현대차그룹이 마련한 다양한 활동을 즐겼다. 기아 오산교육센터에 머문 슬로베니아 잼버리 대원들이 12일 즐거운 표정으로 손을 흔들며... "
