"","title","contents"
"1","내일투어, 오로라 관측 최고의 시기에 떠나는 아이슬란드 자유여행 패키지 출...","  개별여행전문그룹 내일투어가 아이슬란드 자유여행 패키지를 출시했다. 이번 아이슬란드 자유여행패키지는 2023년 11월부터 2024년 3월까지 출발한다. 북유럽 최단거리 항공인 '핀에어'를 이용하며, 전 일정에 전문인솔자가... "
"2","숙소 떠나는 아이슬란드 잼버리 대원들","  12일 오전 경기 수원시 경기대학교 기숙사에 머물던 아이슬란드 잼버리 대원들이 버스를 타고 다른 숙소로 이동하고 있다. 아이슬란드 대원들은 이날 귀국하지 않고 다른 숙소로 옮겨 국내 관광을 이어갈 예정이다.... "
"3","테슬라 사이버트럭 아이슬란드 빙하서 포착","  이 아이슬란드 빙하 위를 달리는 모습이 포착됐다. 홍보 콘텐츠를 촬영중인 것으로 파악되며 출시가 임박했다는 기대감이 커지고 있다. 소셜미디어 엑스(X·옛 트위터) 사용자 'CRAR'는 20일(현지시간) ""아이슬란드 빙하 위의... "
"4","회색빛 소용돌이 솟구쳤다… 아이슬란드서 포착된 ‘악마의 먼지’","  아이슬란드의 화산에서 하늘을 향해 길게 솟구치는 회색빛 토네이도가 포착됐다. 전문가들은 이 회오리가... 6일(현지 시각) 과학 매체 라이브사이언스 등에 따르면 지난달 24일 아이슬란드 수도 레이캬비크의 리틀리... "
"5","바자전 프리뷰 파티, 그 날의 뜨거운 분위기!","  1층 전시장에 작품 설치를 끝내고 나니 교토의 사원과 카라라의 대리석 산을 지나 아이슬란드와 이탈리아의... 촬영한 아이슬란드의 풍광을 처음 공개했다. 전시장 내 다른 구역에 비해 조도가 낮은 공간이, 수묵화 같은... "
"6","한국 아빠 육아휴직 상한액 150만원…독일 244만원·일본 317만원","  실제 스웨덴의 상한액은 410만원(첫 390일)이며, 아이슬란드(585만원), 노르웨이(774만원), 독일(244만원), 일본... 스웨덴 78%, 아이슬란드 67%, 노르웨이 80~100%, 독일 67%, 일본 67% 등보다 크게 낮다. 특히 한국 신혼부부는... "
"7","[종합] '결혼 2년차' 이지훈, ♥아내 생각뿐 ""사랑하는 사람과 좋은 곳 가는 ...","  여행지 아이슬란드’, ‘지구 반대편 얼음 왕국 아르헨티나’를 주제로 무더위를 날려줄 이색적인 여름 한정판 여행 코스가 소개됐다. 3위는 화산과 빙하가 빚은 땅인 ‘아이슬란드’였다. 이날은 여름에만 개방되는... "
"8","[르포] ""피곤하고 힘들지만 즐거움이 더 컸어요. 그게 잼버리죠""","  명과 아이슬란드 대표단 100여 명도 떠날 채비를 마쳤다. 독일 대표단은 우선 공항으로 집결했다가 재차 숙소를 배정해 대부분 며칠 더 한국 관광을 이어갈 방침이다. 아이슬란드 대표단은 공항을 거치지 않고 곧바로... "
"9","EU·노르웨이·아이슬란드, 일본산 식품 수입규제 철폐(종합)","  일본 농림수산성은 3일 ""오늘 유럽연합(EU), 노르웨이 및 아이슬란드는 일본산 식품에 대한 방사성 물질 수입... 또한 EU 회원이 아닌 노르웨이와 아이슬란드에서도 국내 절차가 완료됨으로써 3일부터 일본산 식품에 대한... "
"10","이지훈 ""요즘 상의 탈의할 일 많아""…이석훈도 '폭풍 공감' (다시갈지도)","  여행지 아이슬란드', '지구 반대편 얼음 왕국 아르헨티나'를 랭킹 주제로 '더위 사냥 여행지 베스트 3'를... 그런가 하면 이날 이지훈을 사로잡은 아이슬란드 천연 온천이 소개될 예정이다. 대서양의 풍경과 화산암 해안... "
"11","'감탄사 연발'..잼버리 대원들, 한국 전통무예에 푹 빠졌다(종합)","  이들은 독일과 아이슬란드에서 '2023 새만큼 세계 스카우트 잼버리 대회'에 참가하기 위해 한국에 온... 이들은 독일과 캐나다, 아이슬란드, 볼리비아, 모리타니, 러시아 등 7개 국 참가자들로, 경기대와 아주대 기숙사... "
