"","title","contents"
"1","""같은 사람 맞아?"" 아일랜드 20대 女 얼굴이 몰라보게 변한 사연","  아일랜드의 한 20대 여성이 습진으로 부어버린 얼굴을 공개해 화제다. 아일랜드에서 아동 체조 강사로 일하는 베아트리체 가우카하스(22)는 지난 14일 자신의 틱톡 계정에 습진을 앓던 2년 전의 사진을 공개했다. 공개된... "
"2","영화가 현실로... 아일랜드 소녀 유리병 편지, 미국서 발견","  병 속에는 편지가 담겨 있었는데 편지에는 ""아일랜드에서 인사드립니다. 누군가가 이 병을 발견하길... 아일랜드의 흔한 여자아이 이름이면서 아름다움과 기쁨을 내포한다고. 볼거 자신도 1860년대 미국으로 건너온... "
"3","아일랜드㈜ 회사명, ‘㈜더헤븐리조트’로 변경","  경기도 대부도에 아일랜드CC를 운영하고 있는 아일랜드㈜는 회사명을 ‘㈜더헤븐리조트’로 바꿨다고 24일 밝혔다. 아일랜드CC도 더헤븐CC로 명칭을 변경한다. ‘한국의 페블비치’로 불리는 더헤븐리조트는 2011년... "
"4","스톤 아일랜드(STONE ISLAND) 아카이브 전시","  스톤 아일랜드(STONE ISLAND)는 오는 9월 제2회 프리즈 서울 (Frieze Seoul) 기간 동안 대규모 아카이브... 최초로 선보인 해인 1982년 봄/여름 컬렉션을 비롯하여 스톤 아일랜드의 핵심으로 손꼽히는 70여 피스를... "
"5","샌타 카탈리나 아일랜드…청량한 섬으로 늦캉스 떠나볼까","  카탈리나 아일랜드( Santa Catalina Island)만한 곳이 없다. 롱비치 등 남가주 소재 항구에서 페리로 1시간 남짓이면 갈 수 있는 카탈리나 아일랜드는 지중해를 연상시키는 이국적인 풍경이 매력적이다. 카탈리나... "
"6","올 가을엔 힐링 아일랜드 보령으로 여행 어때요?","  높고 푸른 하늘과 선선한 바람이 불어오는 계절, 가을이 우리 앞에 다가오고 있다. 길어진 여름 덕분에 가을을 즐길 수 있는 날이 예전보다 많이 줄어들었지만 여행 계획을 잘 세운다면 가을은 최적의 날씨 속에서 많은... "
"7","아일랜드 20대 여성, 얼굴 몰라보게 변했던 이유는?","  20대 아일랜드 여성이 극심한 습진에 의해 완전히 변해버렸던 자신의 얼굴을 공개해 주목받았다. 아일랜드에서 아동 체조 강사로 일하는 베아트리체 가우카하스(22)는 태어날 때부터 습진을 앓았다. 하지만 2년 전 스무살이... "
"8","지마켓, 모두의마블·머지 쿵야 아일랜드 게임아이템 100원 선착순 판매","  지마켓이 27일까지 넷마블 대표게임 2종 모두의마블과 머지 쿵야 아일랜드 아이템 패키지를 100원 선착순... 2만원 상당 ‘머지 쿵야 아일랜드’ ‘딸기쿵야 캐릭터 Lv.3’도 100원에 구매할 수 있다. 각각 선착순 1만명... "
"9","코드스테이츠, 코드아일랜드 8월 ‘그로잉데이’ 개최⋯ IT 커리어 성장 지원","  코드아일랜드 8월 ‘그로잉데이’ 개최 [아시아타임즈=신진열 기자] 코드스테이츠가 IT분야 커리어 성장을 지원하는 코드아일랜드 ‘8월 그로잉데이’ 행사를 개최한다고 24일 밝혔다. 그로잉데이는 코드스테이츠의 IT... "
"10","텅 빈 통장에서 150만원 인출…고객 몰린 아일랜드 대형은행","  이강우 인턴 기자 = 아일랜드 전역의 일부 현금자동인출기(ATM)에서 기술적 오류로 통장에 잔액이 없어도... 지난 16일(현지시간) 미국 뉴욕타임스에 따르면 아일랜드 대형 은행 뱅크오브아일랜드(Bank of Ireland) 시스템이... "
"11","넷마블, G마켓과 함께 '모두의마블', '머지 쿵야 아일랜드' 특별 이벤트 마련","  넷마블(대표 권영식, 도기욱)은 G마켓에서 '모두의마블', '머지 쿵야 아일랜드'의 게임 아이템을 100원에 판매하는 특별 프로모션을 실시한다고 23일 밝혔다. 오는 8월 27일까지 진행되는 이번 프로모션에서는 '1000... "
"12","“빈 통장인데 150만원 인출”…한밤중 ATM 줄 늘어선 아일랜드","  아일랜드의 한 은행에서 기술 오류로 인해 계좌에 잔액이 없어도 현금을 인출할 수 있는 일이 벌어졌다.... 16일(현지시간) 로이터통신 등 외신에 따르면 전날 밤 SNS에는 아일랜드 곳곳의 ATM 앞에 길게 줄이 늘어선 사진이... "
"13","롱아일랜드 교통사고 잇달아 이달에만 총 21명 사망","  8월 들어 롱아일랜드 일대에서 발생한 교통사고로 21명이 숨지는 등 운전 부주의로 인한 사고가 연이어... 롱아일랜드 일대에서는 10대 4명을 포함한 21명이 목숨을 잃었다. 지난 6일 오후 7시20분께 낫소카운티... "
"14","'바비', '타이타닉·아바타' 제쳤다...아일랜드 챔피언 등극 [할리웃통신]","  영화 '바비'가 885만 유로(한화 약 127억 원)을 벌어들이며 아일랜드 역대 박스오피스 챔피언에 등극했다. 23일(현지 시간) 외신 'VARIETY'에 따르면 그레타 거윅 감독의 작품은 아일랜드에서 기존 챔피언인 '아바타'(875만... "
"15","랜달스아일랜드에 대형 난민 텐트촌 오픈","  랜달스아일랜드 구호센터(텐트촌)가 문을 열었다. 뉴욕시는 20일, 독신 남성 난민신청 이민자 3,000명을 한 번에 수용할 수 있는 랜달스아일랜드 텐트촌이 문을 열었다고 발표했다. 텐트촌의 위치는 랜달스아일랜드... "
"16","FT아일랜드, 팝업 이벤트로 팬들과 소통한다","  FT아일랜드의 단독 콘서트 2023 FTISLAND LIVE 'HEY DAY' 개최를 기념하는 팝업 이벤트를 25~31일 서울 강남구 가로수길에 위치한 씨잌 매장에서 개최한다. 사진= FNC 가로수길 씨잌 매장 1층에서는 FT아일랜드만의... "
"17","스톤아일랜드, 스텔리나 컬렉션 출시","  이탈리아 럭셔리 스포츠 웨어 브랜드 스톤아일랜드(STONE ISLAND)에서 스텔리나 컬렉션을 공개했다. 스톤아일랜드의 스텔리나 컬렉션은 작은 흰색 스타로고가 자수가 특징이며, 미니멀한 디자인을 유지하면서 편안함을... "
