"","title","contents"
"1","바르사 전성기 이끈 '푸욜X피케', 다시 뭉친다...이번엔 디렉터와 구단주","  스페인 '풋 메르카토'는 22일(한국시간) ""FC 안도라의 소유주 헤라르드 피케가 카를레스 푸욜을 영입하고자... 지난 시즌 도중 축구화를 벗은 피케는 라리가 2 소속 FC 안도라의 소유주다. 그리고 피케는 자신의 옛 단짝... "
"2","""변변치 않은 국력으로…"" 왕년의 대국 佛 조롱한 북한","  반면 교황청, 모나코, 안도라, 우크라이나, 에스토니아, 그리고 프랑스 6개국은 한국하고만 외교관계를 맺고 있다. 이 가운데 교황청, 모나코, 안도라, 에스토니아는 비교적 작은 나라이지만 우크라이나와 프랑스는... "
"3","정부, ‘조세도피처’ 안도라 조세조약 합의…투자소득 저세율 창구","  피레네 산맥 골짜기 지역, 1인당 GDP 한국과 비슷 관광, 금융업, 저세율 및 탈세 수단으로 활용 유명 한국 정부가 주요 조세도피처인 안도라와 조세조약을 맺었다. 기획재정부가 현지시간 23일 안도라 공국과 한·안도라... "
"4","한나래 홍성찬, 예선 1회전 통과.. 2회전에서 예선 시드자 상대한다 [US오픈]","  15번 코트에서 여자단식 경기를 가진 한나래(세계 243위)는 빅토리아 히메네즈 카신체바(안도라, 세계 202위)를 6-3 6-3으로 꺾었다. 한나래는 1세트 경기 시작부터 세 번 연속 브레이크에 성공했다. 2세트에서는 한 번도... "
"5","[WTA] 히메네스 카신체바, 안도라 선수 최초 女프로테니스 투어 8강행 '화제'","  소국 안도라 국적의 17세 선수가 사상 최초로 여자프로테니스(WTA)투어 8강에 진출해 화제다. 화제의 주인공은 빅토리아 히메네스 카신체바(안도라, 세계 랭킹 186위). 카신체바는 22일 서울 송파구 올림픽공원에서... "
"6","안도라 문체부 장관과 기념촬영하는 전병극 1차관","  Cultural Complex)에서 열린 유네스코 세계문화장관회의에 한국 정부 대표로 참석해 본회의에 앞서 실비아 리바 곤잘레스 안도라 문화체육부 장관과 기념촬영을 하고 있다. (문화체육관광부 제공) 2022.9.30/뉴스1 "
"7","제주도 4분의 1, 소국 안도라에서 온 17세 소녀 카신체바","  안도라는 스페인과 프랑스 국경 지역에 있는 제주도 4분의 1 크기의 소국으로 인구 약 8만 5천 명이 거주... 코리아오픈에서 안도라 출신 최초로 투어 레벨 승리를 기록했다. 카신체바는 예선 결승전에서 떨어졌지만 케이티... "
"8","[코리아오픈] 17세 최연소 참가자 카신체바, 자국 안도라 최초 WTA 본선 승리","  17세 최연소 단식 본선 진출자 빅토리아 히메네스 카신체바(186위)가 자국 안도라 최초 WTA 승리를 기록했다. 안도라는 스페인과 프랑스 국경 지역에 있는 제주도 4분의 1 크기의 소국이다. 인구 약 8만 5천 명이 거주... "
"9","이탈리아 휴양도시 안도라서 한국주간 개막","  주밀라노총영사관이 이탈리아 북서부 리구리아주 안도라시와 공동으로 한국주간 개막행사를 개최했다고 20일(현지시간) 밝혔다. 사진은 안도라의 한국주간 개막 행사에서 한국작가의 조각 작품을 둘러보는 강형식... "
"10","예선 대진 확정, 한국 홍성찬 한나래 장수정 출전 [US오픈]","  올해 예선 1회전에서는 빅토리아 히메네즈 카신체바(안도라, 세계 202위)를 상대한다. 카신체바는 18세 어린 선수로, 올해 호주오픈에서 예선 3회전까지 진출한 바 있다. 장수정(세계 152위)은 8월 2주, 미국... "
"11","'레반도프스키 2골 1도움' 폴란드, 안도라에 4-1 대승","  폴란드 축구대표팀은 13일(한국시간) 안도라의 라 베야 국립 경기장에서 안도라를 상대로 치른 '2022 FIFA 카타르 월드컵 유럽지역 예선' I조 9차전에서 4-1 대승을 거뒀다. 홈팀 안도라는 5-4-1 포메이션을 꺼내 들었다. 이케르... "
"12","'보기만 해도 아프다!' 안도라 41세 DF, '조카뻘' 산초 돌파 막다 햄스트링 부...","  안도라의 41세 수비수가 잉글랜드의 신성 제이든 산초(20)의 돌파를 따라가다 햄스트링 부상을 당했다. 안도라는 10일 오전 3시 45분(한국시간) 안도라 라 베야 국립경기장에서 열린 국제축구연맹(FIFA) 유럽 지역 예선... "
"13","집단이기주의로 엿보는 '인간의 이중성'…극단 미르 레퍼토리 '안도라' 송도 ...","  프리쉬의 '안도라(Andorra)'를 공연한다.미르 레퍼토리의 '안도라'는 지난해 11월 국내 쇼케이스 공연에 이어 올해 초 일본 쇼케이스 공연까지 마쳤다. 이 무대는 여러 나라의 배우들이 함께 연기하며 참여 배우 모두... "
"14","극단 MIR 레퍼토리, 다중언어연극 프로젝트 '안도라' 개막","  ▲연극 안도라(Andorra) 포스터 극단 MIR 레퍼토리(대표 이재상)가 주최·주관하는 연극 '안도라'(Andorra, 막스 프리쉬 작·이재상 연출)가 오는 30일부터 11월 1일까지 인천 송도 트라이보울 공연장에서 막을 올린다. '안도라... "
"15","일자리 확대냐 흉악범 방지냐···유럽 ‘범죄 청정국’ 안도라 고민","  프랑스와 스페인 사이 피레네 산맥에 자리한 유럽의 산골 소국(小國) 안도라 공국이 문호 확대를 놓고 운명의 갈림길에 서 있다. 안도라 정부는 신종 코로나바이러스 감염증(코로나19)으로 주력 산업인 관광업이 심각한... "
"16","前 FC안도라 감독, '구단주' 피케의 경질 결정에 강한 불만","  피케는 지난 2018년 12월 스페인 디비시오네스 레히오날레스(5부 리그)에 있던 FC 안도라를 인수했다. 당시 안도라의 순위는 8위. 피케는 승격을 위해 곧바로 투자를 감행했다. 가브리 감독 선임을 시작으로 10명의... "
"17","안도라 상대로 A매치 40호 골 넣는 해리 케인","  5일(현지시간) 영국 런던의 웸블리 스타디움에서 열린 2022 카타르 월드컵 유럽예선 I조 잉글랜드 대 안도라의 경기에서 잉글랜드의 해리 케인(오른쪽·28)이 페널티킥으로 팀의 두 번째 골을 득점하고 있다. 그는 이번... "
"18","샤키라 조카, ‘고모부’ 피케 소유 안도라 FC 데뷔","  세계적인 팝스타 샤키라의 조카가 ‘고모부’ 헤라르드 피케(32, FC 바르셀로나) 소유의 안도라 FC에서 데뷔전을 치렀다. 스페인 ‘아스’는 샤키라의 조카인 타리크 안토니오 메바락의 안도라FC 데뷔전 소식을 전했다.... "
"19","‘승점자판기’ 안도라, 유로 예선 기념비적 첫승","  유럽의 소국 안도라가 유로 지역 예선에서 역사상 첫 승을 거두었다. 안도라는 12일 새벽(한국 시간) 안도라 라 베야에 자리한 에스타디오 나시오날에서 벌어진 유로 2020 지역 예선 H조 7라운드 몰도바전에서 후반 18분... "
