"","title","contents"
"1","소련 시절 잔혹한 압제 악몽 시달리는 발트해 국가들","  소련 시절 소련군 탱크에 짓밟힌 경험이 있는 에스토니아, 라트비아, 리투아니아 등 발트해 3국의 국민들은... 카자 칼라스 에스토니아 총리가 우크라이나는 에스토니아의 최전선이라고 말한 이유다. 그는 “우크라이나가... "
"2","FBI “북한, 4천만 달러 상당 암호화폐 현금화 시도 가능성”","  날 에스토니아 암호화폐 기업 코인스페이드에서도 3천 700만 달러 상당의 암호화폐를 탈취했습니다.또한 같은 달 2일에도 역시 에스토니아 암호화폐 지갑 서비스인 아토믹 월렛에서 1억... "
"3","[세상만사] 인구 134만 강소국 에스토니아 단상","  핀란드 헬싱키에서 대형 페리(여객선)를 타고 2시간이면 닿는 에스토니아에 관한 단상이다. 헬싱키에서 2주간 생활하던 지난 주말, 왕복 26유로(약 3만8000원)의 뱃삯을 내고 발트 3국 최북단에 있는 에스토니아 수도... "
"4","에스토니아, 1.8조 규모 탄약 구매…한화 'K9 자주포' 도입 속도","  2024년부터 2027년까지 국방 예산의 20% 이상 탄약 투자 2025년까지 에스토니아 작전 중거리 대공 방어 능력 강화 올 초 한화 'K9 자주포' 12문 추가 도입…2026년 인도 [더구루=길소연 기자] 에스토니아 정부가 국방... "
"5","새 숙소 도착, 짐찾는 에스토니아 스카우트 대원들","  2023 새만금 세계 스카우트 잼버리에서 조기퇴영한 에스토니아 스카우트 대원들이 8일 오후 인천시 연수구 송도국제도시 연세대 국제캠퍼스 기숙사에 도착해 짐을 찾고 있다. 2023.8.8 "
"6","인천 새숙소 도착한 에스토니아 스카우트 대원들","  2023 새만금 세계 스카우트 잼버리에서 조기퇴영한 에스토니아 스카우트 대원들이 8일 오후 인천시 연수구 송도국제도시 연세대 국제캠퍼스 기숙사에 도착해 숙소로 이동하고 있다. 2023.8.8 "
"7","“北 라자루스, 에스토니아 가상자산 기업 해킹해 470억원 탈취”","  북한으로 추정되는 해킹 조직 라자루스가 에스토니아의 가상자산 기업을 해킹해 수백억원 규모의 가상자산이 도난당한 것으로 밝혀졌다. 30일 미국의소리(VOA)에 따르면 에스토니아의 가상자산 기업... "
"8","대구오페라하우스 '심청' '나비부인' 에스토니아·루마니아 국립극장 선다","  올해로 개관 20주년을 맞이하는 대구오페라하우스의 제작공연이 에스토니아와 루마니아 국립극장 무대에 선다. 대구오페라하우스은 지난달 24일 에스토니아 문화부 장관(하이디 푸르가)과 에스토니아 국립극장 대표... "
"9","한국액셀러레이터협, ‘크로스보더 에코시스템 빌더스 포럼’ 개최","  창업생태계가 잘 갖춰져 있으나, 우리나라에서는 많이 알려지지 않은 곳을 소개하는 첫 세션의 초청국으로 ‘스텐슈베데(Sten Schwede)’ 에스토니아 대사를 초청하여 에스토니아의 창업생태계 특징과 산업환경... "
"10","'화엄사 홍보대사' 마리엘 ""화엄사의 매력, 전세계에 알려야죠""","  하지만 수많은 여행지 가운데 '에스토니아'라는 나라는 여전히 낯설고 생소하다. 구 소련의 해체로 1991년 독립한 에스토니아는 '유럽의 숨은 보석'이라고 불리는 '발트 3국' 중 최북단에 위치했다. 즉, 남쪽으로는... "
