"","title","contents"
"1","영국으로 탈출하는 홍콩 주민들…2년간 12만명","  지난 2년 반 동안 18만여 명의 홍콩인들이 영국 이주를 신청한 것으로 나타났다. 영국이 홍콩국가보안법 시행에 반발해 홍콩 주민에게 이민 문호를 넓힌 데 따른 것이다. 25일 홍콩 사우스차이나모닝포스트(SCMP)... "
"2","'데뷔 40주년' 정지영 감독 회고전 10월 영국서 열린다","  런던아시아영화제 행사…'하얀전쟁' 등 대표작 8편 상영 아시아 영화를 영국에 소개하는 런던아시아영화제에서 정지영 감독의 영화 세계를 조명하는 회고전이 열린다. 25일 영화계에 따르면 오는 10월 18∼29일 영국... "
"3","美, 영국·프랑스·독일·이탈리아와 국가안보 퀸트 회의…""우크라 지지 확인...","  미국이 영국·프랑스·독일·이탈리아와 국가안보보좌관급 5자 회의를 진행하고 우크라이나에 대한 지지를 재확인했다. 백악관은 24일(현지시간) 성명을 내고 제이크 설리번 국가안보보좌관이 '퀸트(Quint)' 국가인 영국... "
"4","“불임 여성도 임신 가능”…영국서도 30대 여성 자궁이식 수술 성공했다","  30대 여성, 시험관 시술 예정 스웨덴, 미국 등에 이어 영국에서도 첫 자궁 이식 수술이 성공적으로 이뤄졌다. 23일(현지시간) 영국의 자궁 이식 관련 지원 단체인 ‘영국 자궁 이식’은 올해 2월 34세 여성이 40세 언니의... "
"5","영국박물관서 사라진 유물 1500여점…온라인서 헐값에 팔렸다","  영국박물관(The British Museum)에서 1500여점 이상의 유물이 도난당하거나 손상된 것으로 알려졌다. 이 가운데 사라진 일부 유물들은 온라인에서 헐값에 거래된 것으로 파악됐다. 21일(현지시각) 영국 텔레그래프는 한 명이... "
"6","영국박물관 도난품 1500점 넘어···2년 전 이미 경고","  영국박물 소장품 1500점 이상이 도난당하거나 손상된 것으로 전해졌다. 2년 전에 이미 도난에 대한 경고가 나왔지만 박물관 측이 이를 무시한 것으로 알려졌다. 텔레그래프는 지난 21일(현지시간) 영국박물관에서... "
"7","영국 국립극장 화제작 '헛소동' 대전예술의 전당 NT Live로 상영","  영국 국립극장(National Theater) 연극 화제작 '헛소동' 스틸컷. 대전시 제공. 영국 국립극장(National Theater) 연극 화제작 '헛소동' 스틸컷. 대전시 제공. 영국 국립극장(National Theater) 연극 화제작 '헛소동' 스틸컷.... "
"8","[이 시각 세계] 영국 런던 동물원 '신체검사 하는 날'","  영국 런던 동물원인데요. 올해도 어김없이 동물들의 신체검사가 열렸습니다. 사육사들은 1만 9천 마리 이상 동물들의 키와 몸무게를 재며 건강 상태를 확인했습니다. 이 시각 세계였습니다. "
"9","""0시축제 세계화""…이장우 대전시장 6박8일 영국·스웨덴 방문","  이장우 대전시장이 25일부터 9월 1일까지 6박8일 일정으로 영국과 스웨덴을 방문한다. 이 시장은 26~27일 이틀간 세계적인 문화예술 축제인 영국 에든버러 축제를 관람하며 ‘대전 0시축제’를 세계적인 축제로 만들기... "
"10","""옷 좀 입어주세요""…영국 해바라기 밭에 '나체금지' 경고문 붙은 이유는?","  최근 영국의 한 해바라기 밭에 '나체로 돌아다니지 말라'는 경고문이 붙어 화제입니다. 지난 22일(현지시간) 영국 언론 '더 선', 뉴욕타임즈 등에 따르면 최근 영국 남쪽 해안 헤일링 섬에 있는 스토크 과일 농장 주인들은... "
