"","title","contents"
"1","오스트리아 티롤 빙하 빠르게 녹아 22년 전 사라진 남성 주검이…","  오스트리아 티롤 지방의 빙하가 빠르게 녹으면서 22년 전에 숨진 것으로 보이는 남성의 시신이 드러났다고... 주인이 오스트리아인이며 37세 때 목숨을 잃은 것으로 보인다고 밝혔다. 아직 유전자 검사 중인데 이렇게... "
"2","오스트리아 최고봉 그로스글로크너","  오스트리아 최고봉 그로스글로크너(3798m)와 해발 2369m의 파스테르체 빙하가 녹고 있는 모습 2023.06.26/뉴스1 ⓒ AFP=뉴스1 "
"3","알프스 빙하 녹자 수십년 된 시신 속속 발견…""빙하 계속 줄어들 것""","  EPA 연합뉴스 제공 오스트리아의 한 빙하에서 현지 등반 안내원이 약 20년전 사망한 것으로 추정되는 남성 시신을 발견했다고 23일(현지시간) CNN이 보도했다. 보도에 따르면 현지 경찰은 지난 18일 오스트리아... "
"4","지멘스 모빌리티, 오스트리아 연방철도와 4억3500만 달러 규모 계약","  지멘스 모빌리티는 22일(현지시간) 오스트리아 연방 철도와 디지털 열차 인프라 확장을 위한 4억 3,580만 달러... 시스템이 오스트리아의 고급 철도 네트워크 전반으로 확대될 것이라고 말했다. 지멘스는 이 기술이 최적의... "
"5","오스트리아서 전직 총리 재판에…의회조사 때 위증 혐의","  전 오스트리아 총리가 재임 시절 의회 조사 과정에서 거짓 진술을 한 혐의로 재판에 넘겨졌다. 쿠르츠 전 총리는 18일(현지시간) 자신의 소셜미디어 엑스(X·옛 트위터)를 통해 오스트리아 검찰청으로부터 이날 기소된... "
"6","[복거일의 이승만 오디세이] 공산주의자들이 임시정부 흔들 때마다… 외교로 ...","  [ ‘운명의 동반자’ 프란체스카] “난 한국 사람이에요… 오스트리아에서 우연히 태어났을 뿐” 1933년의 제네바는 독립운동가 이승만에겐 운명적 시공이었다. 개인적으로도 그러했으니, 거기서 그는 오스트리아 여인... "
"7","[WIKI 프리즘] 오스트리아 기자 클럽, 독일 NGO 단체들과 '어산지 석방' 탄원","  독일 내 국제기관 및 NGO 단체들이 펼쳐온 위키리크스 설립자 줄리안 어산지의 즉각적인 석방을 촉구하는 캠페인에 오스트리아 기자 클럽(The Austrian Journalists Club, ÖÖJC)이 합류했다. 22일(현지시간) 오스트리아... "
"8","[모토GP] '누가 나를 이기랴' 바냐이아, 오스트리아 그랑프리 우승…올 시즌 ...","  바냐이아는 20일(이하 한국시간) 오스트리아 스필버스 레드불 링 서킷에서 열린 2023 모토GP 10라운드 오스트리아 그랑프리 본선 레이스에서 42분23초315로 1위를 차지했다. 브래드 빈더(28, 남아공, KTM)는 2위에... "
"9","감각, 신체, 경험의 의미를 새로운 예술 개념으로, 오스트리아 전위예술가 헤...","  K&L미술관(관장 김진형)은 9월 5일부터 12월 30일까지 개관전으로 오스트리아의 전위예술가 헤르만 니치... 이끈 오스트리아의 대표 현대 예술가이다. 회화, 드로잉, 판화 뿐 아니라 퍼포먼스, 작곡, 무대 디자인에... "
"10","네함머 오스트리아 총리와 악수하는 숄츠 獨 총리","  올라프 숄츠 독일 총리가 17일(현지시간) 잘츠부르크를 방문해 카를 네함머 오스트리아 총리와 기자회견 중 악수를 하고 있다. 2023.8.18 ⓒ AFP=뉴스1 "
"11","2023년 오스트리아 신재생에너지 산업 정보","  오스트리아 에너지 산업은 국가가 가진 지정학적 이점을 극대화하며 그 기술력을 국제적인... 오스트리아 에너지 소비 현황 지난해 환경부에서 발표한 자료에 의하면 2021년 기준, 오스트리아 전체... "
"12","붉은 띠 왜 두르고 있는데…오스트리아 와인인 줄 알았잖아 [ESC]","  나는 요즘 오스트리아 와인에 꽂혀 있다. 적당한 가격에 전혀 적당하지 않은 바디감과 향기. 오스트리아 와인은 거의 실패가 없었다. 그래서 가격이 괜찮은 오스트리아 와인은 눈에 띄면 무조건 사는 편이다. 그런데... "
"13","감각, 신체, 경험의 의미를 새로운 예술 개념으로, 오스트리아 전위예술가 헤...","  K&L미술관(관장 김진형)은 9월 5일부터 12월 30일까지 개관전으로 오스트리아의 전위예술가 헤르만 니치... 이끈 오스트리아의 대표 현대 예술가이다. 회화, 드로잉, 판화 뿐 아니라 퍼포먼스, 작곡, 무대 디자인에... "
