"","title","contents"
"1","우크라이나 독립기념일에 러시아 공습…미국 “변함없이 지원”","  전쟁 후 두 번째로 맞는 독립기념일에도 우크라이나 곳곳에선 러시아 포격으로 인해 민간인 피해가 이어졌습니다. 미국은 우크라이나가 러시아로부터 자유를 되찾을 때까지 굳건히 지원을 이어가겠다는 의사를... "
"2","노르웨이도 우크라이나에 F-16 전투기 제공 동참","  우크라이나 대통령 공보실이 제공한 사진에 볼로디미르 젤렌스키(오른쪽) 우크라이나 대통령이 24일(현지시각) 키이우를 방문한 요나스 가르 스퇴레 노르웨이 총리와 회담하고 있다. 노르웨이는 덴마크와 네덜란드에... "
"3","수자원공사, 우크라이나 재건 참여 분야 넓힌다","  한국수자원공사(K-water, 사장 윤석대)가 '우크라이나 우만 스마트도시 마스터플랜 수립사업' 시행자로 최종... 수자원공사는 ㈜제일엔지니어링 등과 컨소시엄을 구성해 입찰에 참여했으며 우크라이나 거점도시와 연계할... "
"4","우크라이나군 ""크름반도 상륙 특수작전 수행""...젤렌스키 ""모든 수단 동원해 ...","  우크라이나군이 크름반도(크림반도)에 상륙하는 특수작전을 수행해 목표를 달성했다고 24일 우크라이나 해군과 군 정보당국이 밝혔습니다.크름반도는 우크라이나 영토지만, 지난 2014년 러시아가 불법 병합한 곳입니다.... "
"5","美·佛·獨·伊·英 '퀸트' 안보실장, 우크라이나 지지 재확인","  (국가안보보좌관)들이 우크라이나 독립기념일인 24일(현지시간) 미국 백악관에서 회담했다. 제이크 설리번 국가안보보좌관이 소집한 이날 회의에서 참가자들은 우크라이나가 러시아의 공격을 방어하도록 필요할 때까지... "
"6","우크라이나 ""러시아 점령 크름반도 상륙""","  우크라이나가 지난해 러시아와의 전쟁 시작 이후 2번째로 맞는 독립기념일(25일)을 하루 앞두고 우크라이나군이 러시아가 점령하고 있는 크름반도에 상륙했다고 주장했다고 BBC가 24일(현지시각) 보도했다. 안드리 유소프... "
"7","독립기념일 맞은 우크라이나…美 “계속 지원할 것”","  미국은 우크라이나의 독립기념일인 24일(현지시간) 우크라이나를 끝까지 지원하겠다고 밝혔다. 볼로디미르 젤렌스키 우크라이나 대통령이 24일(현지시간) 수도 키이우에서 열리는 우크라이나 독립기념일 행사에 참석해... "
"8","[뉴스의 창] 프리고진 사망…공세 수위 높이는 우크라이나","  우크라이나 전쟁이 점입가경이다. 러시아의 공세가 주춤하고 전선이 정체되고 있지만, 우크라이나 측은 과거 러시아에 빼앗긴 크름반도를 수복하겠다는 강력한 의지를 꺾지 않고 있다. 우크라이나는 러시아 모스크바까지... "
"9","""전쟁 중에 만든 '스토커 2', 우크라이나 게임 업계의 자존심""","  우크라 게임사 'GSC 게임 월드' 개발 팀장 인터뷰 ""스토커 시리즈, 반전 주제 강조한 하나의 '메시지'"" ""'스토커 2'는 단순한 게임이 아니라, 러시아의 침략에 맞서는 우크라이나 게임 업계의 자존심입니다"" 우크라이나... "
"10","우크라이나 소녀, 러시아 전차 포신에 앉아 '찰칵'","  우크라이나 독립기념일인 24일(현지시각) 키이우에서 한 소녀가 파괴된 채 전시된 러시아군 전차 포신에 앉아 기념 촬영을 하고 있다. 우크라이나는 1991년 구소련으로부터 독립했다. 2023.08.25. 공감언론 뉴시스가 독자... "
"11","바이든, 우크라이나 독립기념일 맞아 “끝까지 함께하겠다”","  미국이 우크라이나의 독립기념일인 24일(현지시간) 우크라이나가 러시아의 공격을 물리치고 자유를 되찾을 때까지 끝까지 지원하겠다고 밝혔습니다. 조 바이든 미국 대통령은 이날 성명에서 ""우크라이나의 독립에 대한... "
"12","전쟁후 2번째 독립기념일 맞은 우크라이나…러 공습으로 최소 13명 부상","  우크라이나가 24일(현지시각) 러시아 침공 후 2번째 독립기념일을 맞은 가운데 러시아가 중부와 남부 지역에 공습을 가해 최소 13명이 다쳤다고 로이터 통신이 보도했습니다. 우크라이나 중부 드니프로 주의 세르히 리삭... "
"13","푸틴 ""서방이 일으킨 우크라이나 전쟁, 우리가 끝내려는 것""","  블라디미르 푸틴 러시아 대통령이 우크라이나 전쟁을 일으킨 것은 서방이며, 러시아는 평화로운 사태 해결을... 러시아의 우크라이나 침공에 대해 ""서방과 서방의 지원을 받은 우크라이나 정권이 (우크라이나 동부) 돈바스... "
"14","[뉴스의 창] 프리고진 사망…공세 수위 높이는 우크라이나","  우크라이나 전쟁이 점입가경이다. 러시아의 공세가 주춤하고 전선이 정체되고 있지만, 우크라이나 측은 과거 러시아에 빼앗긴 크름반도를 수복하겠다는 강력한 의지를 꺾지 않고 있다. 우크라이나는 러시아 모스크바까지... "
"15","미국, 10월 애리조나서 우크라이나 조종사 F-16 비행훈련 시작","  미국이 오는 10월부터 미국 본토에서 우크라이나 조종사들에게 F-16 전투기 비행훈련을 실시하기로 했습니다. 패트릭 라이더 미국 국방부 대변인은 24일(현지시간) 브리핑을 통해 ""미국은 우크라이나의 장기 방어 능력을... "
"16","우크라이나 파일럿 8명, 덴마크서 F-16 조종훈련 시작","  덴마크군은 22일(현지시간) 보유 F-16 전투기를 제공하는 우크라이나의 공군 파일럿 8명에 대해 조종훈련을 개시했다고 발표했다. AFP 통신과 CNN 등에 따르면 덴마크군 당국은 이날 우크라이나에 F-16 전투기를... "
"17","우크라이나 반격 고전하는 이유?… “무기가 아니라 전략 탓이야”","  러시아에 대한 반격에 나선 우크라이나가 고전을 면치 못하면서 무기 등 지원 부족이 아닌 우크라이나의 잘못된 병력 배치가 문제라는 비판이 서방 국가들 사이에서 제기되고 있다고 미국 뉴욕타임스(NYT)가 22일... "
