"","title","contents"
"1","美, 영국·프랑스·독일·이탈리아와 국가안보 퀸트 회의…""우크라 지지 확인...","  이탈리아와 국가안보보좌관급 5자 회의를 진행하고 우크라이나에 대한 지지를 재확인했다. 백악관은 24일(현지시간) 성명을 내고 제이크 설리번 국가안보보좌관이 '퀸트(Quint)' 국가인 영국·프랑스·독일·이탈리아... "
"2","이탈리아 북부서 급류 휩쓸린 반려견 구하려다 여성 2명 숨져","  이탈리아 북부에서 급류에 빠진 반려견을 구하려다 여성 2명이 숨지는 사고가 발생했습니다. 24일(현지시간)... 이탈리아 산악구조대는 협곡 구조 전문대원 5명과 헬리콥터 1대를 현장에 투입해 수색 작업을 벌였습니다.... "
"3","초콜릿 뒤덮인 비키니 차림 여성 전시한 이탈리아 리조트…결국 사과","  이탈리아 한 리조트에서 온몸이 초콜릿으로 뒤덮인 비키니 차림의 여성을 뷔페 테이블 위에 웅크린 자세로... 휴가차 이탈리아 사르데냐섬 북쪽 4성급 리조트인 보이 콜론나빌라제를 찾았습니다. 그런데 14살 딸과 함께... "
"4","[이 시각 세계] 이탈리아 피렌체 바사리 회랑 훼손","  이탈리아 피렌체의 우피치 미술관과 피티 궁전을 연결하는 바사리 회랑이 훼손됐습니다. 약 1킬로미터 길을 따라 르네상스 시대 미술작품 수백 점이 전시돼 있는데요. 누군가 한밤중에 바사리 회랑 기둥에 검은색... "
"5","“정말 역겹다”…이탈리아 뷔페에 ‘초콜릿 범벅’ 여성","  이탈리아 한 리조트에서 비키니 차림 여성의 몸을 초콜릿으로 뒤덮은 채 뷔페 테이블에 올려둔 사실이 알려져 공분을 사고 있다. 최근 이탈리아 일간지 안사(ANSA) 통신과 지역 매체들은 이탈리아 사르데냐섬 북쪽의 4성급... "
"6","‘10년 만에 여는 하이킹코스’ 매년 300만 방문 이탈리아 친퀘테레","  하트 자물쇠 가득한 이탈리아 해안마을 ‘연인의 길’ 300억 넘는 대규모 복원 공사 후 10년 만에 재개방 이탈리아의 유명 하이킹 코스가 대규모 복원 프로젝트 끝에 재개방한다. 타임아웃은 이탈리아... "
"7","이탈리아, 대체연료차 중 LPG가 52% 차지","  이탈리아에서는 LPG차가 대체연료 자동차로 인기를 끌고 있다. 이탈리아자동차협회(ACI)는 지난해까지 친환경 대체연료차(Alternative Fuel Vehicle)가 559만대 등록되었으며 이 중 절반 이상이 LPG차라고 최근... "
"8","이탈리아 피렌체 건축물에 ‘낙서 테러’한 독일 관광객 덜미 [잇슈 SNS]","  이탈리아 피렌체인데요. 최근 이곳을 상징하는 건축물에 낙서 테러를 한 관광객 무리가 범행 이틀 만에... 이탈리아 피렌체의 바사리 회랑인데요. 원래부터 이런 모습은 아니었고요. 지난 22일 밤 누군가가 검은색... "
"9","샌드위치 자르는 비용만 3000원…이탈리아 바가지 요금 쇼크","  이탈리아 관광지 코모 호수에서는 햄 샌드위치를 반으로 자르는 비용으로 2유로(약 2900원)을 청구했다.... 지난 19일 CNN이 이탈리아 관광지에서 관광객들을 상대로 한 이례적인 바가지 상혼에 대해 밝힌 사례다.... "
"10","인천대, 이탈리아 잼버리 대원 특별한 추억… 생활원·국제교류·식당 한마음...","  대학에 배정된 500명 넘는 이탈리아 대원들에 최대한 불편함이 없도록 학내 구성원 모두 한마음 한뜻으로 뭉쳤기에 가능했다고 전해진다. 24일 인천대에 따르면 이탈리아 대원들이 지난 8일 오후부터 입소를 시작하자 가장... "
"11","이탈리아→사우디 갔을 뿐인데... 연봉 42억→429억 10배 뻥튀기","  前 이탈리아 대표팀 감독인 로베르토 만치니가 사우디아라비아 국가대표팀에 합류한다. 독일 매체... 맨시티와 이탈리아 감독을 한 만치니는 수비와 중원을 탄탄하게 만드는 감독이다. 선수를 뽑는 안목이 탄탄하며... "
"12","“수십 년째 카라바조 열풍… 이탈리아 미술관 최애 작가죠”","  “카라바조는 이탈리아 사람들이 가장 사랑하는 화가가 아닌가 싶어요. 카라바조 그림을 한 점이라도... 지나도록 이탈리아에서는 카라바조 열풍이 사그라들 줄 모르고, 오히려 점점 더 거세지는 것 같다”며 이렇게... "
"13","이탈리아, 올여름 세 번째 폭염","  22일(현지시각) 이탈리아 로마의 트레비 분수 인근 수도에서 시민과 관광객들이 물을 받고 있다. 사상 최고에 달하는 무더운 2년을 겪은 이탈리아는 올여름 세 번째 폭염을 맞고 있다. 2023.08.23. 공감언론 뉴시스가 독자... "
