"","title","contents"
"1","한수원, 체코 산·학·연과 연구 협력 강화","  한국수력원자력이 체코 원전 부품 설계 및 제작 전문기업인 UJP 등과 21일부터 24일까지 대전 한수원 중앙연구원 등에서 ‘제2차 한-체코 에너지국제공동연구 기술교류회’를 개최했다. 기술교류회는 한국과 체코 양국... "
"2","한수원, 체코 산·학·연과 연구 협력 박차","  한수원과 체코 원자력 전문가 그룹이 21~24일 기술교류회를 가졌다/ 한수원 제공 한국수력원자력이 체코 원전 부품 설계 및 제작 전문기업인 UJP社 등과 21일부터 24일까지 대전 한수원 중앙연구원 등에서 '제2차 한... "
"3","한수원, 체코 산·학·연과 연구 협력 박차","  등에서 체코 원전 부품 설계 및 제작 전문기업인 UJP社등과‘제2차 한-체코 에너지국제공동연구 기술교류회’개최했다고 24일 밝혔다. 이번 기술교류회는 한국과... "
"4","'세계적 명문' 맨유 떠나 체코 2부로 이적...""그래도 후회는 없다""","  맨체스터 유나이티드를 떠나 체코 2부리그에서 커리어를 이어간 온드레이 마스트니. 그럼에도 그는... 체코 출신으로 어릴 적 체코 2부 리그인 지흐라바에서 성장한 그는 16세였던 2018년 7월, 능력을 인정받아 올드... "
"5","현대차, 체코공장 2세대 코나EV 年 5만대 생산","  24일 현대차 체코생산법인(Hyundai Motor Manufacturing Czech·HMMC)에 따르면 현대차는 연말까지 체코 노쇼비체(Nošovice) 공장에서 2세대 코나EV 2만1000대를 생산할 계획이다. 이는 이곳 공장 전체 생산량의 15% 수준이다.... "
"6","토요타, 체코공장 생산중단…""화재로 인한 부품부족""","  글로벌 완성차 업체인 토요타의 체코공장이 생산을 중단했다. 로이터통신은 22일(현지시간) 토요타 체코공장이 현지 공급업체에서 발생한 화재로 인해 생산을 중단했다고 보도했다. 공장 생산 중단을 밝힌 토요타... "
"7","[포토] 체코대사, 노원구에 감사패 전달","  오승록(오른쪽) 노원구청장이 21일 노원구청장실에서 체코 잼버리 대원들에 대한 지원으로 구스타프 슬라메츠카 주한 체코 대사로부터 감사패를 전달받고 기념촬영을 하고 있다. 이번 감사패는 지난 8일부터 전북... "
"8","경주시, 한수원 체코 원전 수출 ‘힘 보탠다’","  경북 경주시가 한국수력원자력의 체코 원전 수출 지원에 나섰다. 경주시에 따르면 시는 18일(현지시간) 체코 트레비치시와 우호도시 협정을 체결했다. 트레비치시는 체코 신규 원전인 두코바니 원전이 들어서는 곳이다.... "
"9","[여행소식] 체코관광청 ""2028년 유럽 문화 수도는 체스케부데요비체""","  체코관광청은 체코의 체스케부데요비체가 '2028년 유럽 문화 수도'로 선정됐다고 21일 밝혔다. 1985년부터 시작된 '유럽 문화 수도' 선정은 유럽연합(EU)이 시행하는 문화 프로그램으로, 체스케부데요비체는 올해 말까지... "
"10","[에너지 뉴스] 남부발전, 취약계층 아동에 에너지 절약 물품 전달外","  ◆한수원, 체코 산학연과 원자력 공동연구 기술 교류회 한국수력원자력은 원전 부품 전문 기업인 UJP사 등 체코 원전 분야 산·학·연 관계자들을 초청한 가운데 지난 21∼24일 대전 한수원 중앙연구원 등지에서 '제2차 한... "
