"","title","contents"
"1","젤렌스키, 그리스 방문…EU-발칸 비공식 회의 참석","  북마케도니아, 코소보, 불가리아, 크로아티아, 루마니아, 보스니아헤르체고비나 등 발칸반도 9개국 지도자들이 만찬에 참석한다고 전했다. 이중 세르비아, 몬테네그로, 북마케도니아, 코소보, 보스니아헤르체고비나 등... "
"2","젤렌스키, 아테네서 발칸반도 정상들과 만나…세르비아 포함","  부치치가 지칭한 '어떤 곳'은 세르비아의 남서단에 속해있다가 1990년대 후반부터 10년 동안 무력충돌 전쟁을 불사하며 분리독립을 선언한 코소보다. 미국은 코소보 독립에 기여한 바 크며 2008년 독립 선언한 코소보를 EU... "
"3","[김여수의 월드뮤직 세계사] 유럽의 화약고, 코소보 분쟁 속의 집시들","  ‘코소보는 세르비아의 심장! 폭력을 멈춰주세요’ 테니스 세계 랭킹 2위의 수퍼스타, 노박 조코비치의 지난 5월의 발언에 발칸반도가 들썩였다. 코소보는 즉각 국제올림픽위원회(IOC)에 조코비치의 징계를 요구했다.... "
"4","[매경의 창] 우리도 알아야 할 우리의 자랑거리","  말리의 수자원 시설 개선 코소보에 깔린 인터넷망 가능케 한 '녹색성장' 기금 특정 정부 연상된다고 외면... 한국 정부는 또한 9년 전 유럽의 빈곤 국가 코소보 외딴 마을에 브로드밴드 설치를 지원해줬는데 이 지원이 씨가... "
"5","[김화진칼럼]예루살렘의 사다리","  2020년에는 도널드 트럼프 주선으로 코소보와 세르비아의 워싱턴협정이 체결되었다. 주로 경제개발에 관한... 현재 미국, 과테말라, 온두라스, 코소보만 예루살렘에 대사관을 두고 있다. 이스라엘은 6일 전쟁으로... "
"6","[굿모닝월드]삭막한 도시에 영혼을! 코소보 그래피티 프로젝트","  콘크리트의 도시로 알려진 코소보 프리슈티나. 끝없이 이어진 벽 위로 사람들이 알록달록한 작품을 그려... 굿모닝월드였습니다! #MBN #코소보 #프리슈티나 #그래피티 #벽화 #굿모닝월드 #유한솔아나운서 "
"7","[한국인 이만희 평화실화 FOCUS│HWPL의 순간들48-국제법 제정을 위한 강연 및...","  이만희 대표, 코소보 대법관 13명 HWPL 평화 자문위원 위촉 미얀마 법조계, DPCW 필요성 공감… 인니... 제22차 세계 평화 순방 중인 2015년 12월 10일, 코소보 프리슈티나 대법원에서는 코소보 대법관 회의가 열렸다.... "
"8","우크라이나, 열화우라늄탄 사용 '유럽인 건강 위협' 경고","  1999년 코소보 전쟁을 거쳐 슬로베니아, 보스니아 헤르체고비나, 세르비아 몬테네그로, 크로아티아, 북마케도니아, 2006년 6월 세르비아와 몬테네그로, 2008년 코소보가 세르비아에서 분리되면서야 끝을 맺었다. 1999년 유고... "
"9","트럼프가 '미치광이'라 반발한 스미스 특검…""조용히 강한 수사""","  대선불복 배후 지목하며 ""미 민주주의에 대한 공격"" 기밀유출엔 40개 혐의 적용 '강단'…ICC서 코소보 전범... 그곳에서 스미스 특검은 1990년대 코소보 분쟁 전쟁범죄 등을 파헤쳤다. 운동을 좋아하는 그는 2002년 이후... "
"10","'승자의 재판'이라 분개? '100인 목베기'도 화해로 넘겨야 할까[김재명의 전쟁...","  올브라이트는 '20세기 마지막 전쟁'이라 일컬어지는 발칸반도의 코소보전쟁이 막 끝나고 나토평화유지군이 코소보로 진주했던 1999년7월, 코소보 주도 프리스티나를 방문했다. 그곳에서 그녀는 '정의는 평화의 어버이... "
