"","title","contents"
"1","[오피셜] ‘김민재 전 소속팀’ 페네르바체, 맨유와 연결됐던 '크로아티아 월...","  2022 국제축구연맹(FIFA) 카타르 월드컵에서 크로아티아를 4강으로 이끌었던 골키퍼 도미니크 리바코비치가... 리바코비치는 현재 크로아티아를 대표하는 골키퍼다. 그는 2016/17시즌부터 크로아티아 명문팀 자그레브의... "
"2","'과거사 직면'으로 발칸반도 평화 일궈내는 사라예보 영화인들","  보스니아는 작은 영토 안에 무슬림, 크로아티아계 카톨릭교도, 정교를 믿는 세르비아계가 공존하는... 가차니차, 크로아티아의 테나 페리신 교수. ⓒ 클레어함 발칸반도의 주요 탐사보도기관 네트워크인 BIRN(Balkan... "
"3","크로아티아, 일요일 휴무제로 소매업계 위축 우려","  New Trade Act, 일요일 휴무제 크로아티아 정부가 2023년 7월 1일부로 시행한 새로운 법령(Trade Act), '일요일... 이 법령은 크로아티아에서 지난 30년 동안 두 차례(2004년, 2009년)에 걸쳐 도입하려 했었지만 매번... "
"4","흑해 막힌 우크라, 곡물수출 위해 크로아티아 항만 사용 추진","  우크라이나가 크로아티아 항만을 통한 곡물 수출을 추진한다. 드미트로 쿨레바 우크라이나 외무장관은 31일(현지시간) 고르단 그를리치-라드만 크로아티아 외무장관과 화상 회담한 뒤 곡물 수출을 위한 크로아티아 항만... "
"5","올림픽 최종예선 진출 5개국, 바하마·바레인·카메룬·크로아티아·폴란드","  FIBA(국제농구연맹)는 22일(한국시간) 바하마, 바레인, 카메룬, 크로아티아, 폴란드가 2023 FIBA 올림픽... 이스탄불에서 크로아티아는 개최국 튀르키예를 상대로 결승전에서 84-71로 승리했다. 다리오 사리치(골든스테이트)... "
"6","[오피셜] ‘그바르디올급 포텐’ 아약스, 크로아티아 국가대표 센터백 영입","  슈탈로는 그바르디올과 같은 크로아티아 출신이며 그바르디올과 국가대표에서 호흡을 맞추고 있다. 디나모 자그레브에서 유소년 생활을 하다 2020년에 1군으로 승격된 그는 2021/22 시즌에 기량을 만개했다. 2022/23... "
"7","‘GSW 최적화 빅맨’ 사리치, 3PM 4개·더블더블 달성[FIBA]","  다리오 사리치(29·크로아티아)가 조국을 2024년 파리 올림픽 출전에 더욱더 가깝게 만들었다. 사리치가 속한 크로아티아는 지난 21일 튀르키예 이스탄불에서 열린 올림픽 예선 토너먼트에서 튀르키예를 84-71, 13점 차로... "
"8","[영상] 그리스-크로아티아 축구팬 수백명 충돌…흉기 찔려 1명 숨져","  지난 7일(현지시간) 오후 그리스 아테네 외곽의 OPAP스타디움 인근에서 홈팀 AEK 아테네와 크로아티아의... 경찰은 이 사태에 연루된 98명을 체포했으며, 이 가운데 84명이 크로아티아인이었다고 밝혔습니다. 이... "
"9","왜 파바르가 안 나가고 네가 나가? 뮌헨 ‘크로아티아산 슈퍼서브’ 임대 보낸...","  독일 매체 ‘키커’는 19일(한국 시각) ‘크로아티아인은 이미 레버쿠젠과 구두 합의에 이르렀다. 이에 따라 23세 수비수는 우선 레버쿠젠으로 임대될 것이다. 두 구단 간의 최종 세부 사항은 토요일(8월 19일)에 명확해질... "
"10","아시아 정상 오른 9인의 태극전사 이번에는 세계무대다…男 핸드볼 청소년 대...","  남자 핸드볼 청소년 대표팀이 30일 세계선수권대회 참가를 위해 크로아티아로 출국에 앞서 단체촬영하고... 열리는 크로아티아로 출국했다. 세계선수권은 32개국이 참가해 4개국씩 8조로 나뉘어 조별 예선을 치른다.... "
"11","'잼버리 유치 준비'한다며 해외여행한 공무원들?...""꿈만 같았다""","  뿌듯·뭉클하다""며 크로아티아 가이드 대동 관광지 ‘출장'을 간 사실도 드러났습니다. 부안군은 공무원 3명이 귀국한 2017년 7월 13일 여성 공무원 4명을 10박 12일 일정으로 크로아티아, 슬로베니아, 체코, 오스트리아... "
"12","‘GSW 합류’ 사리치, 올림픽 예선전서 13P-12A 폭발","  다리오 사리치(29·크로아티아)가 조국 크로아티아의 승리를 이끌었다. 크로아티아는 17일 오전(한국시간) 튀르키예 이스탄불에서 열린 FIBA 올림픽 유럽 예선에서 네덜란드를 89-81, 8점 차로 격파했다. 승리한... "
"13","[역사 속 오늘] 1995년 8월 4일 크로아티아 폭풍 작전","  사회주의 체제 끝낸 독립전쟁… 우크라에 곡물 수출 길 열어줘 1995년 8월 4일 크로아티아 정부군은 ‘폭풍... 당시 RSK가 지배하던 지역은 크로아티아 전체 영토의 20%에 달했다. 폭풍 작전은 크로아티아가 옛... "
"14","우크라 외무 ""곡물 수출 위해 크로아티아 항구 사용 가능성 합의""","  우크라이나가 곡물 수출을 위해 크로아티아 항구를 이용하는 가능성을 검토하기로 크로아티아와 합의했다고 밝혔다. 31일(현지시간) 우크라이나 매체 오데사 저널 등 외신에 따르면 드미트로 쿨레바 우크라이나 외무부... "
