"","title","contents"
"1","홍현석, 유로파 콘퍼런스리그 PO 1차전서 시즌 첫 골","  니코시아(키프로스)와 홈 경기에서 2-0으로 이겼다. 홍현석은 팀이 1-0으로 앞선 후반 추가 시간에 상대... 헨트는 9월 1일 키프로스 원정 경기에서 최소한 비기거나, 1골 차로 지더라도 이번 시즌 UECL 조별리그에... "
"2","키프로스 완충지대의 그리스-튀르키예 충돌, 1주일만에 진정","  키프로스의 튀르키예 지역과 그리스 지역의 완충지대 마을 부근에서 군사 충돌이 발생한지 1주일 만인 22일(현지시간) 사태가 진정되었지만 유엔 안보리의 이 사건 관련 발표들은 서로 엇갈리고 있다고 유엔 키프로스... "
"3","[김대호 박사의 오늘 기업·사람] 마오타이·비구이위안·헝다·안타·나이키...","  섬나라 키프로스 시민권 획득 - 키프로스, 외국인 200만 유로 투자 시 시민권 부여 ◇ 궈차오 저주 '안타·나이키·아디다스' 다음은 중국의 의류산업 얘기도 해보죠. 미국의 나이키나 독일의 아디다스, 국내에서도 인기... "
"4","조규성, PK 득점… UECL 플레이오프 진출","  오모니아(키프로스)와 홈 경기에서 전반 27분 조규성의 페널티킥 득점 등으로 5-1 대승을 거뒀다. 지난 11일... 니코시아(키프로스)와의 경기 전반 27분 PK 득점 후 환호하고 있다. AP뉴시스 미트윌란은 전반 24분 만에... "
"5","거침 없는 조규성, 이번엔 유럽클럽대항전 마수걸이 골","  오모니아(키프로스)에 5-1 대승을 거뒀다. 앞서 1차전을 0-1로 패한 미트윌란은 1,2차전 합계 5-2로 앞서... 공격 포인트는 없었다. 헨트는 아포엘(키프로스)과 플레이오프를 치러 본선행을 겨룬다. "
"6","조규성, 9경기 강행군에 ‘과부하’…25일 PO어쩌나","  니코시아(키프로스)와의 경기 전반 27분 PK 득점 후 환호하고 있다. 사진=AP/뉴시스 한 달에 9경기, 강행군에... 해당 사건은 지난 18일 덴마크 헤르닝의 MCH아레나에서 열린 오모니아(키프로스)와의 2023~2024시즌... "
"7","유로파 컨퍼런스리그에서도 ‘코리안 더비’ 꿈 영근다","  오모니아(키프로스)와 홈 경기에서 전반 27분 조규성의 페널티킥 득점 등을 앞세워 5-1로 완승했다. 지난... 헨트는 키프로스 클럽 아포엘과 플레이오프를 치를 예정이다. 한국 선수들이 다양한 유럽국 리그에... "
"8","바이낸스여, 트위터를 떠나라","  키프로스(사이프러스)마저 바이낸스에 라이선스를 내주지 않았다는 점을 고려하면, 선뜻 바이낸스와의 제휴에 나설 기업들을 찾기는 쉽지 않다. 내 말은, 유럽의 조세회피처이자 금융 불투명성의 중심지인 키프로스에... "
"9","키프로스, 인간 코로나 치료제 고양이에 사용 허가","  키프로스 수의사협회는 4일 키프로스에서 동물 수천 마리를 죽게 만든 고양이 바이러스의 지역 돌연변이와 싸우기 위해 인간 코로나19 치료제 재고분을 고양이에게 사용하는 것을 허용한 정부의 결정을 환영했다.... "
"10","조규성, UECL 3차 예선 오모니아전 무득점…""난 항상 골 넣으러 경기장 나온다...","  조규성은 11일 오전 2시(한국시간) 키프로스 니코시아에 위치한 GSP 스타디움에서 열린 2023-24시즌 UECL 3차... 분위기부터 다르고, 이는 선수로서 기대하는 것""이라며 ""사실 미트윌란에 오기 전까지 키프로스에 대해... "
"11","유럽도 기후재앙…곳곳 홍수·산불·폭우에 몸살","  키프로스·이탈리아·포르투갈 산불 9일 포르투갈에선 소방관 수백 명이 교외 산불과 씨름했다. 이 불길로... 키프로스도 산불로 몸살을 앓고 있다. EU는 소방 항공기를 지원했고, 대형 산불이 강타했던 그리스는 액체... "
"12","싱가포르, 자금세탁 외국인 10명 체포… 범죄 수익만 1조원 육박 [여기는 동남...","  터키, 키프로스, 니바누아투 등으로 알려졌다. 이들은 범죄 행위로 서로 연관되어 있으며, 싱가포르 현지인은 없는 것으로 밝혀졌다. 용의자 중 한 명인 40세의 키프로스 남성은 경찰이 문을 열라고 명령하자... "
"13","아내 목 졸라 살해한 영국 남성 키프로스에서 19개월 만에 석방","  지중해 키프로스에서 은퇴 후를 함께 보내던 부인이 중병에 걸려 제발 세상을 떠나게 도와달라고 하자 조력... 당분간 부녀는 키프로스에 머물며 아내이자 어머니의 묘를 찾아가 적절한 작별의 예를 갖출 것이라고 했다.... "
"14","[김대호 박사의 오늘 기업·사람] 비구이위안·청쿵·카카오·하이브·SM·테...","  섬나라 키프로스 시민권 획득 - 키프로스, 외국인 200만 유로 투자 시 시민권 부여 - 홍콩 갑부 리카싱, 아파트 폭탄 세일…불안감 탓? - 주룽반도 해변가 아파트 주변보다 30% 싸게 분양 - ""홍콩 부동산 거품 붕괴 신호탄... "
"15","열정페이 ‘0원’이 입금되었습니다","  “공짜 노동은 윤리적이지 않다” 지중해 섬나라 키프로스에서는 지난달 3일 무급 인턴십 금지를 요구하는... 키프로스 청년 위원회는 “우리의 입장은 모든 직무에 대해 유급 인턴십이 시행돼야 한다는 것”이라며 “EU... "
"16","러시아, 비우호국 대상 ‘이중과세방지협정’ 효력 일시중단","  아이슬란드, 키프로스, 대한민국, 라이베리아, 모리셔스, 몰타, 마셜제도, 나우루, 니우에, 팔라우, 파나마... 마케도니아, 키프로스, 스페인, 리투아니아, 아이슬란드, 포르투갈, 오스트리아, 그리스, 뉴질랜드, 호주... "
"17","조규성, UECL 3차 예선 오모니아전 무득점…""난 항상 골 넣으러 경기장 나온다...","  조규성은 11일 오전 2시(한국시간) 키프로스 니코시아에 위치한 GSP 스타디움에서 열린 2023-24시즌 UECL 3차... 분위기부터 다르고, 이는 선수로서 기대하는 것""이라며 ""사실 미트윌란에 오기 전까지 키프로스에 대해... "
"18","전세계 인구 25% '물부족' 직면...WRI ""2050년에 60%로 증가""","  특히 바레인, 키프로스, 쿠웨이트, 레바논, 오만 등 5개국이 물 스테리스가 가장 심각한 나라로 꼽혔다. 물... 한편 이번 보고서에서 지목된 물 스트레스가 가장 심한 25개 국가는 바레인, 키프로스, 쿠웨이트, 레바논... "
"19","‘완벽 적응’ 조규성, UECL 축포 도전 “매 경기 득점이 내 목표”","  (한국시간) 키프로스 구단인 오모니아 니코시아와 일전을 앞두고 있다. UECL 첫 득점을 노리는 조규성의... 이곳에 오기 전까지 키프로스라는 곳을 전혀 몰랐다. 덴마크 구단들과 다른 방식으로 경기하는 강한 팀이... "
"20","[베이직 묵상] 믿음의 유일한 선택","  21:3 키프로스 섬이 시야에 나타났을 때에, 우리는 그 섬을 왼쪽에 두고 시리아로 행선하여 두로에 닿았다.... 그는 키프로스 사람으로 오래 전에 제자가 된 사람이었다. [바울이 야고보를 방문하다] 21:17 우리가... "
"21","[스프] 러시아 대신에 그리스?…그리스는 새로운 신화를 쓸 것인가","  그리스 크레타 섬 서쪽과 지중해 동쪽에 있는 키프로스 섬 사이의 바다에서 추가로 대규모 천연가스... 그리스는 특히 이스라엘에서 시작해 키프로스를 거쳐 에게 해 해저구간을 지나 크레타 섬을 경유한 뒤 그리스를... "
"22","라이베리아 세계 1위 기국 탈환…30년만에 파나마 역전","  마셜제도공화국 몰타 바하마 시에라리온 키프로스 케이맨제도 레바논 지브롤터 몽고 등 50여곳이... 몰타 키프로스 싱가포르 등 신생 기국의 성장과 이스라엘과 국교를 맺은 라이베리아를 아랍권 국가들이... "
"23","""집에 가고 싶다""…찜통더위·열악한 잼버리 시설에 고통 호소","  키프로스에서 온 안드레아도 찜통더위에 허덕이고 있었다. 탈수를 막기 위해 물을 들이켜고 있지만, 좀처럼... 카누 타는 현장에서 만난 키프로스 스카우트 대원은 ""카누타기가 첫 번째 활동인데 재밌다""면서도 ""여기에... "
"24","튀르키예 탄약 및 미사일 시장 동향","  최대 수입국은 보스니아 헤르체고비나와 키프로스로 전체 수입의 80% 가까이 차지한다. 보스니아... 또한 북키프로스에는 튀르키예 국적의 탄약 제조회사가 있는데 해당 회사에서 생산한 제품이... "
"25","키프로스 당국 ""고양이 30만 마리 죽음 보도는 과장""","  19일(현지시각) 키프로스 수도 니코시아에서 고양이 한 마리가 도로를 건너고 있다. 키프로스 수의사협회장은 최근 키프로스에서 고양이전염성복막염(FIP)이 창궐해 고양이 30만 마리가 죽었다는 보도는 근거 없는... "
"26","다시 열린 크루즈 여행… “성지순례 벅찬 감동의 여정에 초대합니다”","  가나의 혼인 잔치 기념교회, 갈릴리 산상 팔복교회, 사도 바울이 복음을 처음 전파한 키프로스 리마솔 등 성경에 나오는 지역을 탐방하는 지중해 4개국(이스라엘 키프로스 그리스 튀르키예) 성지순례 크루즈... "
"27","'고양이 섬' 키프로스서 변종 코로나 확산...고양이 30만 마리 죽어","  섬나라 키프로스에 변종 코로나바이러스가 퍼지면서 고양이 30만 마리가 죽었습니다. 영국 일간지 텔레그래프와 AFP통신 등은 현지 의료계와 비영리단체에 따르면 올해 1월부터 키프로스에 코로나 바이러스 변종인... "
"28","키프로스에 유로존, 최대 카지노 리조트 오픈","  유로존 최대 규모의 카지노 리조트가 지중해 섬나라 키프로스에서 11일(이하 현지시간)부터 영업에 들어갔다. 12일 폭스뉴스에 따르면 키프로스 남부 항구도시 리마솔 외곽에 위치한 ‘꿈의 도시 지중해(City of Dreams... "
"29","[점심 브리핑] 바이비트, 키프로스서 라이선스 확보···유럽 시장 노린다","  (Bybit)가 키프로스에서 가상자산 거래소 운영과 커스터디 서비스 제공에 대한 라이선스 취득에 성공했다. 26일(현지 시간) 코인데스크에 따르면 두바이에 본사를 둔 바이빗은 키프로스 당국으로부터 가상자산... "
