"","title","contents"
"1","U-20 월드컵 4강 멤버 황인택, 포르투갈 1부리그 에스토릴 입단","  황인택이 포르투갈 1부 리그 에스토릴 프라이아와 계약했다. 황인택의 소속팀 K리그1 수원 삼성은 25일 ""황인택이 포르투갈 1부 리그 에스토릴 프라이아 구단으로 1년 임대를 떠난다""고 발표했다. 수원 유소년팀인... "
"2","[단독]또 유럽파 센터백 탄생 'U-20 4강 멤버' 황인택, 포르투갈 에스토릴 임...","  황인택이 포르투갈로 떠났다. 에스토릴 프라이아로 1년 간 임대 이적한다. 현장에서의 메디컬 테스트만... 황인택도 포르투갈 리그로 도전에 나섰다. 배준호(대전하나시티즌)도 스토크시티의 관심을 받는 것으로... "
"3","혼자 살 수 있는 작은 원룸이 200만원 육박…임대료 폭등에 몸살 앓는 유럽","  22일(현지시간) 부동산 서비스 기업 세빌스에 따르면 포르투갈 리스본의 6월 임대료는 2021년 12월 대비 43%나... 세빌스에 따르면, 2021년 12월 유럽의 평균 임대료를 100이라고 가정했을 시 올해 포르투갈 리스본의 임대료는... "
"4","포르투갈서 퍼커션과 플루트로 알리는 '제주'","  제주 퍼커셔니스트와 플루티스트들로 뭉친 앙상블 퍼플이 포르투갈에서 이색 퍼포먼스를 펼친다. 앙상블 퍼플(대표 김정태, 음악감독 오승명)이 포르투갈 아르가닐에서 열리는 제16회 루드윅 알버트 국제 마림바... "
"5","[오피셜] ‘호날두형 나도 왔어!’ 사우디 알 나스르, 포르투갈 국가대표 FW ...","  알 나스르는 22일(한국시간) 공식 홈페이지를 통해 포르투갈 윙어 오타비오 영입을 공식 발표했다. 계약... 포르투갈 국가대표 일원인 그는 2022 국제축구연맹(FIFA) 카타르 월드컵에도 발탁됐다. 포르투갈은 대한민국과... "
"6","맨유 중원, 브라질·포르투갈·잉글랜드 ACE 다 모아놨는데.. 무엇이 문제인가","  브라질, 포르투갈, 잉글랜드의 국가대표 에이스들을 다 모아놨는데 무엇이 문제인가? 맨체스터 유나이티드가... 페르난데스는 포르투갈, 카세미루는 브라질, 마운트는 잉글랜드의 주전 미드필더다. 하지만 2023~2024시즌... "
"7","가능한 포지션만 7개+철강왕...토트넘, '역대급' 멀티 플레이어 FW에 공식 제...","  포르투갈 언론 아볼라는 24일(한국시간) 토트넘이 FC포르투의 공격수 페페에게 공식 제안을 했다고 전했다.... 14일부터 시작된 포르투갈 리가 경기에선 공격형 미드필더와 왼쪽 미드필더로 각각 한 경기씩 소화했다.... "
"8","“김민재 이강인 前 現 동료도 있네” 유럽 매체 선정, ‘최고의 거상’ 벤피...","  4백 라인의 좌우 윙백은 같은 포르투갈 국적의 SSC 나폴리(이하 나폴리) 소속 윙백 마리오 루이와 맨시티... 소속의 포르투갈 국적을 가진 후뱅 디아스가 호흡을 맞췄다. 3명의 중원조합으로는 벤피카를 떠났다가 다시... "
"9","포르투갈 가톨릭스카우트 대원, 동두천서 한국문화 프로그램 체험","  포르투갈 가톨릭스카우트 대원 50명이 지난 16일 동두천시 자유수호평화박물관, 자연휴양림 등에서 한국문화 프로그램을 체험시간을 가졌다.이번 행사는 '2023 새만금 제25회 세계스카우트잼버리'에 참가한 포르투갈... "
"10","[오피셜] ‘한국 상대 득점’ 알제리 슬리마니, 유럽 떠나 브라질 입성","  8월 포르투갈 스포르팅 리스본에 입단하며 유럽에 입성했다. 슬리마니는 3시즌 동안 스포르팅에서 모든 대회 통틀어 123경기 61골 16도움을 기록했다. 특히 2015/16시즌 포르투갈 리그에서 33경기 27골로 리그 최다 득점... "
