"","title","contents"
"1","나토 동부전선 폴란드·리투아니아 프리고진 사망에 경계감","  폴란드 총리 ""푸틴 통제하의 바그너 더 위험"" 리투아니아 대통령 ""많은 것 달라지진 않아""…EU는 신중 입장... 동부전선의 폴란드와 리투아니아는 24일(현지시간) 바그너 수장 예브게니 프리고진의 사망에 대해 경계감을... "
"2","폴란드, 차세대 한국형 원전 도입 절차 개시","  폴란드 정부가 차세대 한국형 원전 도입을 위한 내부 절차에 돌입했다. 미국 원전기업 웨스팅하우스가... 23일(현지 시간) 에너지아 등 현지언론에 따르면 국영 폴란드전력공사(PGE)는 민영 발전사인 제팍(ZE PAK)과 함께... "
"3","위메이드, 폴란드 등 4개 개발사와 블록체인 게임 오보딩 계약","  위메이드(대표 장현국)는 폴란드, 벨라루스, 홍콩, 한국 개발사와 블록체인 게임 온보딩 계약을 체결했다. 각 개발사는 위믹스 플레이(WEMIX PLAY)에 게임 1종씩을 온보딩한다. 폴란드 개발사 티불의 ‘탱크 배틀 히어로즈... "
"4","한-폴란드, 산업당국 경제입법 등 협력 강화 방안 논의","  이창양 산업통상자원부 장관이 23일 발데마르 부다 폴란드 경제개발기술부 장관과 교역 및 유럽연합(EU)... 이창양 산업통상자원부 장관은 23일 서울 소공동 롯데호텔에서 발데마르 부다 폴란드 경제개발기술부 장관과... "
"5","폴란드 총리 ""바그너그룹은 이제 푸틴이 직접 관리한다""","  마테우시 모라비에츠키 폴란드 총리가 러시아 빈간용병기업 바그너그룹이 이제 블라디미르 푸틴 러시아 대통령 손아귀에 들어갔다고 경고했다고 24일(현지시간) TVP가 보도했다. 모라비에츠키 총리는 이날 수도... "
"6","폴란드, 차세대 한국형 원전 도입 절차 개시","  폴란드 정부가 차세대 한국형 원전 도입을 위한 내부 절차에 착수했습니다. 현지시간 23일 주폴란드대사관과 현지언론에 따르면 국영 폴란드전력공사는 민영 발전사와 함께 지난 16일 차세대 한국형 가압경수로 APR1400 2... "
"7","LG엔솔 폴란드법인, 거침없는 성장 '눈길'","  상반기 매출 7.8조…작년 매출 70% 반년만에 달성 LG에너지솔루션의 유럽 전진기지 역할을 하는 폴란드법... 22일 금융감독원 전자공시시스템에 따르면 LG에너지솔루션 폴란드법인은 올 상반기 7조8543억원의 매출을... "
"8","폴란드 경제개발기술부 장관 만난 이창양 장관","  = 이창양 산업통상자원부 장관이 23일 오후 서울 중구 소공동 롯데호텔에서 발데마르 부다 폴란드 경제개발기술부 장관과 면담하고 있다. (산업통상자원부 제공) 2023.8.23/뉴스1 "
"9","폴란드 대통령 ""러시아, 전술핵 벨라루스로 이전 중""","  안제이 두다 폴란드 대통령이 러시아가 벨라루스로 단거리 핵무기를 이전하고 있다고 주장했다고 22일(현지시간) AP가 보도했다. 두다 대통령은 이날 폴란드 수도 바르샤바를 국빈 방문한 마르셀루 헤벨루 드 소자... "
"10","폴란드, 내년 국방비 '역대 최대 규모'... 한국 무기 구입 확대 기대","  폴란드 총리실 24일 내년 국가 예산안 초안 채택 국방비로 50조5000억원 지출 계획 폴란드 군 현대화·새 부대 창설·무기 구매에 자금 사용 [더구루=길소연 기자] 폴란드가 내년 국방비 예산을 '역대 최대 규모'로... "
"11","기아, 수소 군용차 유럽 첫선...내달 폴란드 전시","  기아가 다음달 폴란드에서 열리는 국제방위산업전시회(MSPO)에 참가해 수소 동력 경전술차량을 선보일... <기자> 다음달 5일 폴란드에서 동유럽 최대 규모의 국제 방위산업전시회가 개최됩니다. 'K-방산'의 큰손으로 떠오른... "
"12","美 정부, 폴란드에 아파치 헬기 96대 판매 승인…16조원 규모","  ""폴란드의 위협 대처 능력 향상시킬 것""…우크라전 위기 와중 미국이 북대서양조양기구(NATO·나토) 동맹국 폴란드에 120억 달러(약 16조원) 규모의 아파치 공격용 헬기 판매를 승인했다고 AFP 통신이 21일 보도했다. 보도에... "
