"","title","contents"
"1","英 찰스 3세, 9월 프랑스 국빈 방문…연금 시위로 반년 늦춰져","  최윤정 특파원 = 영국 왕실은 24일(현지시간) 찰스 3세 국왕 부부가 다음 달 20∼22일 프랑스를 국빈 방문한다고 밝혔다. 왕실은 찰스 3세 국왕 부부가 프랑스 파리와 보르도 지역을 방문해서 양국 공동의 역사, 문화, 가치를... "
"2","美, 영국·프랑스·독일·이탈리아와 국가안보 퀸트 회의…""우크라 지지 확인...","  영국·프랑스·독일·이탈리아와 국가안보보좌관급 5자 회의를 진행하고 우크라이나에 대한 지지를 재확인했다. 백악관은 24일(현지시간) 성명을 내고 제이크 설리번 국가안보보좌관이 '퀸트(Quint)' 국가인 영국·프랑스... "
"3","프랑스 원전 수명 50년까지 첫 연장…친원전 행보","  유럽 최대 원전 강국으로 꼽히는 프랑스가 트리카스탱 원전의 원자로 1호기 수명을 기존 40년에서 50년까지 연장했다. 23일(현지시간) 프랑스 일간지 르몽드의 보도에 따르면 프랑스 원자력안전청(ASN) 지난 8월10일... "
"4","마약 조직원이 쏜 총에 10세 소년 사망…프랑스의 비극","  프랑스 남부 도시 님에서 10세 소년이 마약 조직원으로 추정되는 이들이 쏜 총에 맞아 사망하는 사건이... 한편, 님은 마약 밀매 조직간 세력 다툼으로 강력 사건이 끊이지 않는 프랑스 제2의 도시 마르세유에서... "
"5","80년대 미스 프랑스와 결혼한 ‘화성인 유리마’를 기억하시나요?[옛날잡지]","  미스 프랑스(유리마에게 금성 공주로 지목된) 브리지트 쇼케와 실제로 결혼에 성공하면서 허언 같은 이야기는 언론사마다 대서특필하는 화제의 뉴스로 변신합니다. 자칭 ‘화성인’ 유리마와 미스 프랑스 브리지트... "
"6","서울시립대 이용주 박사과정생 프랑스 정부장학프로그램 'France Excellence'...","  서울시립대는 전자전기컴퓨터공학과 김혁 교수의 지도를 받고 있는 이용주 박사과정생이 2023년 프랑스 정부 장학금 'France Excellence' 장학생으로 선발됐다고 24일 밝혔다. 본 장학금은 프랑스 정부장학금... "
"7","프랑스 침대 에페다, 소비자가 뽑은 '2023년 올해의 제품' 선정","  프랑스 프리미엄 매트리스 브랜드 에페다가 지난해에 이어 '2023년 소비자가 뽑은 올해의 제품'에 선정됐다. 프랑스에서 1987년 설립된 소비자가 뽑은 올해의 제품은 전 세계 45개국 이상에서 진행되고 있다. 전문가... "
"8","미국·EU·프랑스·멕시코까지… 韓 경제 위협하는 ‘자국 우선주의’ 쓰나미","  지난달 28일에는 프랑스 정부가 내년부터 적용될 전기차 보조금 개편안을 발표했다. 전기차 생산 과정의 탄소 배출량과 재활용 정도를 평가해 보조금 지급 기준에 반영한다는 내용이다. 프랑스와 멕시코 두 나라 모두... "
"9","블랙핑크 제니, 'K팝 아이돌 최초' 엘르 프랑스 커버 장식","  블랙핑크 제니가, KPOP 아티스트 최초로 '엘르 프랑스' (ELLE FRANCE) 표지를 장식했다. 최근 그룹 블랙핑크의 제니가 '엘르 프랑스' (ELLE FRANCE) 9월호 커버를 장식하며 글로벌 패션계에서의 위상을 확고히 자리매김했다.... "
"10","인터파크, 잉글랜드 프리미어리그·프랑스 리그앙 관람 패키지 선보여","  인터파크트리플이 운영하는 인터파크가 9월부터 12월까지 잉글랜드 프리미어리그(EPL)과 프랑스 리그앙(Ligue 1) 경기를 현지에서 관람할 수 있는 다양한 패키지를 선보인다고 밝혔다. 고객이 직접 나만의 여행을... "
"11","인터파크, 잉글랜드 프리미어리그·프랑스 리그앙 관람 패키지 선보여","  인터파크트리플이 운영하는 인터파크가 9월부터 12월까지 잉글랜드 프리미어리그(EPL)과 프랑스 리그앙(Ligue 1) 경기를 현지에서 관람할 수 있는 다양한 패키지를 선보인다고 밝혔다. 고객이 직접 나만의 여행을... "
"12","프랑스에 한발 늦게 찾아온 폭염…""몽블랑 등반 미뤄주세요""","  기상청, 폭염 최고 단계 경보 지역 4개→19개 주로 확대 현혜란 특파원 = 프랑스에 찾아온 늦더위로 알프스산맥을 끼고 있는 오트사부아 주(州)가 22일(현지시간) 몽블랑 등반을 미뤄달라고 당부했다. 프랑스 남부 지방을... "
"13","디지스트, 프랑스 향기 산업 전문가 양성과정 성료","  대구경북과학기술원(DGIST·디지스트)은 지난 19일 ‘프랑스 향기 산업 전문가 양성과정 수료식’을 개최하고... 해당 교육과정은 세계적인 향기 산업 중심지인 프랑스에서 진행 중인 향기 산업 전문 교육과정을 벤치마킹해... "
"14","'세계화와 그 적들' 프랑스 경제학자 다니엘 코엔 별세","  마크롱 ""위대한 지식인 잃었다"" 애도 프랑스를 대표하는 경제학자 다니엘 코엔이 20일(현지시간) 별세했다고... 1953년 6월 당시 프랑스 보호령이었던 튀니지에서 태어난 코엔은 고등사범학교(ENS)와 파리10대학을 졸업했다.... "
"15","프랑스 생트로페, 럭셔리 브랜드의 별천지","  파리에서 남쪽으로 800km 정도 떨어진 지중해 마을 생트로페는 프랑스를 대표하는 여름 휴양지다. 따뜻한... 브랜드 창업자 시몽 포르테 자크뮈스의 고향이자, 지난해 동성 애인과 웨딩마치를 울렸던 남프랑스 시골 마을... "
"16","""남부가 프랑스·독일보다 부유해질 것""…비웃음만 산 伊 집권당","  FdI는 21일(현지시간) 엑스(X·옛 트위터)에 ""남부 지역의 GDP가 프랑스와 독일을 넘어설 것""이라고 주장한 뒤... CGIA는 올해 이탈리아 남부의 국내총생산(GDP) 성장률이 1%로 프랑스(0.8%), 독일(-0.3%)보다 높을 것으로... "
"17","인터리커, 국내 첫 프랑스 샴페인 협회 인증 샴페인 '골든 블랑' 2종 출시","  ‘골든블랑(골든블랑 5스타)’은 국내 최초로 국내 업계가 프랑스 샴페인 협회에서 공식 라이선스를 받은 독자 브랜드로 2023 코리아와인챌린지에서 골드 메달을 수상하며 전문가들에게 맛과 품질을 인정받았다.... "
"18","여름 휴가철 끝나가는데…8월 말 늦더위 찾아온 프랑스","  올해 첫 폭염 적색경보 발령…""22∼23일까지 계속 더워"" 현혜란 특파원 = 지난달 남유럽을 휩쓴 폭염에서 비교적 자유로웠던 프랑스에 8월 말 늦더위가 찾아왔다. 프랑스 기상청은 21일(현지시간) 론, 드롬, 아르데슈... "
"19","곧 9월인데 프랑스 40도…폭염에 알프스 만년설도 녹아","  유럽에서는 프랑스 일부 지역의 기온이 40도를 넘어섰고, 알프스에서는 눈과 얼음이 계속 녹아내리면서 이젠... 됩니다.] 프랑스 전역 19개 주에 폭염 적색경보가 발령됐고, 리옹 등 일부에서는 수은주가 40도 위로... "
"20","락킨코리아, 프랑스 손모은 프로젝트 내한 공연 성료","  프랑스 재즈계 그룹 '손모은 프로젝트'의 한국 투어가 예측을 뛰어넘는 성과를 보이며 성료되었다. 공연... 올해 프랑스 최대 음악 라이브 채널 'France Musique'에 헤드라이너로 출연한 프랑스 재즈계의 떠오르는 샛별이다.... "
"21","프랑스 1위 소설 '알래스카 샌더스 사건' 국내 출간","  프랑스에서 베스트셀러 1위를 기록한 소설 '알래스카 샌더스 사건'(밝은세상)이 국내 출간됐다. 저자인 조엘 디케르는 프랑스의 베스트셀러 작가로 통한다. 전 세계에서 600만 부 이상을 판매한 전작 '해리 쿼버트 사건의... "
"22","프랑스 축구 전설 앙리, 올림픽 대표팀 감독으로…음바페 만날까","  프랑스 축구의 과거와 현재가 한 팀에서 만날 수 있을까. 프랑스축구연맹(FFF)는 22일(한국시각) 공식 누리집을 통해 “연맹 집행위원회가 프랑스 에스쁘아팀 감독으로 전 국가대표 티에리 앙리를 선임했다”고... "
"23","프랑스 전기차 보조금 개편에… 산업부, 업계·전문가 의견 수렴","  프랑스 정부가 전기차 보조금 개편 초안을 공개한 가운데, 산업통상자원부는 이와 관련한 우리 의견서... 산업부는 이날 대한상의에서 현대·기아차와 유관 협회 등과 '프랑스 전기차 보조금 대응 민관 합동 간담회'를 열고... "
"24","프랑스공항 이름, '英 엘리자베스 2세'로 바꾼 사연","  프랑스 유명 휴양지에 위치한 공항 이름이 '엘리자베스 2세'로 바뀌었다. 프랑스 공항에 사이가 좋지만은 않았던 이웃나라 영국의 여왕 이름을 붙인 것은 영국 엘리자베스 여왕의 프랑스에 대한 애정을 기리는... "
"25","AMD, 프랑스 AI 소프트웨어 기업 '밉솔로지' 인수","  AMD, AI소프트웨어 개발 역량 강화 글로벌 반도체 기업 AMD가 프랑스의 AI소프트웨어 기업 밉솔로지(Mipsology)를 인수했다. AMD는 밉솔로지 인수로 엔비디아에 대응해 AI 부문 경쟁력을 끌어올린다. AMD는 24일... "
"26","니제르 쿠데타에 '프랑스·미국' 초긴장하는 이유","  20년간의 대테러작전이 흔들린다 사실 미국·프랑스 정보당국은 오래전부터 니제르 대통령의 경호부대 개편으로 수반되는 잠재적 위험을 '인지'하여 워싱턴과 파리에 이를 보고했다. 그러나 미국·프랑스 정부는... "
"27","손문 작가의 '사계(四季), 스물 네 개의 공간(空間)' 유럽 및 프랑스 예술계 ...","  프랑스 파리를 시작으로 전시회를 준비 중인 손작가는 이 작품에 대해 “대 자연 속의 창조 질서에... 그는 모국의 역사적 아픔을 작품에 담아 당시 프랑스 소도시 Caulnes 지역 시장에게 놀라움과 큰 찬사를 받았다.”며 수... "
