"","title","medium","date","links","contents"
"1","한국 합계출산율 0.78명이란 소리에 '표정관리' 실패한 미국 명문대 교수님 반...","인사이트","4일 전","https://www.insight.co.kr/news/448001","  8로 반등에 성공한 프랑스와 OECD 국가 중 최고 출산율을 보이는 이스라엘 등 해외 사례를 통해 문제점을 찾아 나섰다.영상에서 한국의 초저출생 합계 출산율을 들은 미국의 유명 교수님의 반응은 온라인... "
"2","[저출산 40년, 사라지는 미래(11)] ""출산·육아, 국가가 함께 책임진다""...프...","뉴스투데이","2023.08.17.","https://www.news2day.co.kr/article/20230816500196","  전세계가 '저출산' 위기를 맞았지만, 프랑스 출산율 감소 비율은 다른 국가와 비교했을 때도 미미한 수치에 불과하다. 프랑스가 높은 출산율을 유지할 수 있는 이유는 크게 △경제적 부담 축소 △직장 및 양육의 균형 유지... "
"3","[김지수의 파워 인터뷰 | 폴 몰런드 런던대 버크벡 칼리지 연구원] “외력으로...","이코노미조선","6일 전","https://economychosun.com/site/data/html_dir/2023/08/14/2023081400038.html","  출산율 저하로 인구 소멸을 걱정하는 시대, 국가가 이민과 고용 서비스로 국민을 모객하는 시대. 숫자가... 인구학자로서 영국, 러시아, 독일, 프랑스 등의 유럽의 인구 경주와 국력의 흥망성쇠를 보면서 어떤 감정을... "
"4","저출산 극복한 프랑스의 세제, 한국에 도입한다면?","택스워치","2023.08.07.","https://www.taxwatch.co.kr/article/tax/2023/08/07/0001/naver","  성공한 프랑스의 제도를 본 뜬 제도 도입이 추진되고 있는 것입니다. 프랑스가 1946년 도입한 'N분의 N승... 지난 2006년~2021년 16년 동안 280조원을 썼다는데, 출산율은 오히려 뒷걸음질 쳤으니 대실패도 이런 대실패가 없을... "
"5","[헬로이슈토크/특집] 합계 출산율 0.78명! 세계 최저 출산율, 미래가 없다!","LG헬로비전","2023.07.28.","http://news.lghellovision.net/news/articleView.html?idxno=429134","  출연자 19:04 그래서 출산율이 좀 높게 유지된 이런 부분이 있고요. 프랑스의 사례가 또 한 가지 배울 점이 있는데요. 프랑스는 여러 가지 복지 정책이 잘 돼 있습니다. 핀란드 스웨덴 우리처럼 출산 휴가제도 육아휴직... "
"6","[다큐멘터리K(인구대기획초저출생)] 7부 프랑스, 출산율 반등의 비밀 '라떼파...","한국강사신문","2023.07.05.","https://www.lecturernews.com/news/articleView.html?idxno=130244","  있는 국내 아동친화도시를 소개해 우리의 가능성을 확인해본다. 프랑스 출산율의 비밀을 살펴보는 EBS <다큐멘터리K – 인구대기획 초저출생> 7부 '프랑스, 출산율 반등의 비밀'은 7월 5일 밤 9시 55분, EBS 1TV에서 방송된다. "
"7","[비혼시대]프랑스 비혼출산율 60% 넘는다는데…우리는 2%","아시아경제언론사 선정","2023.06.28.","https://view.asiae.co.kr/article/2023062315111115896","  경제협력개발기구(OECD) 평균 비혼 출산율은 42%에 달하고, 프랑스는 비혼 출산율이 60%가 넘는 것과 대조적이다. 이날 세미나를 개최한 한미연은 건설 중견기업인 한미글로벌이 인구구조 문제 해법을 찾기 위해 설립한 민간... "
"8","2023년 여름 프랑스 폭동 사태","ifspost","2023.08.05.","http://www.ifs.or.kr/bbs/board.php?bo_table=News&wr_id=53521","  있으나 프랑스처럼 심각하고 집단적인 폭동은 드물다. 한국에 시사점: 잘못된 교훈은 피해야 출산율이 세계 최저를 기록하면서 인구가 줄어 가는 한국은 향후 이민을 대량 받아들이지 않는다면 장기적 소멸 과정에... "
"9","세금 절반 깎아줬더니…프랑스의 '1.8명' 출산율 비결 [강진규의 데이터너머]","한국경제언론사 선정","2023.05.30.","https://www.hankyung.com/society/article/202305218984i","  출산율 1.8명 유지한 프랑스 이같은 노력의 결과로 프랑스는 '저출산 문제를 겪지 않은 국가'라고 평가된다. 유럽 국가들이 위기 후 반등한 것과 달리 아예 위기가 없었다는 것이다. 프랑스 통계청(INSEE)이 올초... "
"10","[글로벌+] '팍스' 도입 24년 차 프랑스···동거해도 출산율 안 떨어지는데?","대구MBC언론사 선정","2023.05.12.","https://dgmbc.com/article/nB2DpM7_0ljAvUn-Ym","  그런데 2019년 조사에 따르면 팍스를 맺은 커플의 출산율은 1.73명이고 결혼한 커플의 출산율도 1.77명으로 거의 비슷한 것으로 나타났어요. Q. 그러면 많은 프랑스 커플이 법적인 결혼 대신에 선택권이 열려 있는 거네요.... "
