"","title","contents"
"1","핀란드 학생들, 각양각색 한국 홈스테이 시작 (수학여행2)","  핀란드 학생들의 각양각색 한국 홈스테이가 펼쳐진다. 오는 28일 방송되는 E채널·라이프타임·AXN 공동 제작 ‘방과 후 코리아: 수학여행2’(이하 ‘수학여행2’)에서는 핀란드 학생들이 극과 극의 분위기를 자랑하는 한국... "
"2","尹, 핀란드 대통령과 수교 50주년 축하 서한 교환","  윤석열 대통령은 24일 한-핀란드 수교 50주년을 기념해 사울리 니니스퇴 핀란드 대통령과 축하 서한을 교환했다. 외교부에 따르면 윤 대통령은 축하 서한을 통해 보편적 가치를 공유하는 양국이 수교 이래 정치, 경제, 문화... "
"3","한-핀란드 정상, 수교 50주년 기념 축하서한 교환","  윤석열 대통령은 올해 한-핀란드 수교 50주년을 기념해 8월 24일 사울리 니니스퇴 핀란드 대통령과 축하서한을 교환했다. 한국과 핀란드는 1973년 8월 24일 수교를 맺었다. 8월 24이 외교부에 따르면, 윤 대통령은 축하서한을... "
"4","핀란드·韓 고등학생 하나로 만든 싸이…'수학여행 2'","  수학여행2'가 핀란드 학생들과 한국 학생들이 친구가 돼 과정을 훈훈하게 그렸다. 지난 21일 오후 9시 방송된 E채널·AXN·라이프타임 '방과 후 코리아: 수학여행2'(이하 '수학여행2')에서는 수학여행 셋째 날을 맞은 핀란드... "
"5","‘정션 아시아 2023’ 종합 우승 ‘휘바(hyva)'팀...핀란드 대회 참여 기회 부...","  종합 우승한 ‘휘바(hyva)’ 팀에게는 올해 11월 핀란드에서 개최 예정인 ‘정션 2023’에 참여할 기회가 부여된다. 이번‘ 대회에는 27개국 천여 명의 신청자 중... "
"6","덴마크의 노키아? 100년 제약사의 놀라운 도약과 걱정[딥다이브]","  “노르웨이에는 석유가 있고, 스웨덴에는 산업이 있으며, 핀란드에는 기초소재가 있고, 우리에게는 제약이... 바로 너무 커진 노보 노디스크가 과거 핀란드의 노키아 같은 위험을 내포하고 있다는 겁니다. 핸드폰... "
"7","핀란드, 케냐, 한국 대표극 엄선… 종로구, ‘키우피우 오브제극 축제’ 열어","  ‘몸’ 주제 핀란드 그림자인형극, 케냐 오브제인형극, 한국 현대무용극 3편 엄선 서울 종로구는 오는 9월... 한 △핀란드의 그림자인형극 △케냐의 오브제인형극 △한국의 현대무용극을 각각 선보일 예정이다. 첫 번째... "
"8","핀란드 학생들, K팝 댄스 삼매경…은혁 ""데뷔해도 되겠어""(수학여행2)","  사로잡은 핀란드 댄싱 머신의 활약이 펼쳐진다. 오는 21일 방송될 E채널·라이프타임·AXN 공동 제작 예능프로그램 '방과 후 코리아: 수학여행2'(연출 전세계, 이하 '수학여행2')에서는 한국 고등학교 체험에 나선 핀란드... "
"9","농구월드컵 개막, 주목할 7가지 이슈들","  핀란드의 라우리 마카넨은 지난해 유로바스켓을 통해 그 위력을 전 세계에 보여줬던 선수다. 이후 유타에서... 사실 핀란드는 마카넨의 비중이 너무 높다는 약점이 있는 상황. 하지만 그래서 더 마카넨의 압도적 기량이... "
"10","핀란드 외교 장관 “러 병력 우크라 투입하며 우리쪽 국경은 텅 비었다”","  된 핀란드의 엘리나 발토넨 외교부 장관은 파이낸셜 타임스(FT) 인터뷰에서 “러시아는 핀란드와의 국경에 배치한 병력을 강화하겠다고 말했지만, 사실은 텅 비었다(pretty empty)”라고 말했다. 발토넨 외교부 장관은... "
