"","title","contents"
"1","에코프로 '한-캐나다-헝가리' 글로벌 3각 체제 구축","  에코프로가 국내와 캐나다, 헝가리를 잇는 '글로벌 3각 벨트'를 완성해 배터리 소재 시장을 이끌겠다는... 아울러 에코프로비엠은 헝가리에도 양극재 공장을 짓고 있다. 지난 4월 헝가리 데브레첸에서 공장 착공식을... "
"2","헝가리 국가 민속유산 축제에서 한국문화 소개","  홍미희 기자 주헝가리한국문화원(원장 인숙진)이 '2023 헝가리 국가 민속유산 축제'에 참가해 한국문화를 소개했다. '헝가리 국가 민속유산 축제'는 헝가리 최대 전통민속축제로, 올해로 37년째 이어지고 있다.... "
"3","헝가리 대통령과 악수하는 젤렌스키 대통령","  우크라이나 대통령 공보실이 제공한 사진에 볼로디미르 젤렌스키(오른쪽) 우크라이나 대통령이 23일(현지시각) 키이우를 방문한 커터린 노박 헝가리 대통령과 악수하고 있다. 2023.08.24. 공감언론 뉴시스가 독자... "
"4","헝가리 진출 시 알아야 할 환경허가 발급 절차","  한국은 2019년, 2021년에 이어 2022년에도 헝가리 최대 투자국으로 선정됐으며 최근 한국 기업의 헝가리 생산법인 투자가 활발하게 이뤄지고 있다. 헝가리 진출 시 알아야 할 환경허가 관련 절차에 대해 소개한다.... "
"5","SK온 헝가리 신공장, 각종 악재 딛고 환경승인 획득","  SK온의 헝가리 3공장 건설 프로젝트가 순항하고 있다. 당국으로부터 환경 허가를 확보, 연말 준공 목표에 한발 더 다가서게 됐다. 25일 SK온에 따르면 페예르주 주정부는 이달 초 이반차에 건설중인 SK온의 헝가리... "
"6","""SK온 적자, 미국·헝가리 공장 탓""","  미국과 헝가리 공장 탓에 SK온의 적자가 이어지고 있다고 지적했다. 이들 공장의 수율(양품 비율)이 타... 국내와 중국에 위치한 공장과 비교해 미국과 헝가리에 위치한 공장에서 수율이 생각만큼 빠르게 올라오지 않고... "
"7","헝가리 총리 “제재·정치적 어려움에도 러시아서 진출 기업 확장 원해”","  친러파 오르반 총리, EU 대(對)러시아 제재에 반대 헝가리 총리. 부다페스트 AP=연합뉴스 빅토르 오르반 헝가리 총리가 ""제재와 정치적 어려움이 있지만 러시아에 진출한 헝가리 기업은 활동을 확대할 기회를 찾고 있다""고... "
"8","해외 문화예술인, 국내에서 'K-컬처'와 협업한다","  이 사업은 독일, 이스라엘, 헝가리, 호주, 프랑스, 요르단, 콜롬비아, 아제르바이잔, 미국 등 9개국 9개... 첫 협업 국가로 독일과 이스라엘, 헝가리, 호주, 프랑스, 요르단, 콜롬비아, 아제르바이잔, 미국 등 총... "
"9","EU집행위, CATL 헝가리 배터리 공장 라이선스 조사","  헝가리 진보정당 소속 의원 이의제기 여파 지하수 오염 지적…3분기 착공 계획 물거품되나 CATL의 헝가리 배터리 공장 건설 프로젝트가 착공을 앞두고 거대 암초를 만났다. 환경오염 논란이 거센 가운데... "
"10","헝가리 총리와 악수하는 에르도안 튀르키예 대통령","  레제프 타이이프 에르도안 튀르키예 대통령이 20일(현지시간) 부다페스트를 방문해 빅토르 오르반 헝가리 총리의 환영을 받으며 악수를 하고 있다. 2023.8.21 ⓒ AFP=뉴스1 "
"11","셀트리온 유럽수출 허브 헝가리, 바이오의약품 수출 '美' 제쳐","  올해 7월까지 헝가리향 바이오의약품 수출액이 미국을 제쳤다. 헝가리는 셀트리온그룹의 유럽시장 수출 허브국가다. 셀트리온헬스케어 100% 자회사인 헝가리법인(Celltrion Healthcare Hungary, Kft)이 위치하고 있다.... "
"12","대전공장 화재 5개월만에 가동률 회복한 한국타이어…비결은[이코노 리포트]","  가동이 중단된 대전공장 물량을 금산과 헝가리 등 다른 사업장에 분배해 화재 가동률을 화재 이전... 한국타이어는 ▲중국 가흥 ▲중국 강소 ▲중국 중경 ▲헝가리 ▲인도네시아 ▲미국 등 총 6개 글로벌... "
"13","中 배터리는 헝가리를 좋아해...왜?","  중국 전기차 배터리 기업이 헝가리에 줄줄이 공장을 확충하고 있다는 소식이다. 정보통신 전문 매체 IT지가는 21일 “중국 배터리 기업들이 유럽 시장 진출을 위한 창구로 헝가리를 선택하고 있다”고 보도했다. 실제로... "
"14","헝가리 건국기념일, 국기 색상의 축하 불꽃","  '성 이슈트반의 날'(건국기념일)인 20일(현지시각) 헝가리 부다페스트의 도나우강 위로 국기 색상의 불꽃이 터지고 있다. 2023.08.21. 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이... "
"15","뜨레찬, 국산 김치 헝가리 수출 물꼬","  김치가 헝가리로 수출됐다. 김치제조업체인 ㈜뜨레찬은 지난 11일 식품소재 전문기업인 ㈜동해글로벌에서 제조한 EU 인증 젓갈과 국산 재료로만 담근 김치 5톤을 헝가리에 수출하기 위한 상차식을 개최했다. 2021년 EU... "
"16","英 매체 “러, 튀르키예·카타르와 새 곡물협정 체결 추진”","  영국 일간 텔레그래프 보도 아프리카國 곡물 무료 제공 위해 친러시아 성향 헝가리 중재 역할 우크라, 흑해... 보도에 따르면 헝가리 건국기념일인 이날 블라디미르 푸틴 러시아 대통령의 특사 자격으로 수도 부다페스트를... "
"17","김치연, 100% 국산 김치 개발 지원해 헝가리 수출 이뤄","  유럽연합(EU) 인증 젓갈을 활용해 담근 100% 국산김치가 헝가리로 수출됐다. 지난해 EU 복합식품 수입규정... 생산해 헝가리에 수출했다고 17일 밝혔다. 김치연은 전통식품품질인증을 받은 김치제조업체를 중심으로... "
"18","[단독] 금호타이어, 유럽 생산거점 헝가리공장 설립 추진","  헝가리 정부와 논의, 이르면 이달 중 발표 예정 금호타이어가 헝가리에 유럽 생산 거점 마련에 나선다. 원가 구조 개선과 더불어 유럽 시장 대응력을 높이기 위해서다. 특히 헝가리가 미쉐린 등 주요 글로벌 타이어... "
"19","휴젤 덴마크와 헝가리 진출, 유럽 시장 확대 가속화","  춘천 메디컬 에스테틱 전문 기업 휴젤(주)은 최근 덴마크와 헝가리에 진출 하는 등 유럽 시장 확대를 가속화 하고 있다고 16일 밝혔다. 앞서 휴젤은 HA 필러를 독일과 영국 프랑스 이탈리아 스페인 등에 공급, 유럽에서... "
"20","'메달 불발' 우상혁, 도전은 멈추지 않는다","  23일(한국시간) 헝가리 부다페스트 국립경기장에서 열린 2023 세계육상선수권 남자 높이뛰기 결선. 초반 분위기가 좋던 우상혁의 기세가 꺾인 건 2ｍ33 1차 시기에서 실패하면서다. 우상혁이 23일 헝가리 부다페스트... "
"21","[유학생이 말하는 해외 의약대] ""헝가리 페치의대에서 스포츠팀닥터 꿈 키워""","  김범준(헝가리 페치대 의대 3학년) ■헝가리 의대에 진학하게 된 계기는? 어릴 때부터 스포츠 구단의 팀닥터가 되어 선수와 환자들을 돕고 싶다는 생각이 들었다. 우연한 기회에 헝가리 의대에 관한 정보를 알게 됐고 유럽의... "
"22","더현대닷컴, 헝가리 친환경 패션 브랜드 ‘나누시카’ 공온스 선봬","  현대백화점은 온라인몰 더현대닷컴에 헝가리 부다페스트 친환경 패션 브랜드 ‘나누시카(Nanushka)’ 공식 온라인 스토어를 오픈했다고 15일 밝혔다. 나누시카는 지난 2006년 헝가리 출신 패션 디자이너 산드라 샌더가... "
"23","독일 라인메탈, 헝가리에 장갑차 생산기지 설립…韓 독주 견제","  '헝가리 육군 공급' 링스 보병전투차량 등 생산 한국 방산 기업과 경쟁 치열해질 듯 독일의 방산기업 라인메탈(Rheinmetall)이 헝가리에 신규 공장을 설립했다. 라인메탈은 해당 공장을 통해 생산능력을 확대, 유럽... "
"24","EU 인증 젓갈 활용한 100% 국산김치 헝가리 수출","  국산김치가 헝가리로 수출되는 국내 첫 사례가 나왔다고 8월 17일 밝혔다. 100% 국산 김치는 배추, 마늘... 생산해 헝가리에 수출했다. 그동안 세계김치연구소는 전통식품품질인증을 받은 김치제조업체를 중심으로... "
"25","한국식품산업클러스터진흥원, 산학연 기술지원으로 100% 국산 김치 헝가리 수...","  5톤의 헝가리 수출을 위한 상차식 모습. 제공=식품진흥원 [스포츠서울ㅣ김기원 기자]... 5톤의 헝가리 수출을 위한 상차식을 개최했다고 밝혔다. 이날 상차식에는 ㈜뜨레찬, ㈜동해글로벌, 식품진흥원, 세계김치연구소... "
"26","‘화려한 비행’ 꿈꾸는 우상혁, 헝가리에서 ‘골든 바’ 넘는다!","  우상혁은 19일(한국시간) 헝가리 부다페스트에서 개막하는 제19회 세계육상선수권대회에서 금빛 도약을 꿈꾸고 있다. 지난해 미국 유진에서 열린 세계선수권대회 남자 높이뛰기에서 한국 최초의 은메달을 목에 건... "
"27","[Who Is ?] 이강명 성일하이텍 대표이사 회장","  2023년 6월30일 기준 헝가리, 말레이시아, 인도네시아, 미국 등 해외에 9개 비상장 자회사를 두고 2차전지... 실제 성일하이텍 헝가리 공장, 군산 공장 등에서는 2021~2023년 화재나 폭발 등의 사고가 발생한 적 있다.... "
"28","세계를 넘어라!… 우상혁, 헝가리 세계육상 출전","  지난해 미국 오리건주 유진에서 열렸던 이 대회가 올해 헝가리 부다페스트에서 19일부터 27일까지 열린다. 원래 세계육상선수권은 격년제로 홀수해에 열리지만, 신종 코로나바이러스 감염증(코로나19)으로 인해 2020... "
"29","더현대닷컴, 헝가리 친환경 패션 ‘나누시카’ 오픈","  현대백화점(대표 김형종)은 공식 온라인몰 ‘더현대닷컴’에 헝가리 부다페스트에서 탄생한 친환경 패션 브랜드 ‘나누시카(Nanushka)’ 온라인 스토어를 오픈했다. 나누시카는 지난 2006년 헝가리 출신 패션 디자이너... "
"30","현대백화점 ""더현대닷컴에 헝가리 친환경 패션 브랜드 '나누시카' 오픈""","  현대백화점은 공식 온라인몰 '더현대닷컴'에 헝가리 부다페스트의 친환경 패션 브랜드 '나누시카(Nanushka)'의 공식 온라인 스토어를 오픈했다고 밝혔다. 나누시카는 지난 2006년 헝가리 출신 패션 디자이너 산드라 샌더가... "
"31","휴젤 HA 필러, 덴마크·헝가리 진출… 유럽 진입 속도전","  뉴데일리 김선 기자 = 휴젤은 HA 필러가 최근 독일·영국·스페인에서 공급이 확대되고 덴마크·헝가리에 새롭게 진출하는 등 유럽 시장 확대를 가속화하고 있다고 16일 밝혔다. 휴젤의 HA 필러(레볼렉스)는 현재... "
"32","에코프로비엠, 韓·유럽·북미 ‘양극재 생산 삼각벨트’ 구축","  헝가리 데브레첸에서 ‘에코프로 글로벌 헝가리 사업장 착공식’을 개최하고, 현지 진출을 본격화했다. 에코프로비엠, 에코프로이노베이션, 에코프로에이피 등 에코프로그룹 내 양극재 분야 사업을 수행하고 있는... "
