,Gender,Label,Name_written,Name_spoken,segments,syllables,SCR,OCR,SCE,OCE,FVR,CVR,BVR,VE
0,Male,0,adrian,eɪ d r i ə n,6,2,0.3333333333333333,0.16666666666666666,1,0,0.16666666666666666,0.16666666666666666,0.0,0
1,Male,0,eric,e r ɪ k,4,2,0.25,0.25,0,1,0.5,0.0,0.0,0
2,Male,0,dennis,d e n ɪ s,5,2,0.2,0.4,0,1,0.4,0.0,0.0,0
3,Male,0,marshall,m ɒ r ʃ ə l,6,2,0.5,0.16666666666666666,1,0,0.0,0.16666666666666666,0.16666666666666666,0
4,Male,0,joshua,ʤ ɒ ʃ u ə,5,2,0.0,0.4,0,0,0.0,0.2,0.4,1
5,Male,0,michael,m aɪ k ə l,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
6,Male,0,genesis,ʤ e n ə s ə s,7,3,0.14285714285714285,0.42857142857142855,0,1,0.14285714285714285,0.2857142857142857,0.0,0
7,Male,0,johnathon,ʤ ɒ n ə ɵ ə n,7,3,0.2857142857142857,0.2857142857142857,1,0,0.0,0.2857142857142857,0.14285714285714285,0
8,Male,0,robert,r ɒ b ɜ t,5,2,0.2,0.4,0,1,0.2,0.0,0.2,0
9,Male,0,nicholas,n ɪ k ə l ə s,7,3,0.2857142857142857,0.2857142857142857,0,1,0.14285714285714285,0.2857142857142857,0.0,0
10,Male,0,james,ʤ eɪ m z,4,2,0.25,0.5,0,1,0.0,0.0,0.0,0
11,Male,0,peyton,p eɪ t ə n,5,2,0.2,0.4,1,0,0.0,0.2,0.0,0
12,Male,0,steven,s t i v ə n,6,2,0.16666666666666666,0.5,1,0,0.16666666666666666,0.16666666666666666,0.0,0
13,Male,0,joshua,ʤ ɒ ʃ u ə,5,2,0.0,0.4,0,0,0.0,0.2,0.4,1
14,Male,0,christopher,k r ɪ s t ə f ɜ,8,3,0.125,0.5,0,0,0.25,0.125,0.0,1
15,Male,0,robert,r ɒ b ɜ t,5,2,0.2,0.4,0,1,0.2,0.0,0.2,0
16,Male,0,shawn,ʃ ɔ n,3,1,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,0.3333333333333333,0
17,Male,0,isaiah,aɪ z eɪ ə,4,3,0.0,0.25,0,0,0.0,0.25,0.0,1
18,Male,0,alex,æ l ə k s,5,2,0.2,0.4,0,1,0.2,0.2,0.0,0
19,Male,0,matthew,m æ ɵ j u,5,2,0.4,0.2,0,0,0.2,0.0,0.2,1
20,Male,0,matthew,m æ ɵ j u,5,2,0.4,0.2,0,0,0.2,0.0,0.2,1
21,Male,0,patrick,p æ t r ɪ k,6,2,0.16666666666666666,0.5,0,1,0.3333333333333333,0.0,0.0,0
22,Male,0,andy,æ n d i,4,2,0.25,0.25,0,0,0.5,0.0,0.0,1
23,Male,0,richard,r ɪ ʧ ɜ d,5,2,0.2,0.4,0,1,0.4,0.0,0.0,0
24,Male,0,antonio,æ n t o n i o,7,3,0.2857142857142857,0.14285714285714285,0,0,0.2857142857142857,0.0,0.2857142857142857,1
25,Male,0,michael,m aɪ k ə l,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
26,Male,0,easton,i s t ə n,5,2,0.2,0.4,1,0,0.2,0.2,0.0,0
27,Male,0,reginald,r e ʤ ə n ə l d,8,3,0.375,0.25,0,1,0.125,0.25,0.0,0
28,Male,0,ryan,r aɪ ə n,4,1,0.5,0.0,1,0,0.0,0.25,0.0,0
29,Male,0,alexander,æ l ə g z æ n d ɜ,9,4,0.2222222222222222,0.3333333333333333,0,0,0.3333333333333333,0.1111111111111111,0.0,1
30,Male,0,dominick,d ɒ m ə n ɪ k,7,3,0.2857142857142857,0.2857142857142857,0,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0
31,Male,0,daniel,d æ n j ə l,6,2,0.5,0.16666666666666666,1,0,0.16666666666666666,0.16666666666666666,0.0,0
32,Male,0,nathaniel,n ə ɵ æ n j ə l,8,3,0.5,0.125,1,0,0.125,0.25,0.0,0
33,Male,0,devon,d e v ə n,5,2,0.2,0.4,1,0,0.2,0.2,0.0,0
34,Male,0,daniel,d æ n j ə l,6,2,0.5,0.16666666666666666,1,0,0.16666666666666666,0.16666666666666666,0.0,0
35,Male,0,gonzalo,g ɒ n z ɒ l o,7,3,0.2857142857142857,0.2857142857142857,0,0,0.0,0.0,0.42857142857142855,1
36,Male,0,raphael,r ɒ f aɪ e l,6,2,0.3333333333333333,0.16666666666666666,1,0,0.16666666666666666,0.0,0.16666666666666666,0
37,Male,0,reginald,r e ʤ ə n ə l d,8,3,0.375,0.25,0,1,0.125,0.25,0.0,0
38,Male,0,devin,d e v ɪ n,5,2,0.2,0.4,1,0,0.4,0.0,0.0,0
39,Male,0,jack,ʤ æ k,3,1,0.0,0.6666666666666666,0,1,0.3333333333333333,0.0,0.0,0
40,Male,0,junior,ʤ u n j ɜ,5,2,0.4,0.2,0,0,0.2,0.0,0.2,1
41,Male,0,thomas,t ɒ m ə s,5,2,0.2,0.4,0,1,0.0,0.2,0.2,0
42,Male,0,raymond,r eɪ m ə n d,6,2,0.5,0.16666666666666666,0,1,0.0,0.16666666666666666,0.0,0
43,Male,0,david,d eɪ v ɪ d,5,2,0.0,0.6,0,1,0.2,0.0,0.0,0
44,Male,0,david,d eɪ v ɪ d,5,2,0.0,0.6,0,1,0.2,0.0,0.0,0
45,Male,0,victor,v ɪ k t ɜ,5,2,0.0,0.6,0,0,0.4,0.0,0.0,1
46,Male,0,angel,eɪ n ʤ ə l,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
47,Male,0,levi,l i v aɪ,4,2,0.25,0.25,0,0,0.25,0.0,0.0,0
48,Male,0,michael,m aɪ k ə l,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
49,Male,0,christian,k r ɪ s ʧ ə n,7,2,0.2857142857142857,0.42857142857142855,1,0,0.14285714285714285,0.14285714285714285,0.0,0
50,Male,0,matthew,m æ ɵ j u,5,2,0.4,0.2,0,0,0.2,0.0,0.2,1
51,Male,0,caleb,k eɪ l ə b,5,2,0.2,0.4,0,1,0.0,0.2,0.0,0
52,Male,0,benjamin,b e n ʤ ə m ə n,8,3,0.375,0.25,1,0,0.125,0.25,0.0,0
53,Male,0,kyle,k aɪ l,3,2,0.3333333333333333,0.3333333333333333,1,0,0.0,0.0,0.0,0
