"","title","contents"
"1","제21대 국회의원 선거/지역별 결과/서울특별시 - 나무위키","제21대 국회의원 선거 중 서울특별시 지역 결과를 정리한 문서."
"2","대한민국 제20대 국회의원 선거 - 위키백과 한국","지도자 선거구 비례대표 2번 부산 중구·영도구 이전 선거결과 127석 [1] 157석 [2] 선거 전 의석수 102석 146석 선거 후 의석수 123석 122석 의석 증감 21 24 득표수 6,069,744 7,960,272... 제20대 국회의원 선거는 대한민국에서 2016년 5월 30일~2020년 5월 29일까지 4년 임기의 제20대 국회의원을 선출한 선거이다. 선거일은 2016년 4월 13일, 투표시간은 오전 6시부터 오후...
"
"3","여론조사 꽃 총선 여론조사 결과: 서울 지지율/충청 대전 지지율/강원 지지율/제주 지지율","2024.03.04.
총선이 다가오면서 각종 여론조사가 발표되고 있습니다. 오늘은 여론조사 꽃의 총선예측 지지율 서울/충청/대전/강원/제주 지역을 살펴볼 예정입니다. 내용은 24년 3월 4일자 공개된 자료를 출처로 하였습니다. 2만명이 넘는 샘플로 조사한 자료라서 신빙성이 있습니다. 저는 1만원을 내고 구독하고 있어 더 자세한 자료가 있지만, 공개된 자료만 가지고 논해 보..."
"4","제21대 국회의원 선거/지역별 결과/서울특별시 - 나무위키","제21대 국회의원 선거 중 서울특별시 지역 결과를 정리한 문서."
"5","대한민국 제20대 국회의원 선거 - 위키백과 한국","지도자 선거구 비례대표 2번 부산 중구·영도구 이전 선거결과 127석 [1] 157석 [2] 선거 전 의석수 102석 146석 선거 후 의석수 123석 122석 의석 증감 21 24 득표수 6,069,744 7,960,272... 제20대 국회의원 선거는 대한민국에서 2016년 5월 30일~2020년 5월 29일까지 4년 임기의 제20대 국회의원을 선출한 선거이다. 선거일은 2016년 4월 13일, 투표시간은 오전 6시부터 오후...
"
"6","제21대 국회의원 선거 - 나무위키","2020년4월 15일에 시행한 제21대 대한민국 국회의원 선거. 선거의 시행 및 개표는 중앙선거관리위원회가 담당하였고, 같은 날 2020년 재보궐선거가 같이 개시되었다.
"
"7","여론조사 꽃 총선 여론조사 결과: 서울 지지율/충청 대전 지지율/강원 지지율/제주 지지율","2024.03.04.
총선이 다가오면서 각종 여론조사가 발표되고 있습니다. 오늘은 여론조사 꽃의 총선예측 지지율 서울/충청/대전/강원/제주 지역을 살펴볼 예정입니다. 내용은 24년 3월 4일자 공개된 자료를 출처로 하였습니다. 2만명이 넘는 샘플로 조사한 자료라서 신빙성이 있습니다. 저는 1만원을 내고 구독하고 있어 더 자세한 자료가 있지만, 공개된 자료만 가지고 논해 보..."
"8","서울 25개 구 총선 판세 분석…22개 구 민주당 우세 < 정치 < 기사본문 - 세상을 바꾸는 시민언론 민들레","2024.01.13.
4월 10일 치러지는 22대 총선이 88일 앞으로 다가왔다. 새해를 맞아 다양한 여론 조사가 쏟아지고 있다. 그 중 ‘여론조사꽃 서울 25개구 총선 판세 조사 보고서’에 소개된 여론조사 조사 기간은 지난해 11월 20일부터 12월 7일까지다. 이미 한 달 가량 지난 자료라는 단점이 있다. 그러나 한 달의 시차에도 불구하고 소개할 가치가 있다고 판단한다..."
"9","[22대 총선 프로젝트] 역대 선거결과 분석으로 내년 총선을 전망한다 (4) 서울 < 이슈·기획 < 오피니언·이슈 <....","2023.05.25.
[역대 선거결과 분석] 시리즈 (1) 최근 선거 개요 ①(2) 최근 선거 개요 ②(3) 대통령 지지율(4) 지역별 선거결과 ① 서울[폴리뉴스 서경선 기자] 오늘부터 지역별 역대 선거결과를 분석하고 이를 바탕으로 내년 총선을 전망한다. 전국을 서울, 인천·경기, 대전·세종·충남·충북, 광주·전남·전북, 대구·경북, 부산·울산·경남, 강원·제주 등 7개..."
"10","[22대 총선 대진표] ②서울…‘정치 1번지’ 종로 3파전 후끈 | 일요신문","2024.03.06.
서울은 총선 결과를 좌우하는 지역구다. 전통적으로 민주당 계열의 우세였지만 이번 총선을 앞두고 표심이 요동치면서 판세를 예측하기 힘든 상태다. 3월 5일 기준 서울 지역구 48개 중 34곳 대진표가 확정됐다. 지난 21대 총선에서 8석을 얻는 데 그쳤던 국민의힘은 탈환을 벼른다. 이에 맞서는..."
"11","[강릉뉴스 총선 판세 예상-서울] 총선 제1의 승부처 49석의 서울","2024.02.20.
우선 지난 서울 총선 결과는 민주당 41석, 국민의힘 8석으로 민주당이 압승을 거두었다. 전국 지역구 의석도 253석 중 민주당이 163석, 국민의힘이 84석, 정의당 1석, 무소속 5석으로 민주당이 대승을 거두었다. 결국 민주당 전체 의석 163석 중에 서울이 41석으로 25%에 육박했다. 결론적으로 민주당 압승의 주요 근거지가 바로 ‘서울’인 것이..."
"12","대한민국 제21대 국회의원 선거 - 위키백과 한국","대한민국 제21대 국회의원 선거 는 2020년 4월 15일에 실시된 대한민국의 국회의원 선거이다. 만 18세 이상의 유권자가 처음으로 참가한 선거이며, 준연동형 비례대표제가 적용되는 첫 선거이자 21세기에 태어난 사람이 처음으로 투표를 한 선거이다. 이 선거로 선출된 제21대 국회의원 수는 300인으로, 2020년 5월 30일부터 4년의 임기를 수행하게 된다. 이 선거는 기본적으로 문재인 정부의 집권 3년차에 치러지는 선거로, 문재인 정권에 대한 '중간평가'인 동시에, 남은 임기 동안의 국정 운영에 영향을 끼칠 선거로 평가받았다. 뿐만 ...
"
"13","[총선 여론조사]① 서울·인천 결과는? | KBS 뉴스","5일 전
[앵커] 총선을 6일 앞둔 오늘(4일)부터 실시한 여론조사는 그 결과를 공표할 수 없습니다. 공표 금지를 앞..."
"14","제22대 국회의원 선거 - 나무위키","2024년4월 10일에 실시될 대한민국 국회의원 선거. 2024년 상반기 재보궐선거와 동시에 시행된다."
"15","[총선D-20여론조사]② 종로·영등포 등 현재 서울 판세는? | KBS 뉴스","3주 전
[앵커] 방금 보신 경기·인천과 함께 이번 총선 민심의 풍향계로 불리는 서울에서도 여야가 총력전을 벌이..."
"16","[22대 총선 프로젝트 여론조사-서울편]② 내년 총선국회의원 교체지수, 서울 2.24로 빨간불_민주당 지지층에선 ....","2023.06.01.
와 가 에 의뢰해 5월 29·30일 이틀간 서울지역 유권자 800명을 대상으로 실시한 여론조사에서 내년 총선국회의원 교체지수가 2.24로 높게 나타나 서울지역 현역 국회의원들에게 비상이 걸렸다.1일 공개한 여론조사결과 ‘내년 4월 총선에 현 지역구 국회의원의 재출마에 대해 어떻게 생각하느냐’는 질문에 ‘다른 인물로 교체..."
"17","[여론조사 꽃 총선/서울 용산구] 與 권영세, 野 후보와 모두 오차범위 내 접전 - 굿모닝충청","2024.01.15.
15일 여론조사 꽃에서 실시한 총선 특집 여론조사에 따르면 서울 용산구 현역 의원인 국민의힘 권영세 의원이 더불어민주당 예비후보인 강태웅 전 후보와 성장현 전 용산구청장을 상대로 모두 오차범위 내 경합 열세를 기록한 것으로 나타났다. 때문에 이번에도 4년 전과 마찬가지로 또 한 번 초박빙 접전이 벌어질 것으로 예상된다.서울..."
"18","[여론조사 꽃 총선/서울 종로구] 與 후보 최재형, 野 근소 우세…한동훈, 野 근소 열세 - 굿모닝충청","2023.11.13.
13일 발표된 여론조사 꽃의 서울 종로구 총선 예측 조사 결과에 따르면 내년 총선에 국민의힘 후보로 현역 최재형 의원이 출마할 경우엔 더불어민주당 후보들이 근소 우세 혹은 접전을 벌이는 것으로 나타났다. 반면에 한동훈 법무부장관이 출마할 경우엔 모두 근소 열세를 보이는 것으로 나타났다. 때문에 역시 내년 총선 결과가 주목된다..."
"19","[총선D-300] 서울 ‘야당지지42.2%-여당지지31.9%’, 경기‘42.7%-33.2%’, 인천‘42.7%-34.6%’ < 여론조사Bank","2023.06.15.
총선 300일 앞둔 시점 서울, 경기, 인천 수도권 민심을 조사한 결과 3곳 모두 ‘정권견제론’이 ‘정권안정론’보다 높았고 정당후보 지지도에서는 더불어민주당 후보 지지도가 오차범위 내에서 국민의힘에 앞섰다고 15일 가 보도했다.동아일보가 에 의뢰해 지난 9~12일(서울과 경기는 9~11일, 인천 9~12일) 실시한 조사결과 보도..."
"20","총선 D-100, 4월 10일 어느 정당 후보에게 투표하시겠습니까｜동아일보","2024.01.01.
올해 4·10총선을 100일 앞두고 진행한 동아일보 신년 여론조사 결과 국민의힘과 더불어민주당이 서울과 인천에서 팽팽한 접전을 벌이고 있는 것으로 나타났다. 경기 지역에선 총선 …"
"21","[22대 총선 프로젝트] 역대 선거결과 분석으로 내년 총선을 전망한다 (5) 인천 < 이슈·기획 < 오피니언·이슈 <....","2023.06.07.
[역대 선거결과 분석] 시리즈 (1) 최근 선거 개요 ①(2) 최근 선거 개요 ②(3) 대통령 지지율(4) 지역별 선거결과 ① 서울(5) 지역별 선거결과 ② 인천[폴리뉴스 서경선 기자] 이번 총선 프로젝트는 인천 지역의 역대 선거결과 분석을 바탕으로 내년 인천 지역의 총선을 전망한다. 인천은 한국 정치의 축소판 인천은 선거에 있어서 대한민국 축소판이다..."
"22","서울 野 압도, 與 '12석+α' 안간힘... '한강벨트'가 승부처[총선 판세 전망]","2주 전
2020년 총선 당시 미래통합당(현 국민의힘)은 서울에서 참패했다. 49석 가운데 8석을 얻는 데 그쳤다. 그 결과 더불어민주당이 전체 180석 압승을 거두는 견인차가 됐다. 2008년 총선에서 한나라당이 서울 의석 40석을 챙겨 153석 과반 승리를 일군 것과 대조적이다. 24일 현재(총선 D-17) 여야 구도만 놓고 보면 4년 전 상황과 크게 다르지"
"23","대한민국 제16대 국회의원 선거 - 위키백과 한국","제16대 국회의원 선거 지역별 투표율 서울 부산 대구 인천 광주 대전 울산 경기 강원 충북 충남 전북 전남 경북 경남 제주 투표율 54.3 % 55.4 % 53.5 % 53.4 % 54.0 % 53.3 % 59.1 % 54.9 % 62.9 % 60.8 % 60.1 % 60.6 % 66.8 % 64.6 % 60.6 % 67.2 % 선거결과[편집]... 편성된 <김형곤쇼>가 총선 90일전(2000년 1월 14일)부터 입후보자의 TV 프로그램 출연 금지[4] 등에 따라 2000년 1월 13일...
"
"24","[총선][여론조사] 국민의 선택 D-30 현재 판세는?…이 시각 국회 | KBS 뉴스","2024.03.11.
KBS D-30 총선 판세조사_서울 광진구을_결과표(240310) [PDF] https://news.kbs.co.kr/datafile/2024/03/20240312_0d2QHK.pdf 1-2. KBS D-30 총선 판세조사_서울 광진구을_설문지(240308) [PDF] https://news.kbs.co.kr/datafile/2024/03/20240312_mfs17T.pdf 2-1. KBS D-30 총선 판세조사_서울 마포구을_결과표(240310) [PDF] https://news.kbs.co.kr/datafile/2024/03/20240312_ePRJ8g.pdf 2-2. KBS D-30 총선... 국민만” [총선] 이재명 서울·인천 유세..."
"25","2024년 총선 일정 | 여론조사 결과 모음 (상시업뎃)","2023.10.24.
대한민국 제22대 국회의원 선거는 2024년 4월 10일에 예정되어 있으며, 총선과 함께 2024년 대한민국 재보궐선거도 동시에 진행될 예정입니다. 2024년 총선 일정과 정당별 지역별 여론조사 결과를 살펴보겠습니다."
"26","제21대 국회의원 선거/여론조사/서울권 - 나무위키","본 문서는 제21대 국회의원 선거에 대한 여론조사 중 서울특별시 지역구 결과를 모아둔 문서입니다."
"27","[총선 판세 분석] 여야 자체 판세 분석 결과 국민의힘 ""85곳"" vs 민주당 ""150곳"" - 김명수 기자 - 톱스타뉴스","1주 전
뉴시스에 따르면 4·10 총선을 열흘 남겨둔 31일 국민의힘과 더불어민주당은 각각 85곳, 150곳을 '우세' 지역으로 꼽고 있는 것으로 집계됐다. 최대 승부처인 서울·"
"28","제21대 국회의원 선거/지역별 결과/전라남도 - 나무위키","제21대 국회의원 선거 중 전라남도 관련 내용. 지난 제20대 국회의원 선거에서 전라남도는 국민의당이 전체 10개 지역구 중 8개의 지역구에 당선된 녹색 돌풍을 일으킨 바 있었다. 당시 더불어민주당은 담양군·함평군·영광군·장성군의 이개호 의원 단 1명만 당선되었고, 새누리당의 순천시에서 이정현이 당선되며 전라남도에 깃발을 꽂은 바 있었다. 그 정도로 지난 총선 당시 호남에서 국민의당이 일으킨 녹색 돌풍은 무시하기 어려울 정도였다. 당시 더불어민주당은 영남에서 9석을 당선시키는 성과를 올리며 대약진에 성공했음에도 ..."
"29","[서울·경기 여론조사] 총선 예상 의석수는? 분당을 국힘 김은혜 42%-민주 김병옥 40% < 종합 < 정치 < 기사본문....","2주 전
4월 총선의 최대 승부처가 될 수도권과 경기지역의 여론조사 결과가 속속 발표되고 있다.서울 마포을은 지난 18~20일 한국리서치 조사에서 정청래 민주당 후보가 44%, 함운경 국민의힘 후보 30%로 큰 격차를 보였다. 중성동갑은 넥스트리서치가 17~18일 실시한 조사에서 전현희 민주당 후보가 43%로 34%를 기록한 윤희숙 국민의힘 후보를 크게 앞섰다..."
"30","제22대 국회의원 선거 | 2024년 총선 지역별 여론 조사 모음 | 서울 | 경기도 | 부산 | 대구 | 인천 | 광주 등","2023.10.24.
휴일이라고 해서 투표를 놓치지 말아야 합니다. 선거는 국민의 의무이자 기회이며, 총선날에 꼭 투표 참여하시기 바랍니다. 제22대 국회의원 선거 전 각 지역별 여론 조사 결과를 확인해보겠습니다. 서울, 경기도, 부산, 대구, 인천, 광주 등 다양한 지역에서의 여론 조사를 살펴보겠습니다."
"31","[여론조사 꽃 총선/서울 강남을] 박진 빈 자리 못 메웠나? 오차범위내 접전 - 굿모닝충청","3주 전
21일 발표된 여론조사 꽃의 총선 예측 여론조사 결과에 따르면 박진 전 외교부장관을 대신해 서울 강남을에 출마한 국민의힘 박수민 前 유럽부흥개발은행 이사가 더불어민주당 강청희 한국공공조직은행장을 상대로 오차범위 내 접전을 벌이고 있는 것으로 나타났다. 아무래도 4선 중진인 박진 전 외교부장관의 빈 자리를 국민의힘이 제대로 메..."
"32","21대 총선결과예측/4월 6일 여론조사/서울특별시","2020.04.08.
오마이 뉴스에서 편리한 여론조사 확인 서비스를 제공한다. 위 결과와 20대 총선 결과를 비교해 보았다. 빈 칸은 아직 여론조사가 실시 되지 않은 지역이다. * 새누리 당 -> 현 미래통합당선거구21대 여론조사20대 총선 결과종로구이낙연 더민주 51% 황교안 통합당 39%정세균 더민주광진구 을고민정 더민주 45.7% 오세훈 통합당 37.7%추미애 더민주..."
"33","제21대 국회의원 선거/여론조사 - 나무위키","본 문서는 제21대 국회의원 선거에 대한 여론조사 결과를 모아둔 문서입니다.자세한 내용은 제21대 국회의원 선거/여론조사/서울권 문서를 참고하십시오. 자세한 내용은... [59] 한국경제신문사 의뢰 [60] 민생당은 민주통합의원모임으로 조사되었다. [61] 중앙일보 의뢰 [62] 미디어오늘 의뢰 [63] 두번째 조사는 양자대결 [64] 한국일보 의뢰 [65]..."
"34","중앙선거관리위원회 선거통계시스템(최근선거)","중앙선거관리위원회 운영 시스템, 제20대 대통령선거 정보, 후보자, 사전 투표소 검색, 선거정보, 투표 및 개표율 등 정보 제공."
"35","[총선D-12여론조사]① 서울·부산·광주 결과는?","2주 전
서울과 부산 등 주요 지역구 여론조사 결과, 먼저 현예슬 기자가 전해드립니다. [리포트] 여기는 서울 동작구 남성사계시장 입니다. 이른바 한강벨트 한복판에 자리한 서울 동작을. 지난 18대 총선 이후 계속 국민의힘 계열이 승리해오다 지난 21대 총선에선 민주당이 의석을 차지한 곳입니다. 이번엔 '정치 신인' 류삼영..."
