,주소,위도,경도
0,강원도 강릉시 경강로 2096,37.7149488,128.8263809
1,강원도 강릉시 경강로 2400,37.7149488,128.8263809
2,강원도 강릉시 교동광장로 114,37.7643297,128.8771002
3,강원도 강릉시 창해로14번길 40,37.7719482,128.9481104
4,강원도 고성군 토성면 미시령옛길 1153033-636-8697,NA,NA
5,강원도 동해시 중앙로 219,37.5111855,129.1192785
6,강원도 속초시 동해대로 4114,38.2077761,128.5641999
7,강원도 속초시 미시령로2983번길 111,38.207709,128.52782443643946
8,강원도 속초시 중앙로 123,38.2103068,128.5933121
9,강원도 원주시 남원로 588,37.3132278,127.9320284
10,강원도 원주시 능라동길 73,37.3323198,127.9273292
11,강원도 원주시 동부순환로 37,37.3192658,127.9713683
12,강원도 원주시 서원대로 178,37.3438362,127.93111645
13,"""강원도 원주시 서원대로 402",37.3304846,127.9491603
14,강원도 원주시 혁신로 61,37.3221132,127.9848587
15,강원도 춘천시 경춘로 2353,37.8370389,127.5431694
16,강원도 춘천시 동면 순환대로 1154-63 033-244-9180,NA,NA
17,강원도 춘천시 서부대성로 243-1,37.8804867,127.7343266
18,강원도 춘천시 중앙로 57,37.8818338,127.7283755
19,강원도 춘천시 후석로 13,37.8827138,127.7480455
20,강원도 춘천시 후석로 318,37.8827138,127.7480455
21,강원도 홍천군 한치골길 262,37.6377815,127.6741624
22,강원도 홍천군 한치골길 262,37.6377815,127.6741624
23,경기 구리시 경춘북로252 A101 031-572-3631,NA,NA
24,경기 남양주시 진접읍 해밀예당1로27 031-529-3642,NA,NA
25,경기 의정부시 금신로 63 031-826-3675,NA,NA
26,경기도 고양시 덕양구 고양대로 1955,37.6531586,126.8422985
27,경기도 고양시 덕양구 고양대로 1955,37.6531586,126.8422985
28,경기도 고양시 덕양구 고양대로 1955,37.6531586,126.8422985
29,경기도 고양시 덕양구 고양대로 1955,37.6531586,126.8422985
30,경기도 고양시 덕양구 신원동 628-202-371-3271,NA,NA
31,경기도 고양시 덕양구 원흥5로 25 031-966-3818,NA,NA
32,경기도 고양시 덕양구 충장로 14,37.6532737,126.8424548
33,경기도 고양시 덕양구 호국로 1775,37.709622,126.90536845882352
34,경기도 고양시 덕양구 호국로 811,37.65821525,126.83756701700791
35,경기도 고양시 덕양구 화신로260번길 57,37.6336488,126.83277219659479
36,경기도 고양시 덕양구 화신로272번길 57,37.633511,126.83144662762905
37,경기도 고양시 일산동구 강송로 33,NA,NA
38,경기도 고양시 일산동구 무궁화로 237,37.673837899999995,126.78715362170293
39,경기도 고양시 일산동구 무궁화로 294,NA,NA
40,경기도 고양시 일산동구 백마로 475,NA,NA
41,경기도 고양시 일산동구 식사동 814 경기도 고양시 일산동구 동국로 27031-961-9180,NA,NA
42,경기도 고양시 일산동구 위시티2로11번길 31,NA,NA
43,경기도 고양시 일산동구 일산로 237,37.6571184,126.78810174089806
44,경기도 고양시 일산동구 장항동 1755 031-921-3840,NA,NA
45,경기도 고양시 일산동구 정발산로 24,NA,NA
46,"""경기도 고양시 일산동구 정발산로 이스턴시티 38번지 116",NA,NA
