,title,summary
0,마틴 파와 나눈 패션에 대한 신랄한 인터뷰,"이번에도 기분 좋은 홀인이다. 마틴 파의 새 사진집 〈Fashion Faux Parr〉가 화제의 신간에 선정됐다. 기상천외한 스타일을 
강렬한 색과 에너지로..."
1,요즘 패션 성지는 이곳 ‘도산공원’… K패션 하이엔드 3대장 다 모였다,"서울 도산공원이 세계적으로 유명한 패션 브랜드들이 모인 럭셔리의 중심지로 떠올랐다. 한국 패션을 대표하는 3대 디자이너 브랜드 송지오, 
우영미,..."
2,"일본 시장, 왜 K패션을 찾나","[어패럴뉴스 정민경 기자] 다수의 한국 패션 브랜드가 최근 일본 리테일러들의 러브콜을 받고 있다. 조조타운 등 일본을 대표하는 패션 
플랫폼은 물론..."
3,"패션디자이너 유지영, '24 상하이 패션위크'서 뉴트렌드 선보여","상하이패션위크 유지영 패션디자이너 지난 28일 상하이 패션위크(Shanghai Fashion Week) 조직위로부터 특별 초청을 받은 
스페셜리스트 오뜨뀌뜨르..."
4,"소비침체에 휘청…패션업계, 4조 냉감 시장 선점 노린다","고물가·경기침체 장기화 여파로 올 1분기 부진한 실적을 거둔 패션업계가 신성장동력 찾기에 고심하고 있다.특히 올 여름 역대급 더위가 
예고되면서..."
5,"안소희, 거리를 화보로 만드는 '모던 시크' 패션","도심 속에서 포착된 안소희의 최신 패션이 길게 뻗은 다리 라인을 강조하며 시선을 사로잡았다. 자신의 인스타그램에 공개한 사진에서 그녀는 
트렌디..."
6,"[부산소식] 신세계 센텀시티, 지역상생 위한 부산패션마켓 열어","부산 신세계 센텀시티는 지하 2층 중앙광장에서 오는 18일까지 '부산패션마켓'을 진행한다. 이번 행사는 부산지역 패션의류와 슈즈 
브랜드를 홍..."
7,"수지, 단정한 재킷 패션이 '1억'…청초한 재킷+데님 패션 '눈길' : 네이트 연예","한눈에 보는 오늘 : 연예가 화제 - 뉴스 : [그 옷 어디 거] 영화 '원더랜드' 제작발표회 참석한 가수 겸 배우 수지 배우 수지가 
지난 9일 열린 영화..."
8,"대구섬유박물관 특별전 '패션디자이너, 문화를 이끈 사람들'","5월 2일부터 8월 4일까지 최경자·노라노·앙드레김 등 국내 패션디자이너 작품 전시. 1962년 한국 최초로 국제패션쇼에 출품된 
디자이너 최경자의..."
9,"'YG 특급 신인' 베이비몬스터, 패션 화보로 걸크러시 매력 '뿜뿜'",이탈리아 럭셔리 브랜드 구찌(Gucci)가 '베이비몬스터(BABYMONSTER)'와 함께한 '보그 코리아' 5월 디지털 커버를 공개했다.
10,英 온라인 패션 부후 심각한 경영난,한때 울트라 패션의 선두 주자로 명성을 떨쳤던 영국 온라인 패션 부후가 심각한 경영난으로 몸살을 앓고 있다.
11,"화사, 속옷 드러낸 파격 패션 '아찔'","마마무 화사가 파격적인 란제리룩을 무대 의상으로 선보였다. 12일 화사는 ""HONG KONG ! 귀한 시간이였어. 잊지 못할거야""라는 
글과 함께 사진 여러..."
